Date,Open,High,Low,Close,Volume
2013-01-02,190.0,194.15,189.15,192.8,1776
2013-01-03,196.0,197.8,194.6,197.55,1168
2013-01-04,198.0,199.1,197.0,198.35,2385
2013-01-07,201.0,206.0,200.3,204.5,3738
2013-01-08,205.0,206.0,201.65,202.55,2626
2013-01-09,203.6,206.0,203.6,205.4,1705
2013-01-10,204.35,204.65,199.2,199.2,1889
2013-01-11,200.4,200.9,198.2,199.95,2080
2013-01-14,201.9,205.0,199.15,205.0,4412
2013-01-15,205.0,205.15,202.8,203.35,2930
2013-01-16,205.0,205.2,203.0,203.5,1051
2013-01-17,202.9,203.5,202.0,203.35,954
2013-01-18,203.3,204.95,203.0,204.65,1337
2013-01-22,204.6,205.15,203.1,203.1,2446
2013-01-23,204.55,205.9,200.5,201.1,3596
2013-01-24,202.1,207.0,200.75,206.7,5202
2013-01-25,205.0,205.95,203.6,205.85,3589
2013-01-28,211.9,212.3,205.55,206.75,4830
2013-01-29,206.0,206.6,198.05,199.55,4243
2013-01-30,210.1,210.25,197.25,203.7,14698
2013-01-31,201.1,203.05,198.7,200.8,4915
2013-02-01,196.45,197.1,192.55,192.8,5748
2013-02-04,195.0,196.15,192.7,192.95,5945
2013-02-05,193.9,197.35,192.4,196.6,2635
2013-02-06,198.9,198.95,194.4,195.25,2820
2013-02-07,194.6,195.7,190.7,193.2,3306
2013-02-08,195.25,197.85,194.4,197.1,1876
2013-02-11,196.9,197.0,192.0,192.45,2483
2013-02-12,193.1,194.0,191.6,192.9,3948
2013-02-13,192.85,200.0,192.0,198.2,2799
2013-02-14,202.0,202.0,199.75,201.5,4425
2013-02-15,201.0,202.2,199.0,199.3,2423
2013-02-19,198.4,200.5,197.15,200.2,2556
2013-02-20,200.3,204.9,200.3,202.75,2488
2013-02-21,200.3,203.0,199.5,203.0,4507
2013-02-22,201.75,203.35,199.25,199.25,1425
2013-02-25,201.9,202.0,200.5,202.0,2259
2013-02-26,199.8,199.9,196.55,196.55,3956
2013-02-27,197.65,200.85,196.55,200.85,2351
2013-02-28,202.0,202.2,199.0,201.95,2054
2013-03-01,201.6,203.95,201.0,203.4,5392
2013-03-04,203.0,207.05,202.8,206.95,1199
2013-03-05,209.5,210.5,206.95,209.45,1954
2013-03-06,210.7,212.15,209.7,209.85,5639
2013-03-07,210.7,211.0,207.25,209.6,1356
2013-03-08,210.65,212.05,208.3,209.9,2538
2013-03-11,211.0,211.5,208.6,209.2,1562
2013-03-12,209.0,212.1,206.7,209.7,2010
2013-03-13,210.4,212.7,209.75,210.65,1702
2013-03-14,209.5,209.85,205.5,207.25,5850
2013-03-15,205.0,205.0,201.0,201.7,2823
2013-03-18,199.6,202.0,198.2,198.9,3511
2013-03-19,200.65,200.65,197.65,198.6,1026
