Date,Open,High,Low,Close,Volume
2/1/2013,190,194.15,189.15,192.8,1776
3/1/2013,196,197.8,194.6,197.55,1168
4/1/2013,198,199.1,197,198.35,2385
7/1/2013,201,206,200.3,204.5,3738
8/1/2013,205,206,201.65,202.55,2626
9/1/2013,203.6,206,203.6,205.4,1705
10/1/2013,204.35,204.65,199.2,199.2,1889
11/1/2013,200.4,200.9,198.2,199.95,2080
14/1/2013,201.9,205,199.15,205,4412
15/1/2013,205,205.15,202.8,203.35,2930
16/1/2013,205,205.2,203,203.5,1051
17/1/2013,202.9,203.5,202,203.35,954
18/1/2013,203.3,204.95,203,204.65,1337
22/1/2013,204.6,205.15,203.1,203.1,2446
23/1/2013,204.55,205.9,200.5,201.1,3596
24/1/2013,202.1,207,200.75,206.7,5202
25/1/2013,205,205.95,203.6,205.85,3589
28/1/2013,211.9,212.3,205.55,206.75,4830
29/1/2013,206,206.6,198.05,199.55,4243
30/1/2013,210.1,210.25,197.25,203.7,14698
31/1/2013,201.1,203.05,198.7,200.8,4915
1/2/2013,196.45,197.1,192.55,192.8,5748
4/2/2013,195,196.15,192.7,192.95,5945
5/2/2013,193.9,197.35,192.4,196.6,2635
6/2/2013,198.9,198.95,194.4,195.25,2820
7/2/2013,194.6,195.7,190.7,193.2,3306
8/2/2013,195.25,197.85,194.4,197.1,1876
11/2/2013,196.9,197,192,192.45,2483
12/2/2013,193.1,194,191.6,192.9,3948
13/2/2013,192.85,200,192,198.2,2799
14/2/2013,202,202,199.75,201.5,4425
15/2/2013,201,202.2,199,199.3,2423
19/2/2013,198.4,200.5,197.15,200.2,2556
20/2/2013,200.3,204.9,200.3,202.75,2488
21/2/2013,200.3,203,199.5,203,4507
22/2/2013,201.75,203.35,199.25,199.25,1425
25/2/2013,201.9,202,200.5,202,2259
26/2/2013,199.8,199.9,196.55,196.55,3956
27/2/2013,197.65,200.85,196.55,200.85,2351
28/2/2013,202,202.2,199,201.95,2054
1/3/2013,201.6,203.95,201,203.4,5392
4/3/2013,203,207.05,202.8,206.95,1199
5/3/2013,209.5,210.5,206.95,209.45,1954
6/3/2013,210.7,212.15,209.7,209.85,5639
7/3/2013,210.7,211,207.25,209.6,1356
8/3/2013,210.65,212.05,208.3,209.9,2538
11/3/2013,211,211.5,208.6,209.2,1562
12/3/2013,209,212.1,206.7,209.7,2010
13/3/2013,210.4,212.7,209.75,210.65,1702
14/3/2013,209.5,209.85,205.5,207.25,5850
15/3/2013,205,205,201,201.7,2823
18/3/2013,199.6,202,198.2,198.9,3511
19/3/2013,200.65,200.65,197.65,198.6,1026
20/3/2013,199,200.45,197.05,197.95,3640
21/3/2013,199.35,199.35,197.8,198,2419
22/3/2013,196.35,197.9,194.75,195.5,3016
25/3/2013,199.3,200.4,198.4,198.4,2914
26/3/2013,200.55,202.5,199.25,202.5,1036
27/3/2013,203.85,208.1,202,207.2,2321
28/3/2013,206.15,208.45,206.15,206.7,3239
1/4/2013,206.7,206.7,206.7,206.7,0
2/4/2013,204.6,207.1,203.55,206.95,2194
3/4/2013,206.5,206.5,203.25,203.3,803
4/4/2013,203,203.25,200.85,201.15,1903
5/4/2013,200,201.1,195.5,196,2349
8/4/2013,197.4,199.4,196.4,197.75,2623
9/4/2013,199.7,199.7,197.5,198.25,1747
10/4/2013,200,201.65,198.3,201.65,2470
11/4/2013,201.95,205.15,200.6,205.1,4446
12/4/2013,206,207.65,204.5,205.95,2023
15/4/2013,207.25,210,206.25,208,4133
16/4/2013,205.1,206.75,205.1,206.75,1975
17/4/2013,205.9,206.35,201.9,204.25,3429
18/4/2013,204.95,206.3,200.2,200.4,1545
19/4/2013,199,200.25,196.5,199.25,2903
22/4/2013,200.65,201,199.1,199.95,3227
23/4/2013,202,206.25,201.4,206.25,3501
24/4/2013,206.4,208.05,206.1,207.15,2180
25/4/2013,206,211,205.45,209.65,2485
26/4/2013,205,210.1,195.9,196.75,7039
29/4/2013,195.05,196,192.6,193.75,5955
30/4/2013,190.9,193.3,189.35,193.3,6779
1/5/2013,193.3,193.3,193.3,193.3,0
2/5/2013,189.75,191.05,187.8,191,4767
3/5/2013,193.2,197.3,191.7,197.3,3169
6/5/2013,197.65,198,194.5,194.95,3708
7/5/2013,196,196.4,193.35,196.3,2584
8/5/2013,197.15,197.7,194,196.65,1832
9/5/2013,197.2,198.3,195.7,197.4,462
10/5/2013,198.35,202.55,198.35,201.9,1703
13/5/2013,203.25,204,201.55,203.55,1694
14/5/2013,203.3,207,202.05,206.4,5236
15/5/2013,207,209.05,206.6,209.05,1778
16/5/2013,206,208.35,205.3,205.7,4244
17/5/2013,204.95,208.7,204.35,208.65,1847
20/5/2013,209.2,211,207.85,207.85,1184
21/5/2013,208.25,210,206.95,207.2,1196
22/5/2013,207.85,208.5,204.4,206.75,4200
23/5/2013,202.3,203.15,200.55,202.5,1846
24/5/2013,202,203,199.75,201.15,1939
28/5/2013,204,210.4,204,209.25,3589
29/5/2013,207.05,207.85,204.35,205.5,2867
30/5/2013,204.1,205.7,203.9,205,216
31/5/2013,203.5,209.15,203.45,209.1,2366
3/6/2013,207.1,208,202,202,1468
4/6/2013,203.6,206,203.1,204.05,1658
5/6/2013,203.7,207.55,202.1,204.75,1438
6/6/2013,204.8,205.2,201.85,201.85,2322
7/6/2013,201.6,211,201.15,208.6,4333
10/6/2013,209.5,212.6,208.2,211.9,4317
11/6/2013,211.1,211.6,207.55,209.15,2017
12/6/2013,207.3,208.5,205.15,206.1,789
13/6/2013,202.5,205.25,201.55,204.8,1500
14/6/2013,206.4,208,205.3,206.3,2264
17/6/2013,206.1,209.7,206,209.7,1041
18/6/2013,208.3,210,208.05,209.8,1282
19/6/2013,209.85,211.25,209.25,211.1,1257
20/6/2013,209.25,210.55,208.1,208.85,2516
21/6/2013,208.9,209,206.45,206.45,1561
24/6/2013,206.7,207.4,202.7,204.05,2222
25/6/2013,205.9,208.5,205.9,207.05,613
26/6/2013,208.3,213.6,207.5,213.6,1191
27/6/2013,212.3,214.5,211.65,212.8,2304
28/6/2013,212.2,214.75,211.85,213.8,2265
1/7/2013,213.8,215.85,213,214.75,2527
2/7/2013,215.35,219.4,215.35,217.7,3116
3/7/2013,218,219.2,214.75,218.15,2962
5/7/2013,221.55,223.6,219.85,220.8,1880
8/7/2013,223.45,225.65,221.05,225,801
9/7/2013,226.8,227.45,224.25,227.1,1159
10/7/2013,227.1,228.8,225.6,226.1,1041
11/7/2013,227.5,227.75,224.2,227.75,2796
12/7/2013,229.8,233,228.65,232.45,2232
15/7/2013,234.5,236.95,233.7,234.45,2425
16/7/2013,234.8,235.45,233.85,234.5,1716
17/7/2013,234.7,234.7,232.35,233.35,1277
18/7/2013,234,235.5,230.95,233.5,1462
19/7/2013,235.65,235.65,227.3,232.2,2565
22/7/2013,231.1,234.8,228.9,229.1,784
23/7/2013,230.1,231.2,228.2,228.2,2861
24/7/2013,228,229.3,226.8,227.35,1342
25/7/2013,228,228,224.95,226.2,2339
26/7/2013,223.8,231.5,222.15,231.5,5801
29/7/2013,235,235.8,232.45,232.45,1270
30/7/2013,234.25,234.25,228.7,230.9,713
31/7/2013,230,230,227.05,228,871
1/8/2013,229.35,229.9,226.05,226.85,944
2/8/2013,234.8,234.8,227.55,228.45,993
5/8/2013,230,230.95,226.25,226.25,806
6/8/2013,226.55,228.05,224.35,225.5,1517
7/8/2013,226.4,226.4,222.6,222.85,1018
8/8/2013,222.8,223.7,218.5,220.55,1425
9/8/2013,220.55,223.2,220.55,223.05,476
12/8/2013,223.5,224.3,222,223.5,965
13/8/2013,222.55,225,219.6,220.8,1745
14/8/2013,220.5,223,219.7,221.1,1597
15/8/2013,219.6,219.6,215.75,216.75,1478
