Ngày,Lần Cuối,Mở,Cao ,Thấp,KL ,% Thay đổi
4/22/2025,"56,000.00","56,600.00","56,600.00","53,900.00",6.96M,-1.23%
4/21/2025,"56,700.00","56,800.00","57,100.00","56,500.00",3.02M,0.18%
4/18/2025,"56,600.00","56,700.00","57,300.00","56,600.00",3.04M,1.07%
4/17/2025,"56,000.00","55,500.00","56,600.00","54,800.00",7.22M,0.00%
4/16/2025,"56,000.00","56,400.00","57,200.00","56,000.00",3.74M,-0.53%
4/15/2025,"56,300.00","56,700.00","57,500.00","56,300.00",4.16M,-1.05%
4/14/2025,"56,900.00","57,900.00","57,900.00","56,500.00",5.48M,-1.04%
4/11/2025,"57,500.00","55,600.00","58,400.00","55,600.00",9.16M,3.42%
4/10/2025,"55,600.00","55,600.00","55,600.00","55,600.00",1.51M,6.92%
4/9/2025,"52,000.00","51,400.00","55,200.00","51,400.00",9.88M,-4.59%
4/8/2025,"54,500.00","56,700.00","56,900.00","54,500.00",13.32M,-6.84%
4/4/2025,"58,500.00","54,000.00","58,800.00","53,800.00",9.78M,3.54%
4/3/2025,"56,500.00","59,500.00","59,600.00","56,300.00",16.94M,-6.61%
4/2/2025,"60,500.00","60,700.00","61,400.00","60,500.00",4.68M,-0.49%
4/1/2025,"60,800.00","61,200.00","61,200.00","60,300.00",3.13M,0.33%
3/31/2025,"60,600.00","60,800.00","61,600.00","60,600.00",5.30M,0.50%
3/28/2025,"60,300.00","61,000.00","61,100.00","60,200.00",5.43M,-1.31%
3/27/2025,"61,100.00","61,200.00","61,500.00","61,100.00",2.23M,-0.16%
3/26/2025,"61,200.00","61,500.00","61,900.00","61,200.00",1.85M,-0.33%
3/25/2025,"61,400.00","61,700.00","61,700.00","61,200.00",2.32M,0.00%
3/24/2025,"61,400.00","61,400.00","62,000.00","61,100.00",2.49M,0.16%
3/21/2025,"61,300.00","61,800.00","61,800.00","61,200.00",3.33M,-0.81%
3/20/2025,"61,800.00","62,200.00","62,200.00","61,300.00",3.89M,-0.80%
3/19/2025,"62,300.00","62,700.00","62,800.00","61,900.00",3.04M,-0.32%
3/18/2025,"62,500.00","63,100.00","63,100.00","62,500.00",3.28M,-0.79%
3/17/2025,"63,000.00","62,400.00","63,400.00","62,400.00",4.06M,1.45%
3/14/2025,"62,100.00","62,400.00","62,700.00","62,100.00",2.70M,0.16%
3/13/2025,"62,000.00","62,300.00","62,900.00","61,900.00",5.10M,-0.32%
3/12/2025,"62,200.00","62,500.00","62,800.00","62,200.00",2.76M,-0.32%
3/11/2025,"62,400.00","62,300.00","62,500.00","62,100.00",2.29M,-0.16%
3/10/2025,"62,500.00","63,000.00","63,000.00","62,500.00",2.53M,-0.32%
3/7/2025,"62,700.00","62,900.00","63,000.00","62,400.00",2.66M,-0.32%
3/6/2025,"62,900.00","62,700.00","62,900.00","62,200.00",3.13M,0.32%
3/5/2025,"62,700.00","63,600.00","63,600.00","62,700.00",2.28M,-1.26%
3/4/2025,"63,500.00","63,200.00","63,800.00","62,900.00",6.04M,0.47%
3/3/2025,"63,200.00","62,800.00","63,200.00","62,300.00",3.61M,1.61%
2/28/2025,"62,200.00","62,300.00","63,200.00","62,200.00",4.18M,0.00%
2/27/2025,"62,200.00","63,200.00","63,200.00","62,200.00",3.52M,-1.43%
2/26/2025,"63,100.00","63,000.00","63,400.00","62,900.00",3.64M,0.32%
2/25/2025,"62,900.00","64,000.00","64,000.00","62,600.00",3.88M,-1.41%
2/24/2025,"63,800.00","61,600.00","63,900.00","61,600.00",11.51M,3.91%
2/21/2025,"61,400.00","60,800.00","62,100.00","60,600.00",4.72M,1.15%
2/20/2025,"60,700.00","60,900.00","60,900.00","60,600.00",2.63M,-0.16%
2/19/2025,"60,800.00","60,300.00","60,900.00","60,300.00",3.07M,0.83%
2/18/2025,"60,300.00","60,400.00","60,500.00","60,000.00",2.44M,0.50%
2/17/2025,"60,000.00","60,400.00","60,600.00","60,000.00",3.61M,-0.50%
2/14/2025,"60,300.00","60,700.00","60,700.00","60,300.00",6.40M,-0.66%
2/13/2025,"60,700.00","61,000.00","61,000.00","60,400.00",2.58M,-0.49%
2/12/2025,"61,000.00","60,600.00","61,000.00","60,500.00",2.76M,0.99%
2/11/2025,"60,400.00","60,600.00","60,700.00","60,100.00",3.43M,-0.33%
2/10/2025,"60,600.00","61,200.00","61,200.00","60,600.00",2.59M,-0.33%
2/7/2025,"60,800.00","60,700.00","61,200.00","60,600.00",2.55M,0.16%
2/6/2025,"60,700.00","61,500.00","61,600.00","60,500.00",3.02M,-1.30%
