Date,Open,High,Low,Close,Volume
2013-07-10,18.26,18.42,18.25,18.37,185700
2013-07-11,18.65,18.82,18.56,18.76,188300
2013-07-12,18.9,19.01,18.76,18.98,117500
2013-07-15,18.9,19.13,18.9,18.96,77000
2013-07-16,18.94,19.06,18.77,18.95,145500
2013-07-17,19.21,19.25,19.15,19.18,68300
2013-07-18,19.0,19.27,19.0,19.23,112600
2013-07-19,19.25,19.38,19.23,19.33,47500
2013-07-22,19.33,19.39,19.15,19.29,137100
2013-07-23,19.26,19.33,19.19,19.23,94500
2013-07-24,19.18,19.18,18.77,18.88,138100
2013-07-25,18.81,18.81,18.61,18.7,138800
2013-07-26,18.66,18.82,18.57,18.61,168600
2013-07-29,18.45,18.45,18.16,18.17,139100
2013-07-30,18.37,18.37,18.25,18.27,119900
2013-07-31,18.19,18.77,18.13,18.75,855900
2013-08-01,18.65,18.91,18.65,18.84,112800
2013-08-02,18.66,18.88,18.66,18.81,41400
2013-08-05,18.91,18.91,18.48,18.69,106700
2013-08-06,18.73,18.73,18.52,18.53,78400
2013-08-07,18.74,18.86,18.42,18.45,303900
2013-08-08,18.45,18.55,18.41,18.51,141900
2013-08-09,18.57,18.57,18.39,18.41,139200
2013-08-12,18.39,18.49,18.33,18.48,153700
2013-08-13,18.47,18.47,18.27,18.45,114100
2013-08-14,18.52,18.72,18.52,18.62,251900
2013-08-15,18.78,18.78,18.48,18.55,124400
2013-08-16,18.6,18.9,18.41,18.44,167800
2013-08-19,18.57,18.75,18.53,18.53,144100
2013-08-20,18.48,18.48,18.21,18.24,971000
2013-08-21,18.21,18.28,17.85,17.86,1042000
2013-08-22,18.05,18.18,17.96,17.97,389800
2013-08-23,17.85,17.93,17.68,17.78,409500
2013-08-26,17.69,17.89,17.69,17.72,172900
2013-08-27,17.5,17.52,17.13,17.15,692200
2013-08-28,17.17,17.2,17.0,17.11,215500
2013-08-29,17.11,17.13,17.0,17.03,191500
2013-08-30,17.15,17.31,17.13,17.25,125100
2013-09-03,17.33,17.48,17.12,17.2,287400
2013-09-04,17.1,17.33,17.06,17.28,203600
2013-09-05,17.41,17.62,17.36,17.57,114300
2013-09-06,17.67,17.79,17.52,17.71,289800
2013-09-09,17.61,17.84,17.57,17.83,183600
2013-09-10,17.81,18.03,17.81,18.01,134500
2013-09-11,18.0,18.23,17.92,18.22,198400
2013-09-12,18.13,18.13,17.95,18.03,161900
2013-09-13,18.05,18.2,18.05,18.2,53300
2013-09-16,18.16,18.16,18.0,18.01,184300
2013-09-17,17.89,17.97,17.84,17.9,102700
2013-09-18,17.84,18.21,17.6,18.2,280500
2013-09-19,18.04,18.26,18.0,18.17,118600
2013-09-20,18.2,18.2,18.0,18.14,112600
2013-09-23,18.12,18.2,18.1,18.2,79800
2013-09-24,18.2,18.24,18.06,18.23,83600
2013-09-25,18.3,18.37,18.22,18.34,169900
2013-09-26,18.35,18.46,18.15,18.24,124500
2013-09-27,18.27,18.3,18.05,18.07,82600
2013-09-30,18.13,18.25,17.83,17.91,221300
2013-10-01,18.06,18.2,18.01,18.16,148100
2013-10-02,18.2,18.37,18.19,18.35,86500
2013-10-03,18.24,18.36,18.1,18.22,178300
2013-10-04,18.25,18.59,18.25,18.59,236000
2013-10-07,18.51,18.78,18.45,18.7,215300
2013-10-08,18.74,18.77,18.42,18.57,522900
2013-10-09,18.67,18.8,18.6,18.75,74300
2013-10-10,18.82,18.86,18.65,18.86,172600
2013-10-11,18.78,18.86,18.6,18.81,55200
2013-10-14,18.75,18.85,18.6,18.81,65900
2013-10-15,18.77,18.8,18.66,18.73,78700
2013-10-16,18.81,19.13,18.8,19.13,259300
2013-10-17,19.13,19.28,19.03,19.21,177000
2013-10-18,19.29,19.34,19.14,19.33,274200
2013-10-21,19.35,19.35,19.11,19.35,287700
2013-10-22,19.41,19.46,19.2,19.29,234500
2013-10-23,19.13,19.2,19.05,19.14,120700
2013-10-24,19.02,19.15,19.0,19.1,103100
2013-10-25,19.0,19.26,19.0,19.26,156900
2013-10-28,19.12,19.17,18.99,19.0,70000
2013-10-29,19.07,19.2,19.04,19.04,67500
2013-10-30,19.04,19.1,18.72,18.84,141400
2013-10-31,18.72,19.03,18.71,18.98,176400
