Date,Close,Open,High,Low,Volume,Change,Adj Close
2024-11-18,62709.3,63205.4,63701.6,62709.3,3750000,-0.78,62712.39788
2024-11-15,63205.4,64396.1,64396.1,63205.4,3690000,-2.0,63205.394
2024-11-14,64495.3,64495.3,64495.3,64197.7,1780000,0.0,64495.3
2024-11-13,64495.3,64594.6,65090.7,64197.7,2770000,0.15,64492.69415
2024-11-12,64396.1,64693.8,65189.9,64296.9,1730000,-0.46,64396.20852
2024-11-11,64693.8,65189.9,65289.1,64197.7,2740000,-0.76,64694.45676
2024-11-08,65189.9,65487.6,65686.0,65090.7,1590000,-0.3,65192.2348
2024-11-07,65388.4,65487.6,65686.0,65090.7,1150000,0.15,65387.03365
2024-11-06,65289.1,65487.6,65487.6,64793.0,2590000,0.46,65290.4609
2024-11-05,64991.5,65189.9,65487.6,64991.5,1060000,-0.15,64993.06395
2024-11-04,65090.7,65388.4,66082.9,65090.7,2120000,-0.3,65093.2327
2024-11-01,65289.1,65586.8,65785.2,65090.7,2180000,-0.45,65291.6594
2024-10-31,65586.8,66082.9,66082.9,64793.0,5170000,-0.3,65587.8444
2024-10-30,65785.2,66479.8,66777.5,65785.2,3430000,-1.04,65788.41008
2024-10-29,66479.8,66777.5,66777.5,66281.4,2030000,-0.3,66478.2651
2024-10-28,66678.3,67174.4,67472.0,66182.1,2920000,-1.18,66675.8304
2024-10-25,67472.0,68067.4,68067.4,67372.8,2170000,-0.58,67475.26038
2024-10-24,67868.9,66777.5,68464.3,66777.5,4370000,1.63,67865.97325
2024-10-23,66777.5,66777.5,67075.2,66678.3,1640000,0.0,66777.5
2024-10-22,66777.5,66777.5,67273.6,66678.3,2250000,0.0,66777.5
2024-10-21,66777.5,66876.7,67372.8,66678.3,1860000,-0.15,66776.38495
2024-10-18,66876.7,67075.2,67472.0,66876.7,1600000,-0.3,66873.9744
2024-10-17,67075.2,67075.2,67372.8,66777.5,1660000,0.15,67076.36385
2024-10-16,66975.9,66281.4,67571.3,66281.4,2000000,1.05,66977.3547
2024-10-15,66281.4,66678.3,66876.7,66182.1,3070000,-0.6,66278.2302
2024-10-14,66678.3,67571.3,67571.3,66579.0,2820000,-0.74,66677.30944
2024-10-11,67174.4,67571.3,67670.5,66975.9,2370000,0.0,67174.4
2024-10-10,67174.4,67769.7,68265.8,67174.4,2620000,-0.15,67172.6896
2024-10-09,67273.6,67769.7,68067.4,67273.6,3530000,-0.59,67271.24405
2024-10-08,67670.5,66678.3,67670.5,66678.3,2890000,1.64,67670.8956
2024-10-07,66579.0,68166.6,68762.0,66579.0,5990000,-2.04,66581.64872
2024-10-04,67968.2,69952.6,69952.6,67868.9,6130000,-2.56,67968.49248
2024-10-03,69754.2,69655.0,69952.6,69357.3,2950000,0.29,69757.41153
2024-10-02,69555.7,69655.0,69655.0,69059.6,2140000,0.0,69555.7
2024-10-01,69555.7,69655.0,70151.1,69555.7,2040000,0.0,69555.7
2024-09-30,69555.7,70448.8,70448.8,69555.7,2040000,-1.27,69554.10024
2024-09-27,70448.8,70250.3,70647.2,70151.1,2970000,0.42,70445.73462
2024-09-26,70151.1,69059.6,70548.0,69059.6,3980000,1.58,70150.74168
2024-09-25,69059.6,69754.2,69853.4,69059.6,4520000,-1.0,69056.658
2024-09-24,69754.2,70448.8,70448.8,69555.7,2080000,-0.21,69756.2037
2024-09-23,69903.0,70094.8,70190.6,69615.3,2930000,0.28,69906.39136
2024-09-20,69711.2,70478.3,70957.8,69711.2,5230000,-0.82,69710.1507
2024-09-19,70286.5,70286.5,70478.3,69998.9,1570000,0.0,70286.5
2024-09-18,70286.5,70574.2,70861.9,69998.9,2850000,-0.14,70283.86464
2024-09-17,70382.4,69040.0,70382.4,68752.3,2390000,2.09,70385.03169
2024-09-16,68944.1,69998.9,69998.9,68944.1,4030000,-1.37,68945.3289
2024-09-13,69903.0,71724.9,71724.9,69903.0,5350000,-2.41,69902.7411
2024-09-12,71629.0,71916.6,72108.4,71341.3,2050000,0.13,71626.09303
2024-09-11,71533.1,71724.9,72012.5,70861.9,3170000,-0.4,71533.5168
2024-09-10,71820.8,71724.9,72396.1,71245.4,3330000,0.13,71818.14237
2024-09-09,71724.9,72012.5,72012.5,71149.5,2640000,-0.8,71721.7984
2024-09-06,72300.2,71820.8,72396.1,71724.9,3640000,0.94,72302.3126
2024-09-05,71629.0,71245.4,72300.2,71053.6,5860000,0.54,71630.12516
2024-09-04,71245.4,70286.5,71437.2,70094.8,2840000,0.54,71244.55426
2024-08-30,70861.9,70574.2,71724.9,70382.4,3680000,0.54,70858.88282
2024-08-29,70478.3,70670.1,70957.8,70382.4,2040000,-0.54,70479.24574
2024-08-28,70861.9,70574.2,70957.8,70190.6,3350000,0.54,70858.88282
2024-08-27,70478.3,70382.4,70766.0,69615.3,4270000,0.14,70480.93536
2024-08-26,70382.4,71820.8,71916.6,70286.5,6320000,-2.0,70384.384
2024-08-23,71820.8,71820.8,72492.0,71341.3,3310000,0.94,71818.3053
2024-08-22,71149.5,72875.5,72875.5,70574.2,6030000,-1.46,71150.11722
2024-08-21,72204.3,72108.4,72971.4,72012.5,3990000,-0.4,72202.032
2024-08-20,72492.0,72875.5,73067.3,72204.3,4180000,-0.53,72489.25985
2024-08-19,72875.5,70957.8,72875.5,70766.0,7920000,2.98,72874.8268
2024-08-16,70766.0,70957.8,71053.6,70190.6,7390000,0.0,70766.0
2024-08-15,70766.0,70957.8,71533.1,70670.1,4260000,-0.27,70766.21394
2024-08-14,70957.8,70957.8,71053.6,70286.5,5460000,0.27,70957.0682
2024-08-13,70766.0,69807.1,71341.3,69711.2,6730000,1.1,70768.8879
2024-08-12,69998.9,70286.5,71341.3,69807.1,5800000,-0.41,69998.32535
2024-08-09,70286.5,69807.1,70382.4,69519.4,4530000,0.83,70289.80296
