Date,Open,High,Low,Close,Volume
19/9/2014,92.7,99.7,89.95,93.89,271879400
22/9/2014,92.7,92.95,89.5,89.89,66657800
23/9/2014,88.94,90.48,86.62,87.17,39009800
24/9/2014,88.47,90.57,87.22,90.57,32088000
25/9/2014,91.09,91.5,88.5,88.92,28598000
26/9/2014,89.73,90.46,88.66,90.46,18340000
29/9/2014,89.62,89.7,88.02,88.75,25302000
30/9/2014,89,90.88,88.46,88.85,24419400
1/10/2014,88.7,88.94,86.04,86.1,24029600
2/10/2014,86.27,88.2,85.61,87.06,21469700
3/10/2014,88.1,89.94,87.65,88.1,18485700
6/10/2014,89.15,89.65,88.06,88.31,9268400
7/10/2014,87.95,89.7,87.06,87.67,12791700
8/10/2014,88,88.5,87.06,88.3,10252600
9/10/2014,88.51,90.35,88,88.79,21507000
10/10/2014,88.25,88.74,85.24,85.88,15431400
13/10/2014,86.85,86.89,84.92,85.12,14845000
14/10/2014,85.81,85.88,83.22,84.95,15559200
15/10/2014,84.04,86.49,82.81,85.6,16824300
16/10/2014,84.98,89.18,84.01,88.85,15232000
17/10/2014,90.4,90.9,87.67,87.91,17360700
20/10/2014,88,89.5,87.86,88.26,9891400
21/10/2014,89.1,92.5,88.5,90.9,23243800
22/10/2014,92.25,93.5,91.01,91.63,20364500
23/10/2014,92.92,94.7,92.82,94.45,20641000
24/10/2014,95.07,98,94.78,95.76,32132600
27/10/2014,97,98.85,96.3,97.79,28302400
28/10/2014,99.84,100.67,98.61,99.68,32127600
29/10/2014,99.88,100,96.82,98.31,28655400
30/10/2014,98.48,99.44,97.3,98.73,15484600
31/10/2014,100.1,100.22,98.14,98.6,18128300
3/11/2014,99.67,102.8,99.05,101.8,40883700
4/11/2014,100.43,106.36,99.51,106.07,67814000
5/11/2014,108.48,110.14,106.48,108.67,48344000
6/11/2014,109.3,111.7,107.21,111.57,33609000
7/11/2014,112.93,114.77,111.75,114.56,51457000
10/11/2014,117.27,119.45,115.2,119.15,75971000
11/11/2014,117.25,117.55,113.69,114.54,70983600
12/11/2014,115.05,119.07,114.02,118.2,53908000
13/11/2014,119.3,120,114.55,114.84,62163000
14/11/2014,115.06,115.39,113.35,115.1,29849000
17/11/2014,115.44,115.63,113.13,114.25,22573000
18/11/2014,114.33,114.38,110.41,110.81,41098000
19/11/2014,109.83,110.68,107.22,108.82,46841000
20/11/2014,107.81,112.44,107.26,109.82,36489000
21/11/2014,113.21,113.5,110.43,110.73,27432000
24/11/2014,112,113.93,111.55,113.92,20646000
25/11/2014,114.94,115.17,112.33,113.47,23485000
26/11/2014,113.33,113.74,112.33,112.67,11794700
28/11/2014,113.14,113.23,111.11,111.64,8077800
1/12/2014,110.02,110.05,103.9,105.99,38464200
2/12/2014,107.35,110,106.61,109.89,18785000
3/12/2014,110.4,111.68,108.8,110.64,16221100
4/12/2014,110.1,110.5,108.91,109.17,10779300
5/12/2014,109.6,110.35,107.76,107.9,12148100
8/12/2014,105.97,107.4,104.21,105.07,19217300
9/12/2014,102.27,107.95,101.2,107.48,24866800
10/12/2014,107.09,107.38,103.51,103.88,18466700
11/12/2014,104.44,106.84,104.29,104.97,15684300
12/12/2014,104.7,107.45,104.18,105.11,14537600
15/12/2014,106.39,107.77,103.7,104.7,16521800
16/12/2014,103.75,107.68,103.7,105.77,21700600
17/12/2014,107.11,109.19,106.28,109.02,17311100
18/12/2014,110.58,111.2,108.26,109.25,22788100
19/12/2014,109.93,110.65,108.04,110.65,14857800
22/12/2014,110.63,110.98,108.53,108.77,13041200
23/12/2014,108.3,108.47,103.88,105.52,19096300
24/12/2014,105.68,107.21,105.6,105.95,5870400
26/12/2014,105.99,106.94,105.5,105.95,6529100
29/12/2014,105.95,107.66,105.64,105.98,8068600
30/12/2014,105.64,106.71,105.13,105.75,10205700
31/12/2014,106.46,106.47,103.69,103.94,10221600
2/1/2015,104.24,104.72,102.52,103.6,12303400
5/1/2015,102.76,103.02,99.9,101,18337000
6/1/2015,101.25,103.85,100.11,103.32,15720400
7/1/2015,104.59,104.74,102.03,102.13,11052200
8/1/2015,102.95,105.34,102.68,105.03,12942100
9/1/2015,105.24,105.3,102.89,103.02,10222200
12/1/2015,103.2,103.36,101.21,101.62,7997200
13/1/2015,102.59,102.85,100.01,100.77,11294400
