Date,Open,High,Low,Close,Volume
2/1/2013,12.8,12.9,12.66,12.87,65420000
3/1/2013,12.86,13.04,12.82,12.92,55018000
4/1/2013,12.88,12.99,12.83,12.96,37484000
7/1/2013,13.15,13.49,13.13,13.42,98200000
8/1/2013,13.35,13.45,13.18,13.32,60214000
9/1/2013,13.41,13.48,13.27,13.32,45312000
10/1/2013,13.43,13.44,13.11,13.27,57268000
11/1/2013,13.26,13.42,13.21,13.4,48266000
14/1/2013,13.4,13.71,13.38,13.64,85500000
15/1/2013,13.53,13.64,13.47,13.6,46538000
16/1/2013,13.53,13.56,13.39,13.45,41312000
17/1/2013,13.57,13.6,13.46,13.52,37692000
18/1/2013,13.54,13.73,13.48,13.61,58840000
22/1/2013,13.58,13.6,13.46,13.51,42754000
23/1/2013,13.53,13.55,13.33,13.41,50178000
24/1/2013,13.47,13.83,13.47,13.67,68340000
25/1/2013,13.75,14.24,13.72,14.2,99362000
28/1/2013,14.19,14.22,13.72,13.8,86428000
29/1/2013,13.77,13.77,12.92,13.02,203452000
30/1/2013,14.15,14.21,13.36,13.64,261508000
31/1/2013,13.55,13.8,13.19,13.27,135442000
1/2/2013,13.45,13.45,13.14,13.25,122300000
4/2/2013,13.14,13.23,12.95,13,74472000
5/2/2013,13.1,13.4,13.07,13.34,80258000
6/2/2013,13.26,13.34,13.06,13.11,55408000
7/2/2013,13.2,13.2,12.76,13.01,79514000
8/2/2013,13.07,13.26,13.03,13.1,77584000
11/2/2013,13.16,13.16,12.83,12.86,68074000
12/2/2013,12.96,13.01,12.85,12.94,58874000
13/2/2013,13.08,13.5,13.02,13.47,105860000
14/2/2013,13.37,13.53,13.27,13.46,69260000
15/2/2013,13.38,13.45,13.16,13.25,79598000
19/2/2013,13.3,13.51,13.23,13.49,57084000
20/2/2013,13.51,13.72,13.32,13.32,70578000
21/2/2013,13.26,13.47,13.16,13.3,72748000
22/2/2013,13.33,13.36,13.08,13.27,62496000
25/2/2013,13.35,13.43,12.98,12.99,60648000
26/2/2013,13.04,13.1,12.79,12.97,66972000
27/2/2013,12.97,13.29,12.84,13.16,58162000
28/2/2013,13.09,13.35,13.03,13.21,53344000
1/3/2013,13.16,13.33,13.05,13.29,59140000
4/3/2013,13.27,13.66,13.21,13.66,69060000
5/3/2013,13.7,13.83,13.5,13.78,73724000
6/3/2013,13.79,13.82,13.59,13.69,41014000
7/3/2013,13.7,13.74,13.59,13.69,38780000
8/3/2013,13.75,13.77,13.57,13.71,37596000
