Date,Open,High,Low,Close,Volume
2/1/2013,19.78,19.82,19.34,19.61,560518000
3/1/2013,19.57,19.63,19.32,19.36,352965200
4/1/2013,19.18,19.24,18.78,18.82,594333600
7/1/2013,18.64,18.9,18.4,18.71,484156400
8/1/2013,18.9,19,18.62,18.76,458707200
9/1/2013,18.66,18.75,18.43,18.47,407604400
10/1/2013,18.88,18.88,18.41,18.7,601146000
11/1/2013,18.61,18.76,18.54,18.58,350506800
14/1/2013,17.95,18.12,17.8,17.92,734207600
15/1/2013,17.8,17.82,17.26,17.35,876772400
16/1/2013,17.67,18.19,17.59,18.07,690804800
17/1/2013,18.23,18.24,17.93,17.95,453678400
18/1/2013,17.8,17.94,17.73,17.86,472922800
22/1/2013,18.02,18.14,17.74,18.03,461546400
23/1/2013,18.17,18.39,18.03,18.36,861509600
24/1/2013,16.43,16.63,16.08,16.09,1460852400
25/1/2013,16.13,16.29,15.54,15.71,1208026400
28/1/2013,15.64,16.19,15.57,16.07,785517600
29/1/2013,16.38,16.44,16.15,16.37,571158000
30/1/2013,16.32,16.52,16.23,16.32,417155200
31/1/2013,16.32,16.4,16.25,16.27,319334400
1/2/2013,16.4,16.41,16.01,16.2,539484400
4/2/2013,16.21,16.28,15.79,15.8,477117200
5/2/2013,15.86,16.42,15.79,16.35,573347600
6/2/2013,16.3,16.66,16.16,16.33,593706400
7/2/2013,16.54,16.79,16.22,16.72,704580800
8/2/2013,16.93,17.1,16.72,16.96,633158400
11/2/2013,17.02,17.32,16.9,17.14,517490400
12/2/2013,17.13,17.23,16.7,16.71,609053200
13/2/2013,16.69,16.92,16.54,16.68,475207600
14/2/2013,16.59,16.84,16.57,16.66,355275200
15/2/2013,16.74,16.79,16.43,16.43,391745200
19/2/2013,16.47,16.53,16.21,16.43,435783600
20/2/2013,16.35,16.35,16.03,16.03,476302400
21/2/2013,15.93,16.04,15.81,15.93,447182400
22/2/2013,16.04,16.13,15.95,16.1,330654800
25/2/2013,16.21,16.25,15.81,15.81,372579200
26/2/2013,15.85,16.13,15.63,16.03,501499600
27/2/2013,16.02,16.16,15.74,15.88,587350400
28/2/2013,15.86,16,15.76,15.76,322515200
1/3/2013,15.64,15.65,15.36,15.37,552448400
4/3/2013,15.28,15.29,14.96,15,582755600
5/3/2013,15.05,15.54,15.03,15.4,638433600
6/3/2013,15.52,15.54,15.16,15.2,460250000
7/3/2013,15.16,15.43,15.04,15.38,468473600
8/3/2013,15.35,15.55,15.31,15.42,391482000
11/3/2013,15.35,15.68,15.18,15.64,474236000
12/3/2013,15.56,15.67,15.27,15.3,465911600
13/3/2013,15.3,15.52,15.19,15.3,405549200
14/3/2013,15.46,15.52,15.37,15.45,303875600
15/3/2013,15.64,15.87,15.62,15.85,643960800
18/3/2013,15.77,16.34,15.76,16.28,606197200
19/3/2013,16.41,16.46,16.02,16.23,526775200
20/3/2013,16.34,16.34,16.06,16.15,308660800
21/3/2013,16.08,16.36,16.08,16.17,383255600
22/3/2013,16.24,16.5,16.18,16.5,395105200
25/3/2013,16.6,16.78,16.49,16.56,501135600
26/3/2013,16.62,16.64,16.45,16.47,294294000
27/3/2013,16.3,16.31,16.1,16.15,331237200
28/3/2013,16.07,16.14,15.77,15.81,442839600
1/4/2013,15.78,15.85,15.28,15.32,389732000
2/4/2013,15.27,15.65,15.23,15.35,529519200
3/4/2013,15.41,15.62,15.37,15.43,363216000
4/4/2013,15.49,15.54,15.19,15.28,358447600
5/4/2013,15.16,15.18,14.99,15.11,383695200
8/4/2013,15.17,15.27,15.09,15.22,300829200
9/4/2013,15.23,15.3,15.1,15.25,306614000
10/4/2013,15.29,15.61,15.21,15.56,375928000
11/4/2013,15.49,15.64,15.4,15.51,328364400
12/4/2013,15.51,15.51,15.32,15.35,238613200
15/4/2013,15.25,15.28,14.98,14.99,317520000
16/4/2013,15.06,15.24,15.02,15.22,305771200
17/4/2013,15.01,15.02,14.22,14.39,945056000
