Date,Open,High,Low,Close,Volume
2/1/2013,17.92,18.11,17.85,18.01,102033017
3/1/2013,18.06,18.23,17.95,18.02,93075567
4/1/2013,18.17,18.47,18.12,18.38,110954331
7/1/2013,18.32,18.42,18.2,18.3,66476239
8/1/2013,18.32,18.34,18.04,18.26,67295297
9/1/2013,18.24,18.39,18.15,18.38,81291563
10/1/2013,18.5,18.56,18.27,18.47,73703226
11/1/2013,18.48,18.49,18.34,18.43,51600690
14/1/2013,18.36,18.49,17.99,18.01,114985384
15/1/2013,17.92,18.31,17.74,18.06,157696879
16/1/2013,17.99,18.04,17.78,17.81,81239368
17/1/2013,17.88,17.92,17.71,17.72,88791570
18/1/2013,17.69,17.75,17.47,17.55,129555794
22/1/2013,17.55,17.57,17.32,17.51,152264594
23/1/2013,18.33,18.66,18.33,18.47,237249950
24/1/2013,18.46,18.85,18.44,18.78,135815168
25/1/2013,18.7,18.89,18.69,18.77,89369729
28/1/2013,18.72,18.82,18.63,18.7,65327951
29/1/2013,18.6,18.85,18.59,18.77,70145942
30/1/2013,18.77,18.95,18.75,18.78,69579828
31/1/2013,18.69,18.87,18.69,18.82,65613015
1/2/2013,18.88,19.34,18.88,19.32,150405652
4/2/2013,19.12,19.19,18.89,18.9,122075862
5/2/2013,18.96,19.21,18.92,19.07,75108474
6/2/2013,18.91,19.25,18.89,19.18,83435569
7/2/2013,19.17,19.4,19.07,19.28,114033831
8/2/2013,19.43,19.59,19.42,19.56,121256803
11/2/2013,19.39,19.5,19.27,19.49,87037018
12/2/2013,19.47,19.62,19.41,19.44,74638720
13/2/2013,19.43,19.56,19.43,19.5,48107646
14/2/2013,19.42,19.64,19.37,19.62,69672173
15/2/2013,19.61,19.76,19.6,19.75,109601278
19/2/2013,19.83,20.1,19.81,20.1,117711564
20/2/2013,20.06,20.15,19.72,19.74,110982436
21/2/2013,19.88,20.06,19.71,19.81,140781714
22/2/2013,19.91,19.96,19.77,19.92,82463941
