Date,Open,High,Low,Close,Volume
2/1/2013,18.52,19.5,18.17,18.95,656400
3/1/2013,18.76,18.92,18.6,18.61,455600
4/1/2013,18.99,19.37,18.96,19.16,559600
7/1/2013,19.38,19.77,19.32,19.64,724200
8/1/2013,20.01,20.18,19.92,20.06,704500
9/1/2013,19.85,20,19.77,19.96,547200
10/1/2013,20.59,20.91,20.5,20.86,634800
11/1/2013,20.85,20.91,19.2,19.8,1369600
14/1/2013,19.58,19.98,19.58,19.82,501000
15/1/2013,20.1,20.14,19.79,19.91,538500
16/1/2013,19.93,20.46,19.93,20.36,438800
17/1/2013,20.2,20.5,20.04,20.43,492100
18/1/2013,20.4,20.4,20.14,20.23,411900
22/1/2013,19.91,20.06,19.62,19.88,701700
23/1/2013,19.8,20,19.64,19.72,333300
24/1/2013,20.23,20.38,19.88,20.05,366000
25/1/2013,20.53,20.89,20.5,20.79,648800
28/1/2013,21.25,21.56,21.2,21.46,1055100
29/1/2013,21.64,21.97,21.46,21.88,602000
30/1/2013,21.99,22.75,21.95,22.38,1023400
31/1/2013,22.26,22.26,21.31,21.4,1076400
1/2/2013,21.71,22.07,21.26,22.02,971600
4/2/2013,22.03,23.13,22.03,22.95,1492600
5/2/2013,22.87,22.88,22.42,22.55,846700
6/2/2013,23,23,22.3,22.78,816800
7/2/2013,22.9,22.9,22.22,22.28,779800
8/2/2013,22.37,22.99,22.37,22.96,649600
11/2/2013,23.1,23.59,23,23.58,681800
12/2/2013,23.45,23.58,23.36,23.42,389300
13/2/2013,23.48,23.49,23.15,23.3,597400
14/2/2013,23.1,23.3,23.01,23.14,373300
15/2/2013,23.12,23.49,23.12,23.27,556300
19/2/2013,23,23.2,22.89,23.05,716700
20/2/2013,23.07,23.29,22.9,22.91,659300
21/2/2013,22.05,22.06,20.67,21.15,1920400
22/2/2013,21.5,21.69,21.12,21.47,900700
25/2/2013,21.89,21.97,21.4,21.4,841200
26/2/2013,20.92,20.92,20.29,20.47,958400
