Date,Open,High,Low,Close,Actual,Volume,Type
2024-12-31,84.06,86.94,84.06,85.29,84.79,15915953,Predicted
2025-01-02,84.72,86.9,84.17,85.26,84.95,15915953,Predicted
2025-01-03,84.88,87.64,84.88,85.98,85.54,15915953,Predicted
2025-01-06,85.47,88.25,85.47,86.58,85.52,15915953,Predicted
2025-01-07,85.45,88.0,85.23,86.34,84.48,15915953,Predicted
2025-01-08,84.41,86.94,84.21,85.3,83.69,15915953,Predicted
2025-01-10,83.62,86.44,83.62,84.8,80.53,15915953,Predicted
2025-01-13,80.46,83.65,80.46,82.06,80.54,15915953,Predicted
2025-01-14,80.47,83.39,80.47,81.81,81.68,15915953,Predicted
2025-01-15,81.61,83.99,81.35,82.4,82.44,15915953,Predicted
2025-01-16,82.37,83.72,81.08,82.13,82.43,15915953,Predicted
2025-01-17,82.36,84.78,82.11,83.17,85.12,15915953,Predicted
2025-01-21,85.05,87.43,84.68,85.78,85.38,15915953,Predicted
2025-01-22,85.31,87.51,84.76,85.85,86.4,15915953,Predicted
2025-01-23,86.33,87.82,85.06,86.16,86.1,15915953,Predicted
2025-01-24,86.03,88.93,86.03,87.24,89.14,15915953,Predicted
2025-01-27,89.07,90.84,87.98,89.12,89.99,15915953,Predicted
2025-01-28,89.92,91.69,88.81,89.96,96.03,15915953,Predicted
2025-01-29,95.95,97.88,94.8,96.02,96.72,15915953,Predicted
2025-01-30,96.64,99.77,96.63,97.88,102.74,15915953,Predicted
2025-01-31,102.66,104.26,100.98,102.28,98.84,15915953,Predicted
2025-02-03,98.76,103.19,98.76,101.24,98.61,15915953,Predicted
2025-02-04,98.53,103.22,98.53,101.26,102.35,15915953,Predicted
2025-02-05,102.27,105.81,102.27,103.81,99.28,15915953,Predicted
2025-02-06,99.2,104.14,99.2,102.16,100.38,15915953,Predicted
2025-02-07,100.3,103.42,100.16,101.46,103.51,15915953,Predicted
2025-02-10,103.43,106.26,102.92,104.25,111.32,15915953,Predicted
2025-02-11,111.23,113.1,109.54,110.95,112.78,15915953,Predicted
2025-02-12,112.69,115.97,112.32,113.77,118.33,15915953,Predicted
2025-02-13,118.23,118.23,113.74,115.21,119.54,15915953,Predicted
2025-02-14,119.44,123.97,119.44,121.62,124.73,15915953,Predicted
2025-02-18,124.63,124.69,120.76,122.32,126.9,15915953,Predicted
2025-02-19,126.8,128.01,123.99,125.59,125.79,15915953,Predicted
2025-02-20,125.69,128.61,124.57,126.18,135.97,15915953,Predicted
2025-02-21,135.86,137.14,132.83,134.55,143.75,15915953,Predicted
2025-02-24,143.63,150.95,143.63,148.09,129.04,15915953,Predicted
2025-02-25,128.94,130.21,126.11,127.74,134.01,15915953,Predicted
2025-02-26,133.9,137.21,132.89,134.61,139.08,15915953,Predicted
2025-02-27,138.97,143.55,138.97,140.83,136.55,15915953,Predicted
2025-02-28,136.44,137.56,133.23,134.95,132.51,15915953,Predicted
2025-03-03,132.4,136.26,131.97,133.68,130.81,15915953,Predicted
2025-03-04,130.7,132.21,128.06,129.71,129.85,15915953,Predicted
2025-03-05,129.74,132.9,128.72,130.38,141.03,15915953,Predicted
2025-03-06,140.92,144.33,139.79,141.59,139.95,15915953,Predicted
2025-03-07,139.84,142.41,137.93,139.72,140.62,15915953,Predicted
2025-03-10,140.51,144.7,140.15,141.95,132.54,15915953,Predicted
2025-03-11,132.43,137.14,132.43,134.54,139.02,15915953,Predicted
2025-03-12,138.91,139.31,134.92,136.67,137.14,15915953,Predicted
2025-03-13,137.03,139.22,134.84,136.58,138.35,15915953,Predicted
2025-03-14,138.24,142.91,138.24,140.2,141.1,15915953,Predicted
2025-03-17,140.99,142.77,138.28,140.07,147.57,15915953,Predicted
2025-03-18,147.45,147.8,143.15,145.0,142.74,15915953,Predicted
2025-03-19,142.62,142.62,136.85,138.61,143.2,15915953,Predicted
2025-03-20,143.08,143.08,138.38,140.16,136.91,15915953,Predicted
2025-03-21,136.8,137.87,133.53,135.26,135.14,15915953,Predicted
2025-03-24,135.03,135.71,131.44,133.13,134.48,15915953,Predicted
2025-03-25,134.37,142.05,134.37,139.35,132.75,15915953,Predicted
2025-03-26,132.64,133.54,129.34,131.01,132.24,15915953,Predicted
