Date,Open,High,Low,Close,Actual,Volume,Type
2024-12-31,84.72,84.96,82.36,83.67,84.79,19935720,Predicted
2025-01-04,85.38,85.38,81.93,83.23,132.7,19935720,Predicted
2025-01-05,133.63,133.63,117.9,119.76,120.53,19935720,Predicted
2025-01-07,121.37,121.37,114.28,116.09,113.97,19935720,Predicted
2025-01-08,114.77,115.96,112.41,114.19,117.07,19935720,Predicted
2025-01-10,117.89,120.4,116.72,118.56,182.78,19935720,Predicted
2025-01-13,184.06,184.06,143.66,145.94,80.54,19935720,Predicted
2025-01-14,81.1,97.81,81.1,96.31,81.68,19935720,Predicted
2025-01-15,82.25,91.81,82.25,90.41,82.44,19935720,Predicted
2025-01-16,83.02,91.73,83.02,90.33,82.43,19935720,Predicted
2025-01-17,83.01,83.77,81.2,82.49,85.12,19935720,Predicted
2025-01-21,85.72,87.58,84.9,86.24,85.38,19935720,Predicted
2025-01-22,85.98,94.81,85.98,93.37,86.4,19935720,Predicted
2025-01-23,87.0,87.0,83.58,84.9,86.1,19935720,Predicted
2025-01-24,86.7,88.06,85.37,86.72,89.14,19935720,Predicted
2025-01-27,89.76,90.29,87.53,88.91,89.99,19935720,Predicted
2025-01-28,90.62,90.62,85.17,86.52,96.03,19935720,Predicted
2025-01-29,96.7,96.7,86.21,87.58,96.72,19935720,Predicted
2025-01-30,97.4,97.4,91.06,92.5,102.74,19935720,Predicted
2025-01-31,103.46,103.46,90.15,91.58,98.84,19935720,Predicted
2025-02-01,99.53,99.53,93.03,94.5,84.95,19935720,Predicted
2025-02-04,85.54,85.7,83.08,84.39,129.79,19935720,Predicted
2025-02-05,130.7,130.7,113.49,115.28,125.76,19935720,Predicted
2025-02-06,126.64,128.2,124.27,126.24,114.75,19935720,Predicted
2025-02-07,115.55,122.56,115.55,120.69,110.71,19935720,Predicted
2025-02-09,111.49,116.36,111.49,114.58,138.55,19935720,Predicted
2025-02-10,139.52,139.52,126.06,128.05,189.34,19935720,Predicted
2025-02-13,190.67,190.67,161.63,164.19,119.54,19935720,Predicted
2025-02-14,120.38,127.47,120.38,125.52,124.73,19935720,Predicted
2025-02-18,125.6,125.6,119.03,120.92,126.9,19935720,Predicted
2025-02-19,127.79,127.79,122.43,124.37,125.79,19935720,Predicted
2025-02-20,126.67,126.67,109.07,110.8,135.97,19935720,Predicted
2025-02-21,136.92,136.92,121.76,123.68,143.75,19935720,Predicted
2025-02-24,144.76,144.76,138.65,140.85,129.04,19935720,Predicted
2025-02-25,129.94,129.94,125.66,127.65,134.01,19935720,Predicted
2025-02-26,134.95,134.95,125.11,127.09,139.08,19935720,Predicted
2025-02-27,140.05,140.05,127.62,129.64,136.55,19935720,Predicted
2025-02-28,137.51,137.51,120.85,122.77,132.51,19935720,Predicted
2025-03-01,133.44,133.44,124.69,126.66,85.54,19935720,Predicted
2025-03-02,86.14,95.69,86.14,94.23,98.61,19935720,Predicted
2025-03-03,99.3,99.3,94.26,95.76,130.81,19935720,Predicted
2025-03-04,131.73,131.73,121.69,123.61,129.33,19935720,Predicted
2025-03-06,130.24,130.24,118.55,120.43,114.97,19935720,Predicted
2025-03-07,115.77,117.3,113.71,115.51,108.7,19935720,Predicted
2025-03-09,109.46,112.06,108.64,110.35,136.45,19935720,Predicted
2025-03-10,137.41,137.41,123.66,125.62,188.03,19935720,Predicted
2025-03-11,189.35,189.35,145.78,148.08,167.69,19935720,Predicted
2025-03-13,168.86,168.86,146.63,148.95,138.35,19935720,Predicted
2025-03-14,139.32,156.74,139.32,154.35,141.1,19935720,Predicted
