Date,Open,High,Low,Close,Actual,Volume,Type
2024-12-31,84.72,85.58,82.96,84.27,84.79,19935720,Predicted
2025-01-04,85.38,85.93,83.31,84.62,132.7,19935720,Predicted
2025-01-05,133.63,133.63,115.01,116.83,120.53,19935720,Predicted
2025-01-07,121.37,121.37,116.51,118.35,113.97,19935720,Predicted
2025-01-08,114.77,114.77,110.25,111.99,117.07,19935720,Predicted
2025-01-10,117.89,118.81,115.18,117.0,182.78,19935720,Predicted
2025-01-13,184.06,184.06,158.6,161.11,80.54,19935720,Predicted
2025-01-14,81.1,104.84,81.1,103.24,81.68,19935720,Predicted
2025-01-15,82.25,85.15,82.25,83.85,82.44,19935720,Predicted
2025-01-16,83.02,95.61,83.02,94.15,82.43,19935720,Predicted
2025-01-17,83.01,84.46,81.88,83.17,85.12,19935720,Predicted
2025-01-21,85.72,85.72,80.58,81.85,85.38,19935720,Predicted
2025-01-22,85.98,91.21,85.98,89.81,86.4,19935720,Predicted
2025-01-23,87.0,90.54,87.0,89.16,86.1,19935720,Predicted
2025-01-24,86.7,86.97,84.31,85.65,89.14,19935720,Predicted
2025-01-27,89.76,91.75,88.94,90.35,89.99,19935720,Predicted
2025-01-28,90.62,90.62,85.45,86.8,96.03,19935720,Predicted
2025-01-29,96.7,96.7,91.37,92.82,96.72,19935720,Predicted
2025-01-30,97.4,97.4,92.56,94.02,102.74,19935720,Predicted
2025-01-31,103.46,103.46,98.61,100.17,98.84,19935720,Predicted
2025-02-01,99.53,104.37,99.53,102.78,84.95,19935720,Predicted
2025-02-04,85.54,90.21,85.54,88.84,129.79,19935720,Predicted
2025-02-05,130.7,130.7,117.68,119.54,125.76,19935720,Predicted
2025-02-06,126.64,126.64,119.6,121.49,114.75,19935720,Predicted
2025-02-07,115.55,115.55,108.56,110.28,110.71,19935720,Predicted
2025-02-09,111.49,111.68,108.27,109.98,138.55,19935720,Predicted
2025-02-10,139.52,139.52,126.43,128.43,189.34,19935720,Predicted
2025-02-13,190.67,190.67,160.09,162.62,119.54,19935720,Predicted
2025-02-14,120.38,144.14,120.38,141.94,124.73,19935720,Predicted
2025-02-18,125.6,125.6,120.19,122.09,126.9,19935720,Predicted
2025-02-19,127.79,132.68,127.79,130.65,125.79,19935720,Predicted
2025-02-20,126.67,126.67,117.93,119.8,135.97,19935720,Predicted
2025-02-21,136.92,136.92,118.53,120.41,143.75,19935720,Predicted
2025-02-24,144.76,144.76,138.79,140.99,129.04,19935720,Predicted
2025-02-25,129.94,131.09,127.08,129.09,134.01,19935720,Predicted
2025-02-26,134.95,134.95,123.71,125.66,139.08,19935720,Predicted
2025-02-27,140.05,140.05,134.21,136.33,136.55,19935720,Predicted
2025-02-28,137.51,137.51,129.35,131.4,132.51,19935720,Predicted
2025-03-01,133.44,133.44,127.63,129.65,85.54,19935720,Predicted
2025-03-02,86.14,101.56,86.14,100.01,98.61,19935720,Predicted
2025-03-03,99.3,99.3,95.99,97.51,130.81,19935720,Predicted
2025-03-04,131.73,131.73,125.73,127.72,129.33,19935720,Predicted
2025-03-06,130.24,130.24,123.0,124.94,114.97,19935720,Predicted
2025-03-07,115.77,119.97,115.77,118.14,108.7,19935720,Predicted
2025-03-09,109.46,115.96,109.46,114.2,136.45,19935720,Predicted
2025-03-10,137.41,137.41,125.33,127.31,188.03,19935720,Predicted
2025-03-11,189.35,189.35,162.44,165.01,167.69,19935720,Predicted
2025-03-13,168.86,169.25,164.07,166.67,138.35,19935720,Predicted
2025-03-14,139.32,143.06,138.69,140.88,141.1,19935720,Predicted
2025-03-17,142.09,150.44,142.09,148.15,147.57,19935720,Predicted
2025-03-18,148.6,148.6,143.55,145.82,142.74,19935720,Predicted
2025-03-19,143.74,143.74,137.94,140.13,143.2,19935720,Predicted
2025-03-20,144.2,144.2,139.53,141.74,136.91,19935720,Predicted
2025-03-21,137.87,137.87,133.55,135.67,135.14,19935720,Predicted
2025-03-24,136.09,136.09,130.58,132.65,134.48,19935720,Predicted
2025-03-25,135.42,137.51,133.3,135.41,132.75,19935720,Predicted
2025-03-26,133.68,135.09,130.96,133.03,132.24,19935720,Predicted
2025-03-27,133.17,133.17,126.73,128.73,135.63,19935720,Predicted
2025-03-28,136.58,136.58,125.91,127.9,132.43,19935720,Predicted
2025-03-31,133.36,133.36,125.6,127.59,132.23,19935720,Predicted
2025-04-02,133.16,135.91,131.75,133.84,102.35,19935720,Predicted
2025-04-03,103.07,112.63,103.07,110.91,129.85,19935720,Predicted
2025-04-04,130.76,130.76,119.66,121.55,116.54,19935720,Predicted
2025-04-06,117.36,121.59,117.36,119.74,119.45,19935720,Predicted
2025-04-08,120.29,120.29,116.04,117.88,117.5,19935720,Predicted
2025-04-09,118.32,121.24,117.53,119.39,130.92,19935720,Predicted
2025-04-11,131.84,131.84,125.87,127.86,164.3,19935720,Predicted
2025-04-14,165.45,165.45,149.72,152.09,113.97,19935720,Predicted
2025-04-15,114.77,129.19,114.77,127.22,112.28,19935720,Predicted
2025-04-16,113.07,118.63,113.07,116.82,106.75,19935720,Predicted
2025-04-17,107.5,111.78,107.5,110.07,108.87,19935720,Predicted
2025-04-21,109.63,112.08,108.65,110.37,110.15,19935720,Predicted
2025-04-22,110.92,110.92,105.8,107.48,115.88,19935720,Predicted
2025-04-23,116.69,116.69,113.05,114.84,118.97,19935720,Predicted
2025-04-24,119.8,124.06,119.8,122.17,119.29,19935720,Predicted
2025-04-25,120.13,120.37,116.68,118.53,120.28,19935720,Predicted
2025-04-28,121.12,124.92,121.1,123.02,118.37,19935720,Predicted
2025-04-29,119.2,120.7,117.01,118.86,118.88,19935720,Predicted
2025-04-30,119.71,119.71,114.28,116.09,119.43,19935720,Predicted
2025-05-02,120.27,120.27,114.85,116.66,99.28,19935720,Predicted
2025-05-03,99.98,105.17,99.98,103.56,141.03,19935720,Predicted
2025-05-05,142.02,142.02,133.6,135.71,126.57,19935720,Predicted
2025-05-06,127.46,133.79,127.46,131.74,119.96,19935720,Predicted
2025-05-08,120.8,120.8,117.03,118.88,117.04,19935720,Predicted
2025-05-09,117.86,122.7,117.86,120.83,135.58,19935720,Predicted
2025-05-11,136.53,136.53,129.84,131.9,164.82,19935720,Predicted
2025-05-13,165.97,165.97,150.26,152.63,131.65,19935720,Predicted
2025-05-14,132.57,139.27,132.57,137.15,134.05,19935720,Predicted
2025-05-15,134.99,134.99,126.31,128.31,123.9,19935720,Predicted
2025-05-16,124.77,133.71,124.77,131.67,123.46,19935720,Predicted
2025-05-19,124.32,124.32,118.19,120.06,122.96,19935720,Predicted
2025-05-20,123.82,124.54,120.73,122.64,125.16,19935720,Predicted
2025-05-21,126.04,126.61,122.74,124.68,123.59,19935720,Predicted
2025-05-22,124.46,125.2,121.37,123.29,121.48,19935720,Predicted
2025-05-23,122.33,124.19,120.39,122.3,120.73,19935720,Predicted
2025-05-27,121.58,123.24,119.47,121.36,119.52,19935720,Predicted
2025-05-28,120.36,121.39,117.68,119.54,116.74,19935720,Predicted
2025-05-29,117.56,117.56,113.7,115.5,117.18,19935720,Predicted
2025-05-30,118.0,118.0,113.26,115.05,113.84,19935720,Predicted
2025-06-01,114.64,114.64,109.67,111.41,85.52,19935720,Predicted
2025-06-02,86.12,95.07,86.12,93.62,100.38,19935720,Predicted
2025-06-03,101.08,101.08,96.41,97.93,139.95,19935720,Predicted
2025-06-05,140.93,140.93,128.28,130.31,127.66,19935720,Predicted
2025-06-06,128.55,130.23,126.25,128.25,119.38,19935720,Predicted
2025-06-08,120.22,124.85,120.22,122.94,120.86,19935720,Predicted
2025-06-10,121.71,127.57,121.71,125.62,187.22,19935720,Predicted
2025-06-11,188.53,188.53,163.92,166.51,167.61,19935720,Predicted
2025-06-13,168.78,168.78,163.2,165.78,112.87,19935720,Predicted
2025-06-16,113.66,131.37,113.66,129.37,115.96,19935720,Predicted
2025-06-17,116.77,125.31,116.77,123.39,115.03,19935720,Predicted
2025-06-18,115.84,121.01,115.84,119.16,113.49,19935720,Predicted
2025-06-20,114.28,114.28,110.3,112.04,113.01,19935720,Predicted
2025-06-23,113.8,113.8,108.76,110.48,113.09,19935720,Predicted
2025-06-24,113.88,119.38,113.88,117.56,117.01,19935720,Predicted
2025-06-25,117.83,117.83,112.52,114.3,114.55,19935720,Predicted
2025-06-26,115.35,115.35,111.74,113.51,113.93,19935720,Predicted
2025-06-27,114.73,114.73,110.28,112.03,114.08,19935720,Predicted
2025-06-30,114.88,114.88,110.96,112.72,113.41,19935720,Predicted
2025-07-01,114.2,114.2,109.41,111.14,84.48,19935720,Predicted
2025-07-02,85.07,91.56,85.07,90.17,103.51,19935720,Predicted
2025-07-03,104.23,104.23,97.29,98.83,140.62,19935720,Predicted
2025-07-04,141.6,141.6,131.62,133.71,105.98,19935720,Predicted
2025-07-05,106.72,113.4,106.72,111.67,123.23,19935720,Predicted
2025-07-07,124.09,124.09,115.53,117.35,106.27,19935720,Predicted
2025-07-08,107.01,120.82,107.01,118.98,120.96,19935720,Predicted
2025-07-10,121.81,121.81,112.58,114.36,181.33,19935720,Predicted
2025-07-11,182.6,182.6,158.43,160.94,166.34,19935720,Predicted
2025-07-14,167.5,167.5,161.98,164.55,108.22,19935720,Predicted
2025-07-15,108.98,125.27,108.98,123.36,116.97,19935720,Predicted
2025-07-16,117.79,127.29,117.79,125.35,115.73,19935720,Predicted
2025-07-17,116.54,124.32,116.54,122.42,117.3,19935720,Predicted
2025-07-18,118.12,118.12,110.35,112.1,120.23,19935720,Predicted
2025-07-21,121.07,121.07,114.1,115.9,120.27,19935720,Predicted
2025-07-22,121.11,121.11,117.02,118.87,120.71,19935720,Predicted
2025-07-23,121.56,121.56,116.55,118.4,122.58,19935720,Predicted
2025-07-24,123.44,123.44,119.41,121.3,121.15,19935720,Predicted
2025-07-25,122.0,123.23,119.46,121.35,120.03,19935720,Predicted
2025-07-28,120.87,120.87,114.27,116.08,122.15,19935720,Predicted
2025-07-29,123.01,123.01,114.66,116.47,119.36,19935720,Predicted
2025-07-30,120.2,120.2,112.39,114.17,117.38,19935720,Predicted
2025-07-31,118.2,122.23,118.2,120.37,120.63,19935720,Predicted
2025-08-01,121.47,123.46,119.69,121.58,83.69,19935720,Predicted
2025-08-04,84.28,93.94,84.28,92.51,99.37,19935720,Predicted
2025-08-05,100.07,100.43,97.36,98.9,125.79,19935720,Predicted
2025-08-07,126.67,126.67,118.22,120.09,107.99,19935720,Predicted
2025-08-08,108.75,114.19,108.75,112.45,120.36,19935720,Predicted
2025-08-09,121.2,121.2,116.76,118.61,141.2,19935720,Predicted
2025-08-10,142.19,142.19,132.97,135.07,181.12,19935720,Predicted
2025-08-13,182.39,182.39,164.07,166.67,126.86,19935720,Predicted
2025-08-14,127.75,146.73,127.75,144.49,122.28,19935720,Predicted
2025-08-15,123.14,125.3,121.47,123.39,121.26,19935720,Predicted
2025-08-18,122.11,127.92,122.11,125.97,121.4,19935720,Predicted
2025-08-19,122.25,122.25,115.74,117.57,119.99,19935720,Predicted
2025-08-20,120.83,120.83,111.97,113.74,119.49,19935720,Predicted
2025-08-21,120.33,124.44,120.33,122.54,118.09,19935720,Predicted
2025-08-22,118.92,124.78,118.92,122.87,122.94,19935720,Predicted
2025-08-25,123.8,123.8,118.93,120.81,124.35,19935720,Predicted
2025-08-26,125.22,128.73,124.79,126.77,124.19,19935720,Predicted
2025-08-27,125.06,125.06,118.57,120.45,122.23,19935720,Predicted
2025-08-28,123.09,123.09,118.4,120.27,119.57,19935720,Predicted
2025-08-29,120.41,120.41,115.43,117.26,135.0,19935720,Predicted
2025-09-04,135.95,135.95,129.8,131.86,104.78,19935720,Predicted
2025-09-05,105.51,115.96,105.51,114.19,125.33,19935720,Predicted
2025-09-06,126.21,126.21,118.94,120.82,121.48,19935720,Predicted
2025-09-07,122.33,126.7,122.33,124.77,103.83,19935720,Predicted
2025-09-09,104.56,104.95,101.74,103.35,147.1,19935720,Predicted
2025-09-10,148.13,148.13,131.2,133.27,173.68,19935720,Predicted
2025-09-15,174.9,174.9,159.92,162.45,158.04,19935720,Predicted
2025-09-16,159.15,159.15,152.79,155.2,162.21,19935720,Predicted
2025-09-17,163.35,163.35,152.71,155.12,166.17,19935720,Predicted
2025-09-18,167.33,169.51,164.32,166.92,162.48,19935720,Predicted
2025-09-19,163.62,163.62,156.46,158.94,162.81,19935720,Predicted
2025-09-22,163.95,163.95,156.28,158.75,164.25,19935720,Predicted
2025-09-23,165.4,165.4,156.16,158.63,163.08,19935720,Predicted
2025-09-24,164.22,164.22,158.8,161.31,176.44,19935720,Predicted
2025-09-25,177.68,177.68,167.21,169.86,175.47,19935720,Predicted
2025-09-26,176.7,176.7,170.34,173.04,171.91,19935720,Predicted
