Date,Open,High,Low,Close,Actual,Volume,Type
2024-12-31,84.72,85.36,82.75,84.06,84.79,19935720,Predicted
2025-01-04,85.38,85.38,82.68,83.99,132.7,19935720,Predicted
2025-01-05,133.63,133.63,108.18,109.9,120.53,19935720,Predicted
2025-01-07,121.37,121.37,113.91,115.72,113.97,19935720,Predicted
2025-01-08,114.77,115.92,112.37,114.15,117.07,19935720,Predicted
2025-01-10,117.89,117.89,113.9,115.7,182.78,19935720,Predicted
2025-01-13,184.06,184.06,146.91,149.23,80.54,19935720,Predicted
2025-01-14,81.1,109.79,81.1,108.11,81.68,19935720,Predicted
2025-01-15,82.25,95.21,82.25,93.75,82.44,19935720,Predicted
2025-01-16,83.02,91.18,83.02,89.79,82.43,19935720,Predicted
2025-01-17,83.01,84.91,82.31,83.62,85.12,19935720,Predicted
2025-01-21,85.72,89.75,85.72,88.38,85.38,19935720,Predicted
2025-01-22,85.98,88.15,85.45,86.81,86.4,19935720,Predicted
2025-01-23,87.0,87.13,84.46,85.8,86.1,19935720,Predicted
2025-01-24,86.7,87.54,84.86,86.2,89.14,19935720,Predicted
2025-01-27,89.76,89.76,86.67,88.04,89.99,19935720,Predicted
2025-01-28,90.62,90.62,84.49,85.82,96.03,19935720,Predicted
2025-01-29,96.7,96.7,89.99,91.42,96.72,19935720,Predicted
2025-01-30,97.4,97.4,93.56,95.04,102.74,19935720,Predicted
2025-01-31,103.46,103.46,98.76,100.32,98.84,19935720,Predicted
2025-02-01,99.53,99.53,96.01,97.53,84.95,19935720,Predicted
2025-02-04,85.54,95.57,85.54,94.11,129.79,19935720,Predicted
2025-02-05,130.7,130.7,108.08,109.78,125.76,19935720,Predicted
2025-02-06,126.64,126.64,113.41,115.21,114.75,19935720,Predicted
2025-02-07,115.55,115.55,110.82,112.57,110.71,19935720,Predicted
2025-02-09,111.49,115.43,111.49,113.67,138.55,19935720,Predicted
2025-02-10,139.52,139.52,119.78,121.67,189.34,19935720,Predicted
2025-02-13,190.67,190.67,157.01,159.49,119.54,19935720,Predicted
2025-02-14,120.38,135.28,120.38,133.22,124.73,19935720,Predicted
2025-02-18,125.6,129.63,125.6,127.65,126.9,19935720,Predicted
2025-02-19,127.79,127.79,121.74,123.67,125.79,19935720,Predicted
2025-02-20,126.67,126.67,117.23,119.08,135.97,19935720,Predicted
2025-02-21,136.92,136.92,119.95,121.84,143.75,19935720,Predicted
2025-02-24,144.76,144.76,131.21,133.29,129.04,19935720,Predicted
2025-02-25,129.94,129.94,120.54,122.44,134.01,19935720,Predicted
2025-02-26,134.95,134.95,127.96,129.98,139.08,19935720,Predicted
2025-02-27,140.05,140.05,129.79,131.84,136.55,19935720,Predicted
2025-02-28,137.51,137.51,125.71,127.7,132.51,19935720,Predicted
2025-03-01,133.44,133.44,128.7,130.74,85.54,19935720,Predicted
2025-03-02,86.14,106.02,86.14,104.41,98.61,19935720,Predicted
2025-03-03,99.3,105.79,99.3,104.17,130.81,19935720,Predicted
2025-03-04,131.73,131.73,113.93,115.73,129.33,19935720,Predicted
