Date,Open,High,Low,Close,Actual,Volume,Type
2024-12-31,222.56,224.57,219.33,221.65,219.39,50672260,Predicted
2025-01-02,220.64,220.64,215.16,217.44,220.22,50672260,Predicted
2025-01-03,221.47,221.47,215.13,217.41,224.19,50672260,Predicted
2025-01-06,225.46,225.6,220.33,222.66,227.61,50672260,Predicted
2025-01-07,228.9,228.9,223.47,225.84,222.11,50672260,Predicted
2025-01-08,223.37,224.43,219.18,221.51,222.13,50672260,Predicted
2025-01-10,223.39,223.39,218.15,220.46,218.94,50672260,Predicted
2025-01-13,220.18,221.11,215.94,218.23,218.46,50672260,Predicted
2025-01-14,219.7,221.93,216.74,219.04,217.76,50672260,Predicted
2025-01-15,219.0,219.46,214.33,216.6,223.35,50672260,Predicted
2025-01-16,224.62,224.62,218.12,220.43,220.66,50672260,Predicted
2025-01-17,221.91,224.0,218.77,221.09,225.94,50672260,Predicted
2025-01-21,227.22,227.22,221.61,223.96,230.71,50672260,Predicted
2025-01-22,232.02,232.02,226.17,228.57,235.01,50672260,Predicted
2025-01-23,236.35,236.48,230.96,233.41,235.42,50672260,Predicted
2025-01-24,236.76,237.01,231.48,233.93,234.85,50672260,Predicted
2025-01-27,236.19,237.89,232.33,234.79,235.42,50672260,Predicted
2025-01-28,236.76,240.29,234.68,237.17,238.15,50672260,Predicted
2025-01-29,239.5,241.81,236.16,238.66,237.07,50672260,Predicted
2025-01-30,238.42,239.18,233.59,236.07,234.64,50672260,Predicted
2025-01-31,235.97,237.42,231.87,234.33,237.68,50672260,Predicted
2025-02-03,239.03,240.01,234.41,236.89,237.42,50672260,Predicted
2025-02-04,238.77,241.12,235.49,237.98,242.06,50672260,Predicted
2025-02-05,243.44,243.83,238.13,240.65,236.17,50672260,Predicted
2025-02-06,237.51,239.62,234.02,236.5,238.83,50672260,Predicted
2025-02-07,240.19,240.49,234.87,237.36,229.15,50672260,Predicted
2025-02-10,230.45,234.39,228.92,231.34,233.14,50672260,Predicted
2025-02-11,234.47,234.52,229.04,231.47,232.76,50672260,Predicted
2025-02-12,234.08,234.88,229.4,231.83,228.93,50672260,Predicted
2025-02-13,230.23,232.75,227.31,229.72,230.37,50672260,Predicted
2025-02-14,231.68,233.71,228.25,230.67,228.68,50672260,Predicted
2025-02-18,229.98,231.32,225.92,228.31,226.65,50672260,Predicted
2025-02-19,227.94,227.94,222.26,224.61,226.63,50672260,Predicted
2025-02-20,227.92,228.75,223.41,225.78,222.88,50672260,Predicted
2025-02-21,224.15,226.95,221.65,224.0,216.58,50672260,Predicted
2025-02-24,217.81,219.61,214.48,216.75,212.71,50672260,Predicted
2025-02-25,213.92,216.3,211.25,213.49,212.8,50672260,Predicted
2025-02-26,214.01,214.29,209.28,211.5,214.35,50672260,Predicted
2025-02-27,215.57,217.66,212.58,214.83,208.74,50672260,Predicted
2025-02-28,209.93,212.85,207.88,210.08,212.28,50672260,Predicted
