Date,Open,High,Low,Close,Actual,Volume,Type
2024-12-31,222.56,222.56,211.67,213.91,219.39,50672260,Predicted
2025-01-02,220.64,220.64,208.06,210.27,220.22,50672260,Predicted
2025-01-03,221.47,221.47,205.81,207.99,224.19,50672260,Predicted
2025-01-06,225.46,225.46,209.62,211.84,227.61,50672260,Predicted
2025-01-07,228.9,228.9,214.67,216.95,222.11,50672260,Predicted
2025-01-08,223.37,223.37,210.22,212.45,222.13,50672260,Predicted
2025-01-10,223.39,223.39,206.87,209.07,218.94,50672260,Predicted
2025-01-13,220.18,220.18,206.09,208.28,218.46,50672260,Predicted
2025-01-14,219.7,219.7,207.81,210.01,217.76,50672260,Predicted
2025-01-15,219.0,219.0,205.1,207.27,223.35,50672260,Predicted
2025-01-16,224.62,224.62,207.59,209.79,220.66,50672260,Predicted
2025-01-17,221.91,221.91,208.82,211.03,225.94,50672260,Predicted
2025-01-21,227.22,227.22,211.53,213.77,230.71,50672260,Predicted
2025-01-22,232.02,232.02,214.99,217.26,235.01,50672260,Predicted
2025-01-23,236.35,236.35,220.76,223.1,235.42,50672260,Predicted
2025-01-24,236.76,236.76,221.91,224.26,234.85,50672260,Predicted
2025-01-27,236.19,236.19,221.48,223.83,235.42,50672260,Predicted
2025-01-28,236.76,236.76,224.12,226.5,238.15,50672260,Predicted
2025-01-29,239.5,239.5,225.91,228.3,237.07,50672260,Predicted
2025-01-30,238.42,238.42,222.7,225.06,234.64,50672260,Predicted
2025-01-31,235.97,235.97,220.78,223.12,237.68,50672260,Predicted
2025-02-03,239.03,239.03,224.0,226.38,237.42,50672260,Predicted
2025-02-04,238.77,238.77,225.96,228.35,242.06,50672260,Predicted
2025-02-05,243.44,243.44,227.98,230.39,236.17,50672260,Predicted
2025-02-06,237.51,237.51,224.11,226.48,238.83,50672260,Predicted
2025-02-07,240.19,240.19,223.01,225.37,229.15,50672260,Predicted
2025-02-10,230.45,230.45,219.45,221.78,233.14,50672260,Predicted
2025-02-11,234.47,234.47,218.85,221.17,232.76,50672260,Predicted
2025-02-12,234.08,234.08,219.8,222.13,228.93,50672260,Predicted
2025-02-13,230.23,230.23,215.78,218.07,230.37,50672260,Predicted
2025-02-14,231.68,231.68,219.42,221.75,228.68,50672260,Predicted
2025-02-18,229.98,229.98,216.38,218.67,226.65,50672260,Predicted
2025-02-19,227.94,227.94,212.28,214.53,226.63,50672260,Predicted
2025-02-20,227.92,227.92,213.88,216.15,222.88,50672260,Predicted
2025-02-21,224.15,224.15,211.06,213.3,216.58,50672260,Predicted
2025-02-24,217.81,217.81,203.84,206.0,212.71,50672260,Predicted
2025-02-25,213.92,213.92,200.38,202.5,212.8,50672260,Predicted
2025-02-26,214.01,214.01,200.08,202.2,214.35,50672260,Predicted
2025-02-27,215.57,215.57,202.58,204.73,208.74,50672260,Predicted
2025-02-28,209.93,209.93,196.46,198.54,212.28,50672260,Predicted
2025-03-03,213.49,213.49,200.5,202.63,205.02,50672260,Predicted
2025-03-04,206.19,206.19,196.02,198.1,203.8,50672260,Predicted
2025-03-05,204.96,204.96,193.82,195.87,208.36,50672260,Predicted
2025-03-06,209.54,209.54,200.25,202.38,200.7,50672260,Predicted
2025-03-07,201.84,201.84,191.77,193.8,199.25,50672260,Predicted
2025-03-10,200.38,200.38,189.49,191.5,194.54,50672260,Predicted
2025-03-11,195.65,195.65,186.23,188.2,196.59,50672260,Predicted
2025-03-12,197.71,197.71,188.38,190.38,198.89,50672260,Predicted
2025-03-13,200.02,200.02,189.35,191.35,193.89,50672260,Predicted
2025-03-14,194.99,194.99,184.08,186.03,197.95,50672260,Predicted
2025-03-17,199.08,199.08,188.7,190.7,195.74,50672260,Predicted
2025-03-18,196.85,196.85,186.41,188.38,192.82,50672260,Predicted
2025-03-19,193.92,193.92,183.38,185.33,195.54,50672260,Predicted
2025-03-20,196.65,196.65,188.97,190.97,194.95,50672260,Predicted
2025-03-21,196.06,196.06,186.81,188.79,196.21,50672260,Predicted
2025-03-24,197.33,197.33,188.71,190.71,203.26,50672260,Predicted
2025-03-25,204.42,204.42,193.4,195.45,205.71,50672260,Predicted
2025-03-26,206.88,206.88,195.16,197.23,201.13,50672260,Predicted
2025-03-27,202.27,202.27,192.33,194.37,201.36,50672260,Predicted
2025-03-28,202.5,202.5,192.44,194.48,192.72,50672260,Predicted
2025-03-31,193.82,193.82,188.42,190.42,190.26,50672260,Predicted
2025-04-01,191.34,191.34,183.39,185.33,192.17,50672260,Predicted
2025-04-02,193.26,193.26,185.23,187.19,196.01,50672260,Predicted
2025-04-03,197.12,197.12,189.74,191.75,178.41,50672260,Predicted
2025-04-04,179.42,182.56,178.3,180.18,171.0,50672260,Predicted
2025-04-07,171.97,174.74,170.65,172.46,175.26,50672260,Predicted
2025-04-08,176.26,178.17,174.01,175.86,170.66,50672260,Predicted
2025-04-09,171.63,171.63,162.46,164.18,191.1,50672260,Predicted
2025-04-10,192.19,192.19,177.56,179.44,181.22,50672260,Predicted
2025-04-11,182.25,182.25,173.85,175.69,184.87,50672260,Predicted
2025-04-14,185.92,185.92,174.16,176.01,182.12,50672260,Predicted
2025-04-15,183.16,183.16,172.76,174.59,179.59,50672260,Predicted
2025-04-16,180.61,180.61,167.4,169.17,174.33,50672260,Predicted
2025-04-17,175.32,175.32,168.8,170.59,172.61,50672260,Predicted
2025-04-21,173.59,173.59,165.81,167.57,167.32,50672260,Predicted
2025-04-22,168.27,168.27,161.61,163.32,173.18,50672260,Predicted
2025-04-23,174.16,174.16,166.9,168.67,180.6,50672260,Predicted
2025-04-24,181.63,181.63,168.25,170.04,186.54,50672260,Predicted
2025-04-25,187.6,187.6,178.59,180.49,188.99,50672260,Predicted
2025-04-28,190.06,190.06,181.5,183.43,187.7,50672260,Predicted
2025-04-29,188.77,188.77,177.69,179.57,187.39,50672260,Predicted
2025-04-30,188.46,188.46,180.44,182.35,184.42,50672260,Predicted
2025-05-01,185.47,185.47,179.15,181.05,190.2,50672260,Predicted
2025-05-02,191.28,191.28,180.39,182.31,189.98,50672260,Predicted
2025-05-05,191.06,191.06,179.54,181.45,186.35,50672260,Predicted
2025-05-06,187.41,187.41,180.02,181.93,185.01,50672260,Predicted
2025-05-07,186.06,186.06,180.49,182.4,188.71,50672260,Predicted
2025-05-08,189.78,189.78,180.32,182.23,192.08,50672260,Predicted
2025-05-09,193.17,193.17,185.47,187.43,193.06,50672260,Predicted
2025-05-12,194.16,194.16,185.71,187.68,208.64,50672260,Predicted
2025-05-13,209.83,209.83,191.17,193.19,211.37,50672260,Predicted
2025-05-14,212.57,212.57,197.22,199.31,210.25,50672260,Predicted
2025-05-15,211.45,211.45,197.01,199.1,205.17,50672260,Predicted
2025-05-16,206.34,206.34,192.92,194.97,205.59,50672260,Predicted
2025-05-19,206.76,206.76,194.74,196.81,206.16,50672260,Predicted
2025-05-20,207.33,207.33,196.83,198.91,204.07,50672260,Predicted
2025-05-21,205.23,205.23,197.97,200.06,201.12,50672260,Predicted
2025-05-22,202.26,202.26,192.96,195.01,203.1,50672260,Predicted
2025-05-23,204.25,204.25,197.1,199.18,200.99,50672260,Predicted
2025-05-27,202.13,202.13,194.3,196.36,206.02,50672260,Predicted
2025-05-28,207.19,207.19,196.65,198.73,204.72,50672260,Predicted
2025-05-29,205.88,205.88,195.42,197.49,205.7,50672260,Predicted
2025-05-30,206.87,206.87,192.86,194.9,205.01,50672260,Predicted
2025-06-02,206.18,206.18,193.52,195.57,206.65,50672260,Predicted
2025-06-03,207.82,207.82,195.41,197.48,205.71,50672260,Predicted
2025-06-04,206.88,206.88,195.6,197.67,207.23,50672260,Predicted
2025-06-05,208.41,208.41,195.87,197.95,207.91,50672260,Predicted
2025-06-06,209.09,209.09,196.6,198.68,213.57,50672260,Predicted
2025-06-09,214.78,214.78,201.75,203.89,216.98,50672260,Predicted
2025-06-10,218.21,218.21,203.24,205.4,217.61,50672260,Predicted
2025-06-11,218.85,218.85,205.49,207.67,213.2,50672260,Predicted
2025-06-12,214.41,214.41,202.82,204.97,213.24,50672260,Predicted
2025-06-13,214.45,214.45,202.8,204.95,212.1,50672260,Predicted
2025-06-16,213.31,213.31,202.42,204.56,216.1,50672260,Predicted
2025-06-17,217.33,217.33,204.1,206.27,214.82,50672260,Predicted
2025-06-18,216.04,216.04,203.73,205.89,212.52,50672260,Predicted
2025-06-20,213.73,213.73,201.21,203.34,209.69,50672260,Predicted
2025-06-23,210.88,210.88,199.08,201.19,208.47,50672260,Predicted
2025-06-24,209.66,209.66,199.85,201.97,212.77,50672260,Predicted
2025-06-25,213.98,213.98,201.93,204.07,211.99,50672260,Predicted
2025-06-26,213.2,213.2,201.13,203.26,217.12,50672260,Predicted
2025-06-27,218.35,218.35,204.95,207.12,223.3,50672260,Predicted
2025-06-30,224.57,224.57,210.19,212.42,219.39,50672260,Predicted
2025-07-01,220.64,220.64,206.56,208.75,220.46,50672260,Predicted
2025-07-02,221.71,221.71,207.82,210.03,219.92,50672260,Predicted
2025-07-03,221.17,221.17,209.09,211.31,223.41,50672260,Predicted
2025-07-07,224.68,224.68,211.18,213.41,223.47,50672260,Predicted
2025-07-08,224.74,224.74,211.89,214.13,219.36,50672260,Predicted
2025-07-09,220.61,220.61,207.05,209.25,222.54,50672260,Predicted
2025-07-10,223.81,223.81,210.41,212.64,222.26,50672260,Predicted
2025-07-11,223.52,223.52,211.61,213.85,225.02,50672260,Predicted
2025-07-14,226.3,226.3,212.22,214.47,225.69,50672260,Predicted
2025-07-15,226.97,226.97,214.39,216.66,226.35,50672260,Predicted
2025-07-16,227.64,227.64,211.9,214.15,223.19,50672260,Predicted
2025-07-17,224.46,224.46,212.05,214.29,223.88,50672260,Predicted
2025-07-18,225.15,225.15,212.39,214.64,226.13,50672260,Predicted
2025-07-21,227.42,227.42,213.69,215.95,229.3,50672260,Predicted
2025-07-22,230.6,230.6,216.28,218.57,227.47,50672260,Predicted
2025-07-23,228.76,228.76,214.76,217.03,228.29,50672260,Predicted
2025-07-24,229.59,229.59,215.86,218.15,232.23,50672260,Predicted
2025-07-25,233.55,233.55,219.13,221.45,231.44,50672260,Predicted
2025-07-28,232.76,232.76,218.72,221.04,232.79,50672260,Predicted
2025-07-29,234.11,234.11,219.82,222.15,231.01,50672260,Predicted
2025-07-30,232.32,232.32,216.53,218.82,230.19,50672260,Predicted
2025-07-31,231.5,231.5,215.73,218.02,234.11,50672260,Predicted
2025-08-01,235.44,235.44,219.14,221.47,214.75,50672260,Predicted
2025-08-04,215.97,215.97,209.51,211.73,211.65,50672260,Predicted
2025-08-05,212.85,212.85,203.18,205.34,213.75,50672260,Predicted
2025-08-06,214.97,214.97,203.64,205.79,222.31,50672260,Predicted
2025-08-07,223.57,223.57,209.61,211.83,223.13,50672260,Predicted
