Date,Open,High,Low,Close,Actual,Volume,Type
2024-12-31,222.56,223.67,218.45,220.76,219.39,50672260,Predicted
2025-01-02,220.64,220.64,214.9,217.18,220.22,50672260,Predicted
2025-01-03,221.47,221.47,214.68,216.96,224.19,50672260,Predicted
2025-01-06,225.46,225.46,218.62,220.93,227.61,50672260,Predicted
2025-01-07,228.9,228.9,222.78,225.14,222.11,50672260,Predicted
2025-01-08,223.37,223.37,217.81,220.12,222.13,50672260,Predicted
2025-01-10,223.39,223.39,215.67,217.95,218.94,50672260,Predicted
2025-01-13,220.18,220.18,214.39,216.66,218.46,50672260,Predicted
2025-01-14,219.7,221.28,216.11,218.4,217.76,50672260,Predicted
2025-01-15,219.0,219.0,213.68,215.95,223.35,50672260,Predicted
2025-01-16,224.62,224.62,217.0,219.3,220.66,50672260,Predicted
2025-01-17,221.91,221.91,216.32,218.62,225.94,50672260,Predicted
2025-01-21,227.22,227.22,219.42,221.75,230.71,50672260,Predicted
2025-01-22,232.02,232.02,224.43,226.81,235.01,50672260,Predicted
2025-01-23,236.35,236.35,229.44,231.87,235.42,50672260,Predicted
2025-01-24,236.76,236.76,229.8,232.24,234.85,50672260,Predicted
2025-01-27,236.19,236.19,230.0,232.44,235.42,50672260,Predicted
2025-01-28,236.76,238.76,233.18,235.66,238.15,50672260,Predicted
2025-01-29,239.5,240.15,234.54,237.02,237.07,50672260,Predicted
2025-01-30,238.42,238.42,231.59,234.04,234.64,50672260,Predicted
2025-01-31,235.97,235.97,229.75,232.19,237.68,50672260,Predicted
2025-02-03,239.03,240.14,234.53,237.02,237.42,50672260,Predicted
2025-02-04,238.77,239.71,234.11,236.59,242.06,50672260,Predicted
2025-02-05,243.44,243.44,236.6,239.11,236.17,50672260,Predicted
2025-02-06,237.51,237.51,231.77,234.22,238.83,50672260,Predicted
2025-02-07,240.19,240.19,232.38,234.84,229.15,50672260,Predicted
2025-02-10,230.45,233.48,228.03,230.44,233.14,50672260,Predicted
2025-02-11,234.47,234.47,228.2,230.62,232.76,50672260,Predicted
2025-02-12,234.08,234.08,228.49,230.91,228.93,50672260,Predicted
2025-02-13,230.23,230.81,225.42,227.81,230.37,50672260,Predicted
2025-02-14,231.68,232.13,226.71,229.11,228.68,50672260,Predicted
2025-02-18,229.98,230.52,225.14,227.52,226.65,50672260,Predicted
2025-02-19,227.94,227.94,221.15,223.5,226.63,50672260,Predicted
2025-02-20,227.92,227.92,222.01,224.37,222.88,50672260,Predicted
2025-02-21,224.15,225.44,220.17,222.5,216.58,50672260,Predicted
2025-02-24,217.81,218.73,213.62,215.88,212.71,50672260,Predicted
2025-02-25,213.92,215.01,209.98,212.21,212.8,50672260,Predicted
2025-02-26,214.01,214.01,208.33,210.54,214.35,50672260,Predicted
2025-02-27,215.57,216.04,210.99,213.23,208.74,50672260,Predicted
2025-02-28,209.93,211.65,206.71,208.9,212.28,50672260,Predicted
2025-03-03,213.49,214.59,209.58,211.8,205.02,50672260,Predicted
2025-03-04,206.19,207.57,202.73,204.88,203.8,50672260,Predicted
2025-03-05,204.96,206.5,201.68,203.81,208.36,50672260,Predicted
2025-03-06,209.54,211.73,206.78,208.97,200.7,50672260,Predicted
2025-03-07,201.84,205.03,200.24,202.36,199.25,50672260,Predicted
2025-03-10,200.38,200.38,195.64,197.72,194.54,50672260,Predicted
2025-03-11,195.65,198.13,193.5,195.55,196.59,50672260,Predicted
2025-03-12,197.71,199.66,194.99,197.06,198.89,50672260,Predicted
2025-03-13,200.02,201.77,197.06,199.14,193.89,50672260,Predicted
2025-03-14,194.99,197.04,192.44,194.48,197.95,50672260,Predicted
2025-03-17,199.08,199.58,194.92,196.99,195.74,50672260,Predicted
2025-03-18,196.85,198.8,194.15,196.21,192.82,50672260,Predicted
2025-03-19,193.92,194.67,190.12,192.13,195.54,50672260,Predicted
2025-03-20,196.65,199.13,194.48,196.54,194.95,50672260,Predicted
2025-03-21,196.06,199.35,194.69,196.76,196.21,50672260,Predicted
2025-03-24,197.33,199.24,194.58,196.64,203.26,50672260,Predicted
2025-03-25,204.42,205.06,200.27,202.39,205.71,50672260,Predicted
2025-03-26,206.88,207.35,202.5,204.65,201.13,50672260,Predicted
2025-03-27,202.27,202.37,197.64,199.73,201.36,50672260,Predicted
2025-03-28,202.5,204.24,199.47,201.59,192.72,50672260,Predicted
2025-03-31,193.82,196.72,192.12,194.16,190.26,50672260,Predicted
2025-04-01,191.34,192.91,188.4,190.4,192.17,50672260,Predicted
2025-04-02,193.26,194.72,190.17,192.18,196.01,50672260,Predicted
2025-04-03,197.12,201.35,196.65,198.73,178.41,50672260,Predicted
2025-04-04,179.42,185.43,179.42,183.02,171.0,50672260,Predicted
2025-04-07,171.97,177.35,171.97,175.04,175.26,50672260,Predicted
2025-04-08,176.26,181.4,176.26,179.04,170.66,50672260,Predicted
2025-04-09,171.63,171.63,167.07,168.85,191.1,50672260,Predicted
2025-04-10,192.19,192.19,185.49,187.45,181.22,50672260,Predicted
2025-04-11,182.25,183.04,178.76,180.66,184.87,50672260,Predicted
2025-04-14,185.92,185.92,179.07,180.97,182.12,50672260,Predicted
2025-04-15,183.16,183.16,176.42,178.29,179.59,50672260,Predicted
2025-04-16,180.61,180.61,175.7,177.56,174.33,50672260,Predicted
2025-04-17,175.32,176.06,171.95,173.77,172.61,50672260,Predicted
2025-04-21,173.59,175.77,171.66,173.48,167.32,50672260,Predicted
2025-04-22,168.27,168.27,163.74,165.48,173.18,50672260,Predicted
2025-04-23,174.16,174.94,170.86,172.67,180.6,50672260,Predicted
2025-04-24,181.63,181.63,175.74,177.6,186.54,50672260,Predicted
2025-04-25,187.6,187.6,182.28,184.21,188.99,50672260,Predicted
2025-04-28,190.06,190.92,186.46,188.43,187.7,50672260,Predicted
2025-04-29,188.77,188.77,181.45,183.37,187.39,50672260,Predicted
2025-04-30,188.46,189.02,184.6,186.56,184.42,50672260,Predicted
2025-05-01,185.47,188.01,183.62,185.57,190.2,50672260,Predicted
2025-05-02,191.28,191.28,185.71,187.67,189.98,50672260,Predicted
2025-05-05,191.06,191.06,186.03,188.0,186.35,50672260,Predicted
2025-05-06,187.41,189.28,184.86,186.82,185.01,50672260,Predicted
2025-05-07,186.06,187.9,183.51,185.45,188.71,50672260,Predicted
2025-05-08,189.78,192.92,188.42,190.41,192.08,50672260,Predicted
2025-05-09,193.17,194.87,190.32,192.34,193.06,50672260,Predicted
2025-05-12,194.16,195.71,191.14,193.17,208.64,50672260,Predicted
2025-05-13,209.83,209.83,198.09,200.19,211.37,50672260,Predicted
2025-05-14,212.57,212.57,205.07,207.24,210.25,50672260,Predicted
2025-05-15,211.45,211.45,204.18,206.34,205.17,50672260,Predicted
2025-05-16,206.34,206.34,199.99,202.11,205.59,50672260,Predicted
2025-05-19,206.76,206.76,200.84,202.97,206.16,50672260,Predicted
2025-05-20,207.33,209.34,204.45,206.62,204.07,50672260,Predicted
2025-05-21,205.23,205.84,201.03,203.16,201.12,50672260,Predicted
2025-05-22,202.26,202.92,198.18,200.28,203.1,50672260,Predicted
2025-05-23,204.25,205.42,200.62,202.75,200.99,50672260,Predicted
2025-05-27,202.13,203.61,198.85,200.96,206.02,50672260,Predicted
2025-05-28,207.19,207.19,201.78,203.92,204.72,50672260,Predicted
2025-05-29,205.88,206.45,201.63,203.76,205.7,50672260,Predicted
2025-05-30,206.87,206.87,199.52,201.64,205.01,50672260,Predicted
2025-06-02,206.18,206.18,199.68,201.79,206.65,50672260,Predicted
2025-06-03,207.82,208.16,203.29,205.45,205.71,50672260,Predicted
2025-06-04,206.88,206.88,201.72,203.86,207.23,50672260,Predicted
2025-06-05,208.41,208.41,201.84,203.98,207.91,50672260,Predicted
2025-06-06,209.09,209.09,202.67,204.81,213.57,50672260,Predicted
2025-06-09,214.78,214.78,208.55,210.76,216.98,50672260,Predicted
2025-06-10,218.21,218.21,210.94,213.18,217.61,50672260,Predicted
2025-06-11,218.85,218.85,210.74,212.98,213.2,50672260,Predicted
2025-06-12,214.41,214.41,207.81,210.02,213.24,50672260,Predicted
2025-06-13,214.45,214.48,209.47,211.69,212.1,50672260,Predicted
2025-06-16,213.31,213.95,208.95,211.16,216.1,50672260,Predicted
2025-06-17,217.33,217.33,211.75,214.0,214.82,50672260,Predicted
2025-06-18,216.04,216.04,210.74,212.97,212.52,50672260,Predicted
2025-06-20,213.73,213.73,208.4,210.61,209.69,50672260,Predicted
2025-06-23,210.88,211.34,206.41,208.59,208.47,50672260,Predicted
2025-06-24,209.66,210.79,205.86,208.04,212.77,50672260,Predicted
2025-06-25,213.98,213.98,208.45,210.66,211.99,50672260,Predicted
2025-06-26,213.2,213.2,208.07,210.27,217.12,50672260,Predicted
2025-06-27,218.35,218.35,212.79,215.05,223.3,50672260,Predicted
2025-06-30,224.57,224.57,217.28,219.58,219.39,50672260,Predicted
2025-07-01,220.64,220.64,213.83,216.09,220.46,50672260,Predicted
2025-07-02,221.71,221.71,214.46,216.73,219.92,50672260,Predicted
2025-07-03,221.17,221.67,216.49,218.78,223.41,50672260,Predicted
2025-07-07,224.68,224.68,218.73,221.05,223.47,50672260,Predicted
2025-07-08,224.74,224.74,219.18,221.5,219.36,50672260,Predicted
2025-07-09,220.61,220.61,213.71,215.98,222.54,50672260,Predicted
2025-07-10,223.81,223.81,217.24,219.54,222.26,50672260,Predicted
2025-07-11,223.52,224.23,218.99,221.31,225.02,50672260,Predicted
2025-07-14,226.3,226.3,220.27,222.61,225.69,50672260,Predicted
2025-07-15,226.97,227.15,221.84,224.19,226.35,50672260,Predicted
2025-07-16,227.64,227.64,221.22,223.57,223.19,50672260,Predicted
2025-07-17,224.46,224.46,219.05,221.38,223.88,50672260,Predicted
2025-07-18,225.15,226.1,220.82,223.16,226.13,50672260,Predicted
2025-07-21,227.42,227.42,221.56,223.91,229.3,50672260,Predicted
2025-07-22,230.6,230.6,223.66,226.03,227.47,50672260,Predicted
2025-07-23,228.76,228.76,222.83,225.19,228.29,50672260,Predicted
2025-07-24,229.59,229.59,223.81,226.18,232.23,50672260,Predicted
2025-07-25,233.55,233.55,227.73,230.15,231.44,50672260,Predicted
2025-07-28,232.76,232.76,226.3,228.7,232.79,50672260,Predicted
2025-07-29,234.11,234.11,226.91,229.31,231.01,50672260,Predicted
2025-07-30,232.32,232.32,225.97,228.36,230.19,50672260,Predicted
2025-07-31,231.5,231.5,225.44,227.83,234.11,50672260,Predicted
2025-08-01,235.44,235.44,228.08,230.5,214.75,50672260,Predicted
2025-08-04,215.97,221.01,215.85,218.14,211.65,50672260,Predicted
2025-08-05,212.85,214.48,209.47,211.69,213.75,50672260,Predicted
2025-08-06,214.97,218.19,213.09,215.35,222.31,50672260,Predicted
2025-08-07,223.57,223.57,217.34,219.64,223.13,50672260,Predicted
2025-08-08,224.4,225.17,219.91,222.25,222.69,50672260,Predicted
2025-08-11,223.96,223.96,218.43,220.74,221.3,50672260,Predicted
2025-08-12,222.56,222.56,217.14,219.44,221.47,50672260,Predicted
2025-08-13,222.73,222.73,217.14,219.44,224.56,50672260,Predicted
2025-08-14,225.84,225.84,219.19,221.52,230.98,50672260,Predicted
2025-08-15,232.29,232.29,225.65,228.04,231.03,50672260,Predicted
2025-08-18,232.34,232.34,225.02,227.4,231.49,50672260,Predicted
2025-08-19,232.81,232.81,225.3,227.69,228.01,50672260,Predicted
