Date,Open,High,Low,Close,Actual,Volume,Type
2024-12-31,222.56,225.76,220.49,222.83,219.39,50672260,Predicted
2025-01-02,220.64,222.38,217.19,219.49,220.22,50672260,Predicted
2025-01-03,221.47,221.72,216.54,218.83,224.19,50672260,Predicted
2025-01-06,225.46,226.91,221.61,223.95,227.61,50672260,Predicted
2025-01-07,228.9,230.66,225.27,227.66,222.11,50672260,Predicted
2025-01-08,223.37,225.5,220.24,222.57,222.13,50672260,Predicted
2025-01-10,223.39,224.54,219.3,221.62,218.94,50672260,Predicted
2025-01-13,220.18,221.39,216.22,218.51,218.46,50672260,Predicted
2025-01-14,219.7,222.82,217.62,219.92,217.76,50672260,Predicted
2025-01-15,219.0,220.92,215.76,218.04,223.35,50672260,Predicted
2025-01-16,224.62,224.62,219.23,221.55,220.66,50672260,Predicted
2025-01-17,221.91,224.64,219.4,221.72,225.94,50672260,Predicted
2025-01-21,227.22,227.82,222.5,224.85,230.71,50672260,Predicted
2025-01-22,232.02,233.74,228.28,230.7,235.01,50672260,Predicted
2025-01-23,236.35,239.07,233.49,235.96,235.42,50672260,Predicted
2025-01-24,236.76,239.76,234.16,236.64,234.85,50672260,Predicted
2025-01-27,236.19,240.24,234.63,237.12,235.42,50672260,Predicted
2025-01-28,236.76,242.11,236.46,238.96,238.15,50672260,Predicted
2025-01-29,239.5,243.48,237.8,240.32,237.07,50672260,Predicted
2025-01-30,238.42,240.31,234.7,237.19,234.64,50672260,Predicted
2025-01-31,235.97,238.89,233.31,235.79,237.68,50672260,Predicted
2025-02-03,239.03,241.92,236.27,238.78,237.42,50672260,Predicted
2025-02-04,238.77,242.84,237.17,239.68,242.06,50672260,Predicted
2025-02-05,243.44,245.85,240.1,242.65,236.17,50672260,Predicted
2025-02-06,237.51,241.11,235.47,237.97,238.83,50672260,Predicted
2025-02-07,240.19,241.45,235.81,238.31,229.15,50672260,Predicted
2025-02-10,230.45,234.9,229.41,231.85,233.14,50672260,Predicted
2025-02-11,234.47,235.55,230.05,232.49,232.76,50672260,Predicted
2025-02-12,234.08,235.38,229.88,232.32,228.93,50672260,Predicted
2025-02-13,230.23,232.54,227.11,229.52,230.37,50672260,Predicted
2025-02-14,231.68,233.95,228.48,230.9,228.68,50672260,Predicted
2025-02-18,229.98,231.92,226.5,228.9,226.65,50672260,Predicted
2025-02-19,227.94,227.94,222.43,224.79,226.63,50672260,Predicted
2025-02-20,227.92,228.87,223.52,225.89,222.88,50672260,Predicted
2025-02-21,224.15,226.74,221.44,223.79,216.58,50672260,Predicted
2025-02-24,217.81,218.95,213.83,216.1,212.71,50672260,Predicted
2025-02-25,213.92,215.91,210.87,213.1,212.8,50672260,Predicted
2025-02-26,214.01,214.01,207.86,210.07,214.35,50672260,Predicted
2025-02-27,215.57,216.47,211.42,213.66,208.74,50672260,Predicted
2025-02-28,209.93,211.53,206.58,208.77,212.28,50672260,Predicted
2025-03-03,213.49,215.49,210.45,212.68,205.02,50672260,Predicted
2025-03-04,206.19,208.42,203.55,205.71,203.8,50672260,Predicted
2025-03-05,204.96,207.66,202.81,204.96,208.36,50672260,Predicted
2025-03-06,209.54,212.85,207.88,210.09,200.7,50672260,Predicted
2025-03-07,201.84,204.78,200.0,202.12,199.25,50672260,Predicted
2025-03-10,200.38,200.7,196.01,198.09,194.54,50672260,Predicted
2025-03-11,195.65,197.88,193.26,195.3,196.59,50672260,Predicted
2025-03-12,197.71,199.08,194.43,196.49,198.89,50672260,Predicted
2025-03-13,200.02,200.94,196.25,198.33,193.89,50672260,Predicted
2025-03-14,194.99,196.2,191.62,193.65,197.95,50672260,Predicted
2025-03-17,199.08,199.78,195.11,197.18,195.74,50672260,Predicted
2025-03-18,196.85,199.02,194.37,196.43,192.82,50672260,Predicted
2025-03-19,193.92,195.17,190.61,192.63,195.54,50672260,Predicted
2025-03-20,196.65,200.22,195.54,197.61,194.95,50672260,Predicted
