Date,Open,High,Low,Close,Actual,Volume,Type
2025-01-06,225.25,225.25,190.52,192.59,227.61,50050106,Predicted
2025-01-07,228.68,228.68,193.65,195.75,222.11,50050106,Predicted
2025-01-08,223.16,223.16,192.54,194.62,222.13,50050106,Predicted
2025-01-10,223.18,223.18,190.09,192.15,218.94,50050106,Predicted
2025-01-13,219.97,219.97,187.68,189.72,218.46,50050106,Predicted
2025-01-14,219.49,219.49,184.89,186.9,217.76,50050106,Predicted
2025-01-15,218.79,218.79,184.57,186.57,223.35,50050106,Predicted
2025-01-16,224.4,224.4,188.07,190.11,220.66,50050106,Predicted
2025-01-17,221.7,221.7,189.04,191.09,225.94,50050106,Predicted
2025-01-21,227.01,227.01,190.75,192.82,230.71,50050106,Predicted
2025-01-22,231.8,231.8,194.28,196.39,235.01,50050106,Predicted
2025-01-23,236.12,236.12,198.87,201.03,235.42,50050106,Predicted
2025-01-24,236.53,236.53,201.94,204.13,234.85,50050106,Predicted
2025-01-27,235.96,235.96,203.41,205.62,235.42,50050106,Predicted
2025-01-28,236.53,236.53,201.35,203.53,238.15,50050106,Predicted
2025-01-29,239.27,239.27,205.51,207.74,237.07,50050106,Predicted
2025-01-30,238.19,238.19,207.77,210.02,234.64,50050106,Predicted
2025-02-03,235.75,235.75,206.1,208.34,237.42,50050106,Predicted
2025-02-04,238.54,238.54,206.58,208.82,242.06,50050106,Predicted
2025-02-05,243.2,243.2,210.69,212.97,236.17,50050106,Predicted
2025-02-06,237.28,237.28,209.74,212.01,238.83,50050106,Predicted
2025-02-07,239.96,239.96,210.22,212.5,229.15,50050106,Predicted
2025-02-10,230.23,230.23,206.43,208.67,233.14,50050106,Predicted
2025-02-11,234.24,234.24,205.04,207.27,232.76,50050106,Predicted
2025-02-12,233.86,233.86,206.09,208.33,228.93,50050106,Predicted
2025-02-13,230.01,230.01,204.23,206.44,230.37,50050106,Predicted
2025-02-14,231.46,231.46,202.52,204.72,228.68,50050106,Predicted
2025-02-19,229.76,229.76,202.89,205.1,226.63,50050106,Predicted
2025-02-20,227.7,227.7,200.66,202.84,222.88,50050106,Predicted
2025-02-21,223.93,223.93,197.68,199.83,216.58,50050106,Predicted
2025-02-24,217.6,217.6,194.1,196.21,212.71,50050106,Predicted
2025-02-25,213.71,213.71,190.37,192.44,212.8,50050106,Predicted
2025-02-26,213.8,213.8,187.2,189.23,214.35,50050106,Predicted
2025-02-27,215.36,215.36,187.67,189.71,208.74,50050106,Predicted
2025-02-28,209.73,209.73,186.58,188.61,212.28,50050106,Predicted
2025-03-04,213.28,213.28,186.71,188.73,203.8,50050106,Predicted
2025-03-05,204.76,204.76,181.69,183.67,208.36,50050106,Predicted
2025-03-06,209.34,209.34,181.25,183.21,200.7,50050106,Predicted
2025-03-07,201.65,201.65,179.24,181.18,199.25,50050106,Predicted
2025-03-12,200.19,200.19,176.38,178.29,198.89,50050106,Predicted
2025-03-13,199.83,199.83,175.96,177.87,193.89,50050106,Predicted
2025-03-14,194.81,194.81,175.94,177.85,197.95,50050106,Predicted
2025-03-17,198.88,198.88,174.82,176.72,195.74,50050106,Predicted
2025-03-18,196.66,196.66,176.77,178.69,192.82,50050106,Predicted
2025-03-19,193.73,193.73,174.34,176.23,195.54,50050106,Predicted
2025-03-20,196.46,196.46,173.6,175.49,194.95,50050106,Predicted
2025-03-24,195.87,195.87,174.64,176.54,203.26,50050106,Predicted
2025-03-25,204.22,204.22,179.26,181.21,205.71,50050106,Predicted
2025-03-26,206.68,206.68,182.62,184.6,201.13,50050106,Predicted
2025-03-27,202.08,202.08,184.14,186.14,201.36,50050106,Predicted
2025-03-28,202.31,202.31,182.28,184.25,192.72,50050106,Predicted
2025-03-31,193.63,193.63,178.76,180.7,190.26,50050106,Predicted
2025-04-01,191.16,191.16,174.12,176.01,192.17,50050106,Predicted
2025-04-02,193.08,193.08,173.02,174.9,196.01,50050106,Predicted
2025-04-03,196.94,196.94,173.32,175.2,178.41,50050106,Predicted
2025-04-04,179.25,179.25,167.51,169.32,171.0,50050106,Predicted
2025-04-08,171.81,171.81,158.1,159.82,170.66,50050106,Predicted
2025-04-09,171.47,171.47,157.35,159.05,191.1,50050106,Predicted
2025-04-10,192.0,192.0,161.69,163.44,181.22,50050106,Predicted
2025-04-11,182.08,182.08,162.92,164.69,184.87,50050106,Predicted
2025-04-14,185.74,185.74,163.84,165.62,182.12,50050106,Predicted
2025-04-15,182.98,182.98,164.5,166.28,179.59,50050106,Predicted
2025-04-16,180.44,180.44,162.26,164.02,174.33,50050106,Predicted
2025-04-17,175.15,175.15,158.89,160.62,172.61,50050106,Predicted
2025-04-21,173.42,173.42,158.52,160.24,167.32,50050106,Predicted
2025-04-22,168.11,168.11,153.55,155.21,173.18,50050106,Predicted
2025-04-23,174.0,174.0,155.85,157.55,180.6,50050106,Predicted
2025-04-24,181.45,181.45,162.09,163.85,186.54,50050106,Predicted
2025-04-25,187.42,187.42,165.93,167.73,188.99,50050106,Predicted
2025-04-28,189.88,189.88,169.2,171.03,187.7,50050106,Predicted
2025-04-29,188.59,188.59,170.61,172.46,187.39,50050106,Predicted
2025-04-30,188.27,188.27,170.19,172.04,184.42,50050106,Predicted
2025-05-01,185.29,185.29,168.73,170.56,190.2,50050106,Predicted
2025-05-02,191.1,191.1,171.54,173.4,189.98,50050106,Predicted
2025-05-05,190.88,190.88,173.39,175.27,186.35,50050106,Predicted
2025-05-06,187.23,187.23,172.22,174.09,185.01,50050106,Predicted
2025-05-07,185.88,185.88,171.39,173.25,188.71,50050106,Predicted
2025-05-12,189.6,189.6,171.75,173.61,208.64,50050106,Predicted
2025-05-13,209.62,209.62,184.16,186.16,211.37,50050106,Predicted
2025-05-14,212.37,212.37,190.53,192.6,210.25,50050106,Predicted
2025-05-15,211.24,211.24,190.98,193.05,205.17,50050106,Predicted
2025-05-16,206.14,206.14,187.1,189.13,205.59,50050106,Predicted
2025-05-19,206.56,206.56,185.52,187.54,206.16,50050106,Predicted
2025-05-20,207.13,207.13,184.55,186.55,204.07,50050106,Predicted
2025-05-21,205.03,205.03,185.05,187.05,201.12,50050106,Predicted
2025-05-22,202.07,202.07,183.44,185.43,203.1,50050106,Predicted
2025-05-23,204.06,204.06,183.72,185.71,200.99,50050106,Predicted
2025-05-27,201.94,201.94,181.23,183.19,206.02,50050106,Predicted
2025-05-29,206.99,206.99,182.76,184.74,205.7,50050106,Predicted
2025-05-30,206.67,206.67,184.14,186.13,205.01,50050106,Predicted
2025-06-02,205.98,205.98,183.24,185.23,206.65,50050106,Predicted
2025-06-03,207.63,207.63,182.36,184.34,205.71,50050106,Predicted
2025-06-04,206.68,206.68,183.03,185.02,207.23,50050106,Predicted
2025-06-05,208.21,208.21,182.97,184.96,207.91,50050106,Predicted
2025-06-06,208.89,208.89,184.04,186.04,213.57,50050106,Predicted
2025-06-09,214.58,214.58,187.06,189.09,216.98,50050106,Predicted
2025-06-10,218.0,218.0,189.38,191.43,217.61,50050106,Predicted
2025-06-11,218.64,218.64,190.5,192.57,213.2,50050106,Predicted
2025-06-12,214.21,214.21,190.22,192.28,213.24,50050106,Predicted
2025-06-13,214.25,214.25,189.16,191.21,212.1,50050106,Predicted
2025-06-18,213.1,213.1,187.47,189.5,212.52,50050106,Predicted
2025-06-20,213.52,213.52,188.53,190.58,209.69,50050106,Predicted
2025-06-23,210.68,210.68,187.27,189.3,208.47,50050106,Predicted
2025-06-24,209.45,209.45,185.95,187.97,212.77,50050106,Predicted
2025-06-25,213.77,213.77,187.2,189.23,211.99,50050106,Predicted
2025-06-26,212.99,212.99,188.31,190.36,217.12,50050106,Predicted
2025-06-30,218.14,218.14,189.13,191.18,219.39,50050106,Predicted
2025-07-01,220.43,220.43,193.85,195.96,220.46,50050106,Predicted
2025-07-02,221.5,221.5,193.19,195.29,219.92,50050106,Predicted
2025-07-03,220.96,220.96,193.07,195.17,223.41,50050106,Predicted
2025-07-07,224.46,224.46,194.05,196.16,223.47,50050106,Predicted
