Date,Open,High,Low,Close,Actual,Volume,Type
2024-12-31,195.0,195.0,185.07,187.54,190.44,20745103,Predicted
2025-01-04,192.72,192.72,187.99,190.5,158.88,20745103,Predicted
2025-01-05,160.78,171.91,160.78,170.26,162.79,20745103,Predicted
2025-01-07,164.74,164.74,160.89,163.03,176.91,20745103,Predicted
2025-01-08,179.03,179.03,166.16,168.38,189.95,20745103,Predicted
2025-01-10,192.23,192.23,177.82,180.19,245.54,20745103,Predicted
2025-01-13,248.48,248.48,207.86,210.63,192.29,20745103,Predicted
2025-01-14,194.59,198.38,193.89,196.48,191.05,20745103,Predicted
2025-01-15,193.34,193.34,183.38,185.83,196.98,20745103,Predicted
2025-01-16,199.34,199.34,185.03,187.5,194.41,20745103,Predicted
2025-01-17,196.74,196.74,191.17,193.72,197.55,20745103,Predicted
2025-01-21,199.92,199.92,187.81,190.32,199.63,20745103,Predicted
2025-01-22,202.02,202.02,188.3,190.81,200.03,20745103,Predicted
2025-01-23,202.43,202.43,188.21,190.72,199.58,20745103,Predicted
2025-01-24,201.97,201.97,187.07,189.57,201.9,20745103,Predicted
2025-01-27,204.32,204.32,195.15,197.75,193.77,20745103,Predicted
2025-01-28,196.09,196.09,190.98,193.52,197.07,20745103,Predicted
2025-01-29,199.43,199.43,190.93,193.48,197.18,20745103,Predicted
2025-01-30,199.54,199.54,191.71,194.27,202.63,20745103,Predicted
2025-01-31,205.06,205.06,191.14,193.69,205.6,20745103,Predicted
2025-02-01,208.06,208.06,200.57,203.25,190.63,20745103,Predicted
2025-02-04,192.91,195.98,191.55,194.1,158.86,20745103,Predicted
2025-02-05,160.76,172.02,160.76,170.37,165.81,20745103,Predicted
2025-02-06,167.8,167.8,161.51,163.66,170.37,20745103,Predicted
2025-02-07,172.41,172.41,164.98,167.18,179.76,20745103,Predicted
2025-02-09,181.91,181.91,168.91,171.16,211.99,20745103,Predicted
2025-02-10,214.53,214.53,190.37,192.91,246.43,20745103,Predicted
2025-02-13,249.38,249.38,210.06,212.86,187.88,20745103,Predicted
2025-02-14,190.13,198.1,190.13,196.2,186.87,20745103,Predicted
2025-02-18,189.11,189.11,180.44,182.84,185.8,20745103,Predicted
2025-02-19,188.03,188.03,183.38,185.83,187.13,20745103,Predicted
2025-02-20,189.37,189.37,181.18,183.59,186.64,20745103,Predicted
2025-02-21,188.88,188.88,175.82,178.16,181.58,20745103,Predicted
2025-02-24,183.76,183.76,173.48,175.79,181.19,20745103,Predicted
2025-02-25,183.36,183.36,172.35,174.65,177.37,20745103,Predicted
2025-02-26,179.5,179.5,171.0,173.28,174.7,20745103,Predicted
2025-02-27,176.79,179.71,175.65,177.99,170.21,20745103,Predicted
2025-02-28,172.25,172.25,166.42,168.63,172.22,20745103,Predicted
2025-03-01,174.28,174.28,168.46,170.7,193.13,20745103,Predicted
2025-03-02,195.44,195.44,180.95,183.36,202.64,20745103,Predicted
2025-03-03,205.07,205.07,189.45,191.98,168.66,20745103,Predicted
2025-03-04,170.68,180.66,170.68,178.93,152.63,20745103,Predicted
2025-03-06,154.46,160.36,154.46,158.83,167.71,20745103,Predicted
2025-03-07,169.72,169.72,160.99,163.14,180.55,20745103,Predicted
2025-03-09,182.71,182.71,169.28,171.54,231.1,20745103,Predicted
2025-03-10,233.87,233.87,202.28,204.97,246.45,20745103,Predicted
2025-03-11,249.4,249.4,213.89,216.74,284.12,20745103,Predicted
2025-03-13,287.52,287.52,237.1,240.26,164.73,20745103,Predicted
2025-03-14,166.7,201.04,166.7,199.12,167.62,20745103,Predicted
2025-03-17,169.63,174.67,169.63,173.0,166.57,20745103,Predicted
2025-03-18,168.57,172.04,168.15,170.39,162.67,20745103,Predicted
2025-03-19,164.62,166.06,162.31,164.47,166.28,20745103,Predicted
2025-03-20,168.27,168.27,157.96,160.07,165.05,20745103,Predicted
2025-03-21,167.03,167.03,157.42,159.52,166.25,20745103,Predicted
2025-03-24,168.24,168.24,163.03,165.21,169.93,20745103,Predicted
2025-03-25,171.97,171.97,165.18,167.39,172.79,20745103,Predicted
2025-03-26,174.86,174.86,169.13,171.39,167.14,20745103,Predicted
2025-03-27,169.14,169.14,160.73,162.87,164.08,20745103,Predicted
2025-03-28,166.05,166.05,159.78,161.91,156.06,20745103,Predicted
2025-03-31,157.93,157.93,149.48,151.47,156.23,20745103,Predicted
2025-04-02,158.1,158.1,143.16,145.06,207.71,20745103,Predicted
2025-04-03,210.2,210.2,176.78,179.14,172.61,20745103,Predicted
2025-04-04,174.68,174.68,165.61,167.82,147.74,20745103,Predicted
2025-04-06,149.51,152.14,148.7,150.68,169.39,20745103,Predicted
2025-04-08,171.42,171.42,153.13,155.18,195.75,20745103,Predicted
2025-04-09,198.1,198.1,171.67,173.96,232.66,20745103,Predicted
2025-04-11,235.45,235.45,198.24,200.88,278.06,20745103,Predicted
2025-04-14,281.39,281.39,231.43,234.51,161.47,20745103,Predicted
2025-04-15,163.4,194.17,163.4,192.31,158.68,20745103,Predicted
2025-04-16,160.58,161.79,158.13,160.24,155.5,20745103,Predicted
2025-04-17,157.36,161.89,157.36,160.34,153.36,20745103,Predicted
2025-04-21,155.2,155.2,150.0,152.0,149.86,20745103,Predicted
2025-04-22,151.66,151.66,145.95,147.9,153.9,20745103,Predicted
2025-04-23,155.74,155.74,149.08,151.07,157.72,20745103,Predicted
2025-04-24,159.61,159.61,155.54,157.61,161.47,20745103,Predicted
2025-04-25,163.4,163.4,156.95,159.04,163.85,20745103,Predicted
2025-04-28,165.81,165.81,160.37,162.51,162.42,20745103,Predicted
2025-04-29,164.37,164.37,155.17,157.24,162.06,20745103,Predicted
2025-04-30,164.0,164.0,157.51,159.61,160.89,20745103,Predicted
2025-05-02,162.82,162.82,152.22,154.24,193.3,20745103,Predicted
2025-05-03,195.62,195.62,161.06,163.21,174.99,20745103,Predicted
2025-05-05,177.09,177.09,167.06,169.29,166.05,20745103,Predicted
2025-05-06,168.04,168.04,153.77,155.82,169.81,20745103,Predicted
2025-05-08,171.84,171.84,156.57,158.66,195.32,20745103,Predicted
2025-05-09,197.66,197.66,169.72,171.98,235.17,20745103,Predicted
2025-05-11,237.99,237.99,201.65,204.34,284.75,20745103,Predicted
2025-05-13,288.16,288.16,226.5,229.51,160.89,20745103,Predicted
2025-05-14,162.82,189.37,162.82,187.55,166.81,20745103,Predicted
