Date,Open,High,Low,Close,Actual,Volume,Type
2024-12-31,195.0,195.0,186.22,188.7,190.44,20745103,Predicted
2025-01-04,192.72,192.72,177.58,179.94,158.88,20745103,Predicted
2025-01-05,160.78,160.78,155.33,157.4,162.79,20745103,Predicted
2025-01-07,164.74,164.74,159.02,161.14,176.91,20745103,Predicted
2025-01-08,179.03,179.03,161.97,164.13,189.95,20745103,Predicted
2025-01-10,192.23,192.23,177.78,180.15,245.54,20745103,Predicted
2025-01-13,248.48,248.48,215.79,218.67,192.29,20745103,Predicted
2025-01-14,194.59,194.59,188.7,191.21,191.05,20745103,Predicted
2025-01-15,193.34,193.94,189.56,192.08,196.98,20745103,Predicted
2025-01-16,199.34,199.34,187.18,189.67,194.41,20745103,Predicted
2025-01-17,196.74,196.74,187.16,189.65,197.55,20745103,Predicted
2025-01-21,199.92,199.92,184.74,187.2,199.63,20745103,Predicted
2025-01-22,202.02,202.02,189.87,192.4,200.03,20745103,Predicted
2025-01-23,202.43,202.43,184.38,186.83,199.58,20745103,Predicted
2025-01-24,201.97,201.97,191.97,194.53,201.9,20745103,Predicted
2025-01-27,204.32,204.32,195.49,198.1,193.77,20745103,Predicted
2025-01-28,196.09,196.09,179.32,181.71,197.07,20745103,Predicted
2025-01-29,199.43,199.43,188.08,190.58,197.18,20745103,Predicted
2025-01-30,199.54,199.54,192.35,194.91,202.63,20745103,Predicted
2025-01-31,205.06,205.06,197.56,200.2,205.6,20745103,Predicted
2025-02-01,208.06,208.06,199.23,201.89,190.63,20745103,Predicted
2025-02-04,192.91,192.91,187.84,190.35,158.86,20745103,Predicted
2025-02-05,160.76,161.52,157.87,159.97,165.81,20745103,Predicted
2025-02-06,167.8,167.8,162.0,164.16,170.37,20745103,Predicted
2025-02-07,172.41,172.41,161.15,163.3,179.76,20745103,Predicted
2025-02-09,181.91,181.91,168.34,170.58,211.99,20745103,Predicted
2025-02-10,214.53,214.53,189.84,192.37,246.43,20745103,Predicted
2025-02-13,249.38,249.38,216.3,219.18,187.88,20745103,Predicted
2025-02-14,190.13,200.54,190.13,198.62,186.87,20745103,Predicted
2025-02-18,189.11,194.16,189.11,192.3,185.8,20745103,Predicted
2025-02-19,188.03,188.03,170.93,173.21,187.13,20745103,Predicted
2025-02-20,189.37,189.37,172.8,175.1,186.64,20745103,Predicted
2025-02-21,188.88,188.88,175.16,177.49,181.58,20745103,Predicted
2025-02-24,183.76,183.76,170.04,172.3,181.19,20745103,Predicted
2025-02-25,183.36,183.36,178.47,180.85,177.37,20745103,Predicted
2025-02-26,179.5,179.5,174.25,176.57,174.7,20745103,Predicted
2025-02-27,176.79,176.79,165.8,168.01,170.21,20745103,Predicted
2025-02-28,172.25,172.25,161.46,163.61,172.22,20745103,Predicted
2025-03-01,174.28,174.28,167.18,169.41,193.13,20745103,Predicted
2025-03-02,195.44,195.44,176.19,178.54,202.64,20745103,Predicted
2025-03-03,205.07,205.07,189.29,191.81,168.66,20745103,Predicted
2025-03-04,170.68,171.67,167.79,170.03,152.63,20745103,Predicted
2025-03-06,154.46,157.09,153.54,155.58,167.71,20745103,Predicted
2025-03-07,169.72,169.72,152.74,154.77,180.55,20745103,Predicted
2025-03-09,182.71,182.71,169.96,172.23,231.1,20745103,Predicted
2025-03-10,233.87,233.87,203.55,206.26,246.45,20745103,Predicted
2025-03-11,249.4,249.4,216.65,219.54,284.12,20745103,Predicted
2025-03-13,287.52,287.52,242.73,245.96,164.73,20745103,Predicted
2025-03-14,166.7,187.95,166.7,186.16,167.62,20745103,Predicted
2025-03-17,169.63,169.63,162.22,164.39,166.57,20745103,Predicted
2025-03-18,168.57,168.57,148.46,150.43,162.67,20745103,Predicted
2025-03-19,164.62,164.62,155.85,157.93,166.28,20745103,Predicted
2025-03-20,168.27,168.27,153.09,155.13,165.05,20745103,Predicted
2025-03-21,167.03,168.19,164.39,166.58,166.25,20745103,Predicted
2025-03-24,168.24,168.24,157.5,159.6,169.93,20745103,Predicted
2025-03-25,171.97,171.97,164.47,166.67,172.79,20745103,Predicted
2025-03-26,174.86,174.86,151.37,153.39,167.14,20745103,Predicted
2025-03-27,169.14,169.14,157.35,159.45,164.08,20745103,Predicted
2025-03-28,166.05,166.05,159.24,161.36,156.06,20745103,Predicted
2025-03-31,157.93,157.93,153.47,155.52,156.23,20745103,Predicted
2025-04-02,158.1,158.1,143.32,145.23,207.71,20745103,Predicted
2025-04-03,210.2,210.2,183.75,186.2,172.61,20745103,Predicted
2025-04-04,174.68,176.02,172.04,174.34,147.74,20745103,Predicted
