Date,Open,High,Low,Close,Actual,Volume,Type
2024-12-31,195.0,201.62,195.0,199.69,190.44,20745103,Predicted
2025-01-04,192.72,200.73,192.72,198.8,158.88,20745103,Predicted
2025-01-05,160.78,180.2,160.78,178.47,162.79,20745103,Predicted
2025-01-07,164.74,172.78,164.74,171.13,176.91,20745103,Predicted
2025-01-08,179.03,179.22,175.17,177.5,189.95,20745103,Predicted
2025-01-10,192.23,192.23,185.72,188.2,245.54,20745103,Predicted
2025-01-13,248.48,248.48,224.54,227.53,192.29,20745103,Predicted
2025-01-14,194.59,214.34,194.59,212.29,191.05,20745103,Predicted
2025-01-15,193.34,205.17,193.34,203.2,196.98,20745103,Predicted
2025-01-16,199.34,203.76,199.15,201.81,194.41,20745103,Predicted
2025-01-17,196.74,201.57,196.74,199.64,197.55,20745103,Predicted
2025-01-21,199.92,200.99,196.45,199.07,199.63,20745103,Predicted
2025-01-22,202.02,206.81,202.02,204.83,200.03,20745103,Predicted
2025-01-23,202.43,206.33,201.67,204.36,199.58,20745103,Predicted
2025-01-24,201.97,207.57,201.97,205.58,201.9,20745103,Predicted
2025-01-27,204.32,208.99,204.27,206.99,193.77,20745103,Predicted
2025-01-28,196.09,204.33,196.09,202.37,197.07,20745103,Predicted
2025-01-29,199.43,203.55,198.95,201.6,197.18,20745103,Predicted
2025-01-30,199.54,203.18,198.59,201.24,202.63,20745103,Predicted
2025-01-31,205.06,210.98,205.06,208.96,205.6,20745103,Predicted
2025-02-01,208.06,214.7,208.06,212.65,190.63,20745103,Predicted
2025-02-04,192.91,206.19,192.91,204.22,158.86,20745103,Predicted
2025-02-05,160.76,182.1,160.76,180.36,165.81,20745103,Predicted
2025-02-06,167.8,175.89,167.8,174.21,170.37,20745103,Predicted
2025-02-07,172.41,172.83,168.92,171.17,179.76,20745103,Predicted
2025-02-09,181.91,181.91,175.84,178.19,211.99,20745103,Predicted
2025-02-10,214.53,214.53,195.15,197.76,246.43,20745103,Predicted
2025-02-13,249.38,249.38,232.16,235.26,187.88,20745103,Predicted
2025-02-14,190.13,215.8,190.13,213.73,186.87,20745103,Predicted
2025-02-18,189.11,204.25,189.11,202.3,185.8,20745103,Predicted
2025-02-19,188.03,191.74,187.4,189.9,187.13,20745103,Predicted
2025-02-20,189.37,189.37,184.48,186.94,186.64,20745103,Predicted
2025-02-21,188.88,191.35,187.03,189.52,181.58,20745103,Predicted
2025-02-24,183.76,188.82,183.76,187.01,181.19,20745103,Predicted
2025-02-25,183.36,187.95,183.36,186.15,177.37,20745103,Predicted
2025-02-26,179.5,183.11,178.97,181.36,174.7,20745103,Predicted
2025-02-27,176.79,182.29,176.79,180.54,170.21,20745103,Predicted
2025-02-28,172.25,176.17,172.18,174.48,172.22,20745103,Predicted
2025-03-01,174.28,176.35,172.36,174.66,193.13,20745103,Predicted
2025-03-02,195.44,195.44,185.98,188.46,202.64,20745103,Predicted
2025-03-03,205.07,206.39,201.72,204.41,168.66,20745103,Predicted
2025-03-04,170.68,188.44,170.68,186.64,152.63,20745103,Predicted
2025-03-06,154.46,172.48,154.46,170.83,167.71,20745103,Predicted
2025-03-07,169.72,169.93,166.09,168.3,180.55,20745103,Predicted
2025-03-09,182.71,182.71,174.51,176.83,231.1,20745103,Predicted
2025-03-10,233.87,233.87,207.8,210.57,246.45,20745103,Predicted
2025-03-11,249.4,249.4,237.56,240.72,284.12,20745103,Predicted
2025-03-13,287.52,287.52,270.08,273.68,164.73,20745103,Predicted
2025-03-14,166.7,221.32,166.7,219.2,167.62,20745103,Predicted
2025-03-17,169.63,192.16,169.63,190.32,166.57,20745103,Predicted
2025-03-18,168.57,181.36,168.57,179.62,162.67,20745103,Predicted
2025-03-19,164.62,167.29,163.51,165.69,166.28,20745103,Predicted
2025-03-20,168.27,168.27,164.34,166.53,165.05,20745103,Predicted
2025-03-21,167.03,176.1,167.03,174.42,166.25,20745103,Predicted
2025-03-24,168.24,175.59,168.24,173.91,169.93,20745103,Predicted
2025-03-25,171.97,176.12,171.97,174.43,172.79,20745103,Predicted
2025-03-26,174.86,175.68,171.71,174.0,167.14,20745103,Predicted
2025-03-27,169.14,172.23,168.34,170.58,164.08,20745103,Predicted
2025-03-28,166.05,167.29,163.5,165.68,156.06,20745103,Predicted
2025-03-31,157.93,161.62,157.93,160.07,156.23,20745103,Predicted
2025-04-02,158.1,163.39,158.1,161.82,207.71,20745103,Predicted
2025-04-03,210.2,210.2,187.3,189.8,172.61,20745103,Predicted
2025-04-04,174.68,189.77,174.68,187.95,147.74,20745103,Predicted
2025-04-06,149.51,162.41,149.51,160.86,169.39,20745103,Predicted
2025-04-08,171.42,171.42,162.25,164.41,195.75,20745103,Predicted
2025-04-09,198.1,198.1,176.11,178.46,232.66,20745103,Predicted
2025-04-11,235.45,235.45,215.05,217.92,278.06,20745103,Predicted
2025-04-14,281.39,281.39,255.88,259.29,161.47,20745103,Predicted
2025-04-15,163.4,215.49,163.4,213.43,158.68,20745103,Predicted
2025-04-16,160.58,182.46,160.58,180.71,155.5,20745103,Predicted
2025-04-17,157.36,174.8,157.36,173.13,153.36,20745103,Predicted
2025-04-21,155.2,159.55,155.2,158.02,149.86,20745103,Predicted
2025-04-22,151.66,151.66,147.5,149.46,153.9,20745103,Predicted
2025-04-23,155.74,157.42,153.87,155.92,157.72,20745103,Predicted
2025-04-24,159.61,162.26,158.59,160.7,161.47,20745103,Predicted
2025-04-25,163.4,164.72,161.0,163.14,163.85,20745103,Predicted
2025-04-28,165.81,166.27,162.52,164.68,162.42,20745103,Predicted
2025-04-29,164.37,164.37,160.36,162.5,162.06,20745103,Predicted
2025-04-30,164.0,164.0,158.1,160.21,160.89,20745103,Predicted
2025-05-02,162.82,163.72,160.02,162.15,193.3,20745103,Predicted
2025-05-03,195.62,195.62,186.11,188.59,174.99,20745103,Predicted
2025-05-05,177.09,182.74,177.09,180.99,166.05,20745103,Predicted
2025-05-06,168.04,175.91,168.04,174.22,169.81,20745103,Predicted
2025-05-08,171.84,171.84,164.96,167.16,195.32,20745103,Predicted
2025-05-09,197.66,197.66,185.19,187.66,235.17,20745103,Predicted
2025-05-11,237.99,237.99,212.48,215.32,284.75,20745103,Predicted
2025-05-13,288.16,288.16,263.19,266.7,160.89,20745103,Predicted
2025-05-14,162.82,209.55,162.82,207.55,166.81,20745103,Predicted
2025-05-15,168.81,193.54,168.81,191.69,165.4,20745103,Predicted
2025-05-16,167.38,181.24,167.38,179.5,167.43,20745103,Predicted
2025-05-19,169.44,179.35,169.44,177.64,167.87,20745103,Predicted
2025-05-20,169.88,169.88,165.25,167.45,165.32,20745103,Predicted
2025-05-21,167.3,170.29,166.44,168.65,170.06,20745103,Predicted
2025-05-22,172.1,176.65,172.1,174.95,171.98,20745103,Predicted
2025-05-23,174.04,180.02,174.04,178.3,169.59,20745103,Predicted
2025-05-27,171.62,176.27,171.62,174.58,173.98,20745103,Predicted
2025-05-28,176.06,176.06,170.71,172.99,173.38,20745103,Predicted
2025-05-29,175.46,175.46,170.44,172.71,172.96,20745103,Predicted
2025-05-30,175.03,175.88,171.91,174.2,172.85,20745103,Predicted
2025-06-01,174.92,183.66,174.92,181.9,197.96,20745103,Predicted
2025-06-02,200.33,200.33,187.99,190.5,193.31,20745103,Predicted
