Date,Open,High,Low,Close,Actual,Volume,Type
2025-01-15,190.0,190.0,176.02,178.48,195.55,31238416,Predicted
2025-01-16,195.9,195.9,176.56,179.04,192.91,31238416,Predicted
2025-01-21,193.26,193.26,176.94,179.42,198.05,31238416,Predicted
2025-01-22,198.41,198.41,178.72,181.23,198.37,31238416,Predicted
2025-01-23,198.73,198.73,179.93,182.45,197.98,31238416,Predicted
2025-01-24,198.34,198.34,180.48,183.01,200.21,31238416,Predicted
2025-01-27,200.57,200.57,181.14,183.67,191.81,31238416,Predicted
2025-01-28,192.15,192.15,180.07,182.59,195.3,31238416,Predicted
2025-01-29,195.65,195.65,179.54,182.06,195.41,31238416,Predicted
2025-01-30,195.76,195.76,179.61,182.13,200.87,31238416,Predicted
2025-02-03,201.23,201.23,180.73,183.26,201.23,31238416,Predicted
2025-02-04,201.59,201.59,181.92,184.47,206.38,31238416,Predicted
2025-02-05,206.75,206.75,183.59,186.16,191.33,31238416,Predicted
2025-02-06,191.67,191.67,181.36,183.91,191.6,31238416,Predicted
2025-02-07,191.94,191.94,179.58,182.09,185.34,31238416,Predicted
2025-02-10,185.67,185.67,177.74,180.23,186.47,31238416,Predicted
2025-02-11,186.8,186.8,176.3,178.77,185.32,31238416,Predicted
2025-02-12,185.65,185.65,175.01,177.46,183.61,31238416,Predicted
2025-02-13,183.94,183.94,173.71,176.15,186.14,31238416,Predicted
2025-02-14,186.47,186.47,173.17,175.6,185.23,31238416,Predicted
2025-02-18,185.56,185.56,172.56,174.98,183.77,31238416,Predicted
2025-02-19,184.1,184.1,171.8,174.21,185.27,31238416,Predicted
2025-02-20,185.6,185.6,171.21,173.61,184.56,31238416,Predicted
2025-02-21,184.89,184.89,170.89,173.29,179.66,31238416,Predicted
2025-02-24,179.98,179.98,170.27,172.66,179.25,31238416,Predicted
2025-02-25,179.57,179.57,169.44,171.81,175.42,31238416,Predicted
2025-02-27,175.73,175.73,167.91,170.26,168.5,31238416,Predicted
2025-02-28,168.8,169.65,165.58,167.9,170.28,31238416,Predicted
2025-03-03,170.59,170.59,163.25,165.53,167.01,31238416,Predicted
2025-03-04,167.31,167.31,161.85,164.12,170.92,31238416,Predicted
2025-03-05,171.23,171.23,160.59,162.84,173.02,31238416,Predicted
2025-03-07,173.33,173.33,160.4,162.65,173.86,31238416,Predicted
2025-03-12,174.17,174.17,160.43,162.68,167.11,31238416,Predicted
