Date,Open,High,Low,Close,Actual,Volume,Type
2024-12-31,590.82,590.82,513.21,519.73,585.51,17163406,Predicted
2025-01-04,585.09,585.09,491.13,497.36,586.0,17163406,Predicted
2025-01-05,585.58,585.58,494.41,500.69,572.21,17163406,Predicted
2025-01-07,571.8,571.8,514.45,520.98,719.22,17163406,Predicted
2025-01-08,718.71,718.71,585.57,593.0,750.01,17163406,Predicted
2025-01-10,749.48,749.48,615.23,623.04,717.34,17163406,Predicted
2025-01-13,716.83,716.83,588.07,595.53,608.33,17163406,Predicted
2025-01-14,607.9,607.9,502.97,509.35,594.25,17163406,Predicted
2025-01-15,593.83,593.83,478.89,484.97,617.12,17163406,Predicted
2025-01-16,616.68,616.68,529.06,535.78,611.3,17163406,Predicted
2025-01-17,610.86,610.86,577.41,584.74,612.77,17163406,Predicted
2025-01-21,612.33,612.33,585.62,593.06,616.46,17163406,Predicted
2025-01-22,616.02,616.02,564.73,571.9,623.5,17163406,Predicted
2025-01-23,623.06,623.06,557.72,564.8,636.45,17163406,Predicted
2025-01-24,636.0,636.0,574.84,582.14,647.49,17163406,Predicted
2025-01-27,647.03,647.03,560.81,567.93,659.88,17163406,Predicted
2025-01-28,659.41,659.41,523.73,530.37,674.33,17163406,Predicted
2025-01-29,673.85,673.85,555.24,562.29,676.49,17163406,Predicted
2025-01-30,676.01,676.01,582.8,590.2,687.0,17163406,Predicted
2025-01-31,686.51,686.51,595.79,603.36,689.18,17163406,Predicted
2025-02-01,688.69,688.69,568.5,575.71,599.24,17163406,Predicted
2025-02-04,598.81,598.81,499.13,505.47,583.93,17163406,Predicted
2025-02-05,583.51,583.51,494.53,500.8,597.02,17163406,Predicted
2025-02-06,596.6,596.6,552.92,559.94,670.9,17163406,Predicted
2025-02-07,670.42,670.42,607.59,615.3,713.57,17163406,Predicted
2025-02-09,713.06,713.06,663.11,671.52,735.11,17163406,Predicted
2025-02-10,734.59,734.59,654.3,662.61,727.05,17163406,Predicted
2025-02-13,726.53,726.53,630.65,638.65,728.56,17163406,Predicted
2025-02-14,728.04,728.04,585.56,592.99,736.67,17163406,Predicted
2025-02-18,736.15,736.15,584.18,591.6,716.37,17163406,Predicted
2025-02-19,715.86,715.86,592.74,600.27,703.77,17163406,Predicted
2025-02-20,703.27,703.27,585.7,593.13,694.84,17163406,Predicted
2025-02-21,694.35,694.35,566.16,573.34,683.55,17163406,Predicted
2025-02-24,683.06,683.06,577.46,584.79,668.13,17163406,Predicted
2025-02-25,667.65,667.65,582.35,589.74,657.5,17163406,Predicted
2025-02-26,657.03,657.03,564.98,572.15,673.7,17163406,Predicted
2025-02-27,673.22,673.22,572.56,579.83,658.24,17163406,Predicted
2025-02-28,657.77,657.77,587.09,594.54,668.2,17163406,Predicted
2025-03-01,667.72,667.72,599.21,606.82,604.63,17163406,Predicted
2025-03-02,604.2,604.2,566.78,573.97,697.46,17163406,Predicted
2025-03-03,696.96,696.96,589.64,597.12,655.05,17163406,Predicted
2025-03-04,654.58,654.58,584.07,591.48,531.62,17163406,Predicted
2025-03-06,531.24,531.24,496.42,502.72,666.85,17163406,Predicted
2025-03-07,666.38,666.38,556.48,563.54,719.01,17163406,Predicted
2025-03-09,718.5,718.5,606.45,614.15,737.05,17163406,Predicted
2025-03-10,736.53,736.53,659.64,668.02,710.56,17163406,Predicted
2025-03-11,710.05,710.05,649.11,657.35,637.71,17163406,Predicted
2025-03-13,637.26,637.26,569.5,576.73,590.64,17163406,Predicted
2025-03-14,590.22,590.22,537.12,543.94,607.6,17163406,Predicted
2025-03-17,607.17,607.17,584.77,592.2,604.9,17163406,Predicted
2025-03-18,604.47,617.18,602.95,610.6,582.36,17163406,Predicted
2025-03-19,581.95,611.98,581.95,605.46,584.06,17163406,Predicted
