Date,Open,High,Low,Close,Actual,Volume,Type
2024-12-31,590.82,590.82,539.8,546.65,585.51,17163406,Predicted
2025-01-04,585.09,585.09,518.36,524.94,586.0,17163406,Predicted
2025-01-05,585.58,585.58,503.37,509.76,572.21,17163406,Predicted
2025-01-07,571.8,571.8,518.89,525.47,719.22,17163406,Predicted
2025-01-08,718.71,718.71,577.06,584.39,750.01,17163406,Predicted
2025-01-10,749.48,749.48,612.88,620.66,717.34,17163406,Predicted
2025-01-13,716.83,716.83,574.24,581.53,608.33,17163406,Predicted
2025-01-14,607.9,607.9,492.01,498.26,594.25,17163406,Predicted
2025-01-15,593.83,593.83,504.18,510.58,617.12,17163406,Predicted
2025-01-16,616.68,616.68,541.36,548.23,611.3,17163406,Predicted
2025-01-17,610.86,610.86,568.33,575.54,612.77,17163406,Predicted
2025-01-21,612.33,612.33,561.34,568.46,616.46,17163406,Predicted
2025-01-22,616.02,616.02,561.05,568.17,623.5,17163406,Predicted
2025-01-23,623.06,623.06,557.35,564.43,636.45,17163406,Predicted
2025-01-24,636.0,636.0,571.66,578.91,647.49,17163406,Predicted
2025-01-27,647.03,647.03,575.4,582.71,659.88,17163406,Predicted
2025-01-28,659.41,659.41,547.77,554.72,674.33,17163406,Predicted
2025-01-29,673.85,673.85,561.35,568.48,676.49,17163406,Predicted
2025-01-30,676.01,676.01,566.92,574.12,687.0,17163406,Predicted
2025-01-31,686.51,686.51,578.85,586.19,689.18,17163406,Predicted
2025-02-01,688.69,688.69,573.99,581.28,599.24,17163406,Predicted
2025-02-04,598.81,598.81,513.83,520.35,583.93,17163406,Predicted
2025-02-05,583.51,583.51,507.0,513.44,597.02,17163406,Predicted
2025-02-06,596.6,596.6,556.08,563.14,670.9,17163406,Predicted
2025-02-07,670.42,670.42,601.68,609.32,713.57,17163406,Predicted
2025-02-09,713.06,713.06,637.95,646.05,735.11,17163406,Predicted
2025-02-10,734.59,734.59,622.11,630.0,727.05,17163406,Predicted
2025-02-13,726.53,726.53,618.86,626.72,728.56,17163406,Predicted
2025-02-14,728.04,728.04,594.62,602.16,736.67,17163406,Predicted
2025-02-18,736.15,736.15,587.93,595.4,716.37,17163406,Predicted
2025-02-19,715.86,715.86,586.37,593.81,703.77,17163406,Predicted
2025-02-20,703.27,703.27,578.68,586.03,694.84,17163406,Predicted
2025-02-21,694.35,694.35,572.95,580.23,683.55,17163406,Predicted
2025-02-24,683.06,683.06,581.92,589.31,668.13,17163406,Predicted
2025-02-25,667.65,667.65,583.69,591.1,657.5,17163406,Predicted
2025-02-26,657.03,657.03,583.76,591.17,673.7,17163406,Predicted
2025-02-27,673.22,673.22,585.81,593.25,658.24,17163406,Predicted
2025-02-28,657.77,657.77,592.18,599.7,668.2,17163406,Predicted
2025-03-01,667.72,667.72,589.01,596.49,604.63,17163406,Predicted
2025-03-02,604.2,604.2,571.5,578.76,697.46,17163406,Predicted
2025-03-03,696.96,696.96,590.11,597.61,655.05,17163406,Predicted
2025-03-04,654.58,654.58,586.97,594.42,531.62,17163406,Predicted
2025-03-06,531.24,531.24,516.17,522.73,666.85,17163406,Predicted
2025-03-07,666.38,666.38,568.25,575.47,719.01,17163406,Predicted
2025-03-09,718.5,718.5,622.42,630.32,737.05,17163406,Predicted
2025-03-10,736.53,736.53,625.3,633.24,710.56,17163406,Predicted
2025-03-11,710.05,710.05,622.87,630.78,637.71,17163406,Predicted
2025-03-13,637.26,637.26,578.01,585.34,590.64,17163406,Predicted
2025-03-14,590.22,590.22,553.25,560.27,607.6,17163406,Predicted
2025-03-17,607.17,607.17,567.02,574.22,604.9,17163406,Predicted
2025-03-18,604.47,604.47,576.64,583.96,582.36,17163406,Predicted
2025-03-19,581.95,595.84,581.95,589.48,584.06,17163406,Predicted
2025-03-20,583.64,583.64,565.6,572.78,586.0,17163406,Predicted
2025-03-21,585.58,585.58,555.09,562.13,596.25,17163406,Predicted
2025-03-24,595.83,595.83,576.2,583.52,618.85,17163406,Predicted
2025-03-25,618.41,618.41,572.92,580.19,626.31,17163406,Predicted
2025-03-26,625.86,625.86,563.43,570.58,610.98,17163406,Predicted
2025-03-27,610.55,610.55,542.98,549.87,602.58,17163406,Predicted
2025-03-28,602.15,602.15,547.96,554.92,576.74,17163406,Predicted
2025-03-31,576.33,576.33,543.69,550.59,576.36,17163406,Predicted
2025-04-02,575.95,575.95,521.26,527.87,704.19,17163406,Predicted
2025-04-03,703.69,703.69,592.77,600.3,640.0,17163406,Predicted
2025-04-04,639.54,639.54,578.12,585.46,504.73,17163406,Predicted
2025-04-06,504.37,514.03,502.18,508.55,687.95,17163406,Predicted
2025-04-08,687.46,687.46,566.92,574.12,776.37,17163406,Predicted
2025-04-09,775.82,775.82,640.38,648.51,748.65,17163406,Predicted
2025-04-11,748.12,748.12,647.21,655.43,627.32,17163406,Predicted
2025-04-14,626.87,626.87,563.45,570.6,531.48,17163406,Predicted
2025-04-15,531.1,531.1,494.97,501.25,521.52,17163406,Predicted
2025-04-16,521.15,521.15,475.95,482.0,502.31,17163406,Predicted
2025-04-17,501.95,505.5,493.84,500.11,501.48,17163406,Predicted
2025-04-21,501.12,534.59,501.12,528.89,484.66,17163406,Predicted
2025-04-22,484.32,516.6,484.32,511.1,500.28,17163406,Predicted
2025-04-23,499.92,499.92,477.32,483.38,520.27,17163406,Predicted
2025-04-24,519.9,519.9,505.62,512.04,533.15,17163406,Predicted
2025-04-25,532.77,551.47,532.77,545.6,547.27,17163406,Predicted
2025-04-28,546.88,546.88,509.19,515.66,549.74,17163406,Predicted
2025-04-29,549.35,549.35,490.54,496.76,554.44,17163406,Predicted
2025-04-30,554.05,554.05,506.23,512.65,549.0,17163406,Predicted
2025-05-02,548.61,548.61,514.34,520.87,704.87,17163406,Predicted
2025-05-03,704.37,704.37,610.08,617.83,656.47,17163406,Predicted
2025-05-05,656.0,656.0,571.26,578.51,599.27,17163406,Predicted
2025-05-06,598.84,598.84,507.22,513.66,684.62,17163406,Predicted
2025-05-08,684.13,684.13,582.37,589.76,763.46,17163406,Predicted
2025-05-09,762.92,762.92,630.06,638.06,752.45,17163406,Predicted
2025-05-11,751.91,751.91,610.43,618.18,635.95,17163406,Predicted
2025-05-13,635.5,635.5,571.39,578.65,656.03,17163406,Predicted
2025-05-14,655.56,655.56,557.23,564.31,659.36,17163406,Predicted
2025-05-15,658.89,658.89,564.66,571.83,643.88,17163406,Predicted
2025-05-16,643.42,643.42,582.36,589.75,640.34,17163406,Predicted
2025-05-19,639.88,639.88,552.19,559.2,640.43,17163406,Predicted
2025-05-20,639.97,639.97,543.73,550.63,637.1,17163406,Predicted
2025-05-21,636.65,636.65,519.61,526.21,635.5,17163406,Predicted
2025-05-22,635.05,635.05,535.69,542.49,636.57,17163406,Predicted
2025-05-23,636.12,636.12,536.25,543.06,627.06,17163406,Predicted
2025-05-27,626.61,626.61,523.78,530.43,642.32,17163406,Predicted
2025-05-28,641.86,641.86,524.62,531.28,643.58,17163406,Predicted
