Date,Open,High,Low,Close,Actual,Volume,Type
2024-12-31,590.82,590.82,468.3,474.24,585.51,17163406,Predicted
2025-01-04,585.09,585.09,457.47,463.28,586.0,17163406,Predicted
2025-01-05,585.58,585.58,450.91,456.63,572.21,17163406,Predicted
2025-01-07,571.8,571.8,459.03,464.85,719.22,17163406,Predicted
2025-01-08,718.71,718.71,509.29,515.75,750.01,17163406,Predicted
2025-01-10,749.48,749.48,528.75,535.46,717.34,17163406,Predicted
2025-01-13,716.83,716.83,503.45,509.84,608.33,17163406,Predicted
2025-01-14,607.9,607.9,444.16,449.8,594.25,17163406,Predicted
2025-01-15,593.83,593.83,439.9,445.48,617.12,17163406,Predicted
2025-01-16,616.68,616.68,466.34,472.26,611.3,17163406,Predicted
2025-01-17,610.86,610.86,493.67,499.94,612.77,17163406,Predicted
2025-01-21,612.33,612.33,495.93,502.23,616.46,17163406,Predicted
2025-01-22,616.02,616.02,488.38,494.58,623.5,17163406,Predicted
2025-01-23,623.06,623.06,481.99,488.11,636.45,17163406,Predicted
2025-01-24,636.0,636.0,494.45,500.73,647.49,17163406,Predicted
2025-01-27,647.03,647.03,493.85,500.12,659.88,17163406,Predicted
2025-01-28,659.41,659.41,481.31,487.42,674.33,17163406,Predicted
2025-01-29,673.85,673.85,487.97,494.17,676.49,17163406,Predicted
2025-01-30,676.01,676.01,497.96,504.29,687.0,17163406,Predicted
2025-01-31,686.51,686.51,512.14,518.64,689.18,17163406,Predicted
2025-02-01,688.69,688.69,505.7,512.12,599.24,17163406,Predicted
2025-02-04,598.81,598.81,451.41,457.14,583.93,17163406,Predicted
2025-02-05,583.51,583.51,439.07,444.65,597.02,17163406,Predicted
2025-02-06,596.6,596.6,468.35,474.3,670.9,17163406,Predicted
2025-02-07,670.42,670.42,514.95,521.48,713.57,17163406,Predicted
2025-02-09,713.06,713.06,550.07,557.05,735.11,17163406,Predicted
2025-02-10,734.59,734.59,549.61,556.59,727.05,17163406,Predicted
2025-02-13,726.53,726.53,535.21,542.01,728.56,17163406,Predicted
2025-02-14,728.04,728.04,515.78,522.33,736.67,17163406,Predicted
2025-02-18,736.15,736.15,506.69,513.12,716.37,17163406,Predicted
2025-02-19,715.86,715.86,500.23,506.58,703.77,17163406,Predicted
2025-02-20,703.27,703.27,496.91,503.22,694.84,17163406,Predicted
2025-02-21,694.35,694.35,497.1,503.41,683.55,17163406,Predicted
2025-02-24,683.06,683.06,497.52,503.84,668.13,17163406,Predicted
2025-02-25,667.65,667.65,498.9,505.23,657.5,17163406,Predicted
2025-02-26,657.03,657.03,490.54,496.77,673.7,17163406,Predicted
2025-02-27,673.22,673.22,497.85,504.17,658.24,17163406,Predicted
2025-02-28,657.77,657.77,502.6,508.98,668.2,17163406,Predicted
2025-03-01,667.72,667.72,512.89,519.4,604.63,17163406,Predicted
2025-03-02,604.2,604.2,497.99,504.31,697.46,17163406,Predicted
2025-03-03,696.96,696.96,518.81,525.4,655.05,17163406,Predicted
2025-03-04,654.58,654.58,515.66,522.21,531.62,17163406,Predicted
2025-03-06,531.24,531.24,459.39,465.22,666.85,17163406,Predicted
2025-03-07,666.38,666.38,489.33,495.54,719.01,17163406,Predicted
2025-03-09,718.5,718.5,519.97,526.57,737.05,17163406,Predicted
2025-03-10,736.53,736.53,538.64,545.48,710.56,17163406,Predicted
2025-03-11,710.05,710.05,543.11,550.0,637.71,17163406,Predicted
2025-03-13,637.26,637.26,504.57,510.98,590.64,17163406,Predicted
2025-03-14,590.22,590.22,485.27,491.43,607.6,17163406,Predicted
2025-03-17,607.17,607.17,512.6,519.11,604.9,17163406,Predicted
2025-03-18,604.47,604.47,512.76,519.27,582.36,17163406,Predicted
