Date,Open,High,Low,Close,Actual,Volume,Type
2025-01-30,673.61,673.61,617.82,624.51,687.0,16055723,Predicted
2025-01-31,684.08,684.08,628.26,635.06,689.18,16055723,Predicted
2025-02-13,686.25,686.25,634.42,641.28,728.56,16055723,Predicted
2025-02-14,725.46,725.46,649.7,656.73,736.67,16055723,Predicted
2025-02-18,733.54,733.54,661.57,668.72,716.37,16055723,Predicted
2025-02-19,713.32,713.32,666.1,673.31,703.77,16055723,Predicted
2025-02-20,700.78,700.78,662.33,669.49,694.84,16055723,Predicted
2025-02-24,691.88,691.88,660.23,667.37,668.13,16055723,Predicted
2025-02-25,665.29,665.29,650.78,657.82,657.5,16055723,Predicted
2025-02-26,654.7,654.7,640.21,647.13,673.7,16055723,Predicted
2025-02-27,670.83,670.83,637.69,644.59,658.24,16055723,Predicted
2025-02-28,655.44,655.44,636.93,643.82,668.2,16055723,Predicted
2025-03-13,665.36,665.36,632.55,639.4,590.64,16055723,Predicted
2025-03-14,588.13,625.01,588.13,618.13,607.6,16055723,Predicted
2025-03-18,605.02,612.84,599.61,606.09,582.36,16055723,Predicted
2025-03-19,579.88,599.48,579.88,592.88,584.06,16055723,Predicted
2025-03-20,581.58,589.81,577.07,583.31,586.0,16055723,Predicted
2025-03-24,583.51,585.69,573.04,579.24,618.85,16055723,Predicted
2025-03-25,616.22,616.22,580.34,586.62,626.31,16055723,Predicted
2025-03-26,623.65,623.65,586.81,593.16,610.98,16055723,Predicted
2025-03-27,608.38,608.38,587.35,593.71,602.58,16055723,Predicted
2025-03-28,600.02,600.02,582.94,589.24,576.74,16055723,Predicted
2025-04-14,574.29,586.4,573.74,579.95,531.48,16055723,Predicted
2025-04-15,529.22,564.81,529.22,558.59,521.52,16055723,Predicted
2025-04-16,519.3,546.8,519.3,540.78,502.31,16055723,Predicted
2025-04-17,500.17,529.21,500.17,523.38,501.48,16055723,Predicted
2025-04-21,499.35,518.92,499.35,513.21,484.66,16055723,Predicted
2025-04-22,482.6,507.98,482.6,502.39,500.28,16055723,Predicted
2025-04-23,498.15,504.82,493.92,499.26,520.27,16055723,Predicted
2025-04-24,518.06,518.06,500.09,505.5,533.15,16055723,Predicted
2025-04-25,530.88,530.88,503.41,508.86,547.27,16055723,Predicted
2025-04-28,544.94,544.94,510.07,515.59,549.74,16055723,Predicted
2025-04-29,547.4,547.4,515.87,521.46,554.44,16055723,Predicted
2025-04-30,552.08,552.08,518.69,524.3,549.0,16055723,Predicted
2025-05-14,546.66,546.66,517.18,522.78,659.36,16055723,Predicted
2025-05-15,656.56,656.56,556.66,562.69,643.88,16055723,Predicted
2025-05-16,641.14,641.14,576.81,583.06,640.34,16055723,Predicted
2025-05-20,637.62,637.62,584.97,591.3,637.1,16055723,Predicted
2025-05-22,634.39,634.39,588.92,595.3,636.57,16055723,Predicted
2025-05-27,633.86,633.86,591.98,598.39,642.32,16055723,Predicted
2025-05-28,639.59,639.59,593.66,600.08,643.58,16055723,Predicted
2025-05-29,640.84,640.84,596.77,603.22,645.05,16055723,Predicted
2025-05-30,642.31,642.31,599.3,605.78,647.49,16055723,Predicted
2025-06-13,644.74,644.74,600.67,607.17,682.87,16055723,Predicted
2025-06-16,679.97,679.97,616.45,623.11,702.12,16055723,Predicted
2025-06-20,699.13,699.13,631.95,638.78,682.35,16055723,Predicted
2025-06-23,679.45,679.45,638.71,645.62,698.53,16055723,Predicted
2025-06-26,695.56,695.56,643.71,650.68,726.09,16055723,Predicted
2025-06-27,723.0,723.0,655.27,662.36,733.63,16055723,Predicted
2025-06-30,730.51,730.51,665.37,672.57,738.09,16055723,Predicted
2025-07-14,734.95,734.95,675.6,682.9,720.92,16055723,Predicted
2025-07-15,717.85,717.85,675.97,683.28,710.39,16055723,Predicted
2025-07-16,707.37,707.37,673.4,680.68,702.91,16055723,Predicted
2025-07-17,699.92,699.92,669.24,676.48,701.41,16055723,Predicted
2025-07-18,698.43,698.43,665.32,672.52,704.28,16055723,Predicted
2025-07-21,701.28,701.28,662.78,669.95,712.97,16055723,Predicted
2025-07-22,709.94,709.94,664.93,672.13,704.81,16055723,Predicted
2025-07-23,701.81,701.81,664.39,671.57,713.58,16055723,Predicted
2025-07-24,710.54,710.54,664.63,671.82,714.8,16055723,Predicted
2025-07-25,711.76,711.76,667.37,674.59,712.68,16055723,Predicted
2025-07-28,709.65,709.65,669.99,677.24,717.63,16055723,Predicted
2025-07-29,714.58,714.58,671.15,678.41,700.0,16055723,Predicted
2025-07-30,697.02,697.02,669.01,676.25,695.21,16055723,Predicted
2025-07-31,692.25,692.25,664.92,672.12,773.44,16055723,Predicted
2025-08-13,770.15,770.15,690.48,697.95,780.08,16055723,Predicted
2025-08-14,776.76,776.76,707.3,714.96,782.13,16055723,Predicted
2025-08-15,778.8,778.8,715.35,723.09,785.23,16055723,Predicted
2025-08-19,781.89,781.89,721.56,729.37,751.48,16055723,Predicted
2025-08-20,748.28,748.28,715.72,723.46,747.72,16055723,Predicted
2025-08-21,744.54,744.54,707.67,715.32,739.1,16055723,Predicted
2025-08-22,735.96,735.96,701.7,709.29,754.79,16055723,Predicted
2025-08-27,751.58,751.58,700.83,708.42,747.38,16055723,Predicted
2025-08-28,744.2,744.2,701.3,708.89,751.11,16055723,Predicted
2025-08-29,747.92,747.92,703.01,710.61,738.7,16055723,Predicted
2025-09-15,735.56,735.56,702.45,710.05,764.7,16055723,Predicted
2025-09-16,761.45,761.45,708.25,715.91,779.0,16055723,Predicted
2025-09-17,775.69,775.69,715.24,722.97,775.72,16055723,Predicted
2025-09-18,772.42,772.42,720.49,728.29,780.25,16055723,Predicted
2025-09-19,776.93,776.93,724.25,732.09,778.38,16055723,Predicted
2025-09-22,775.07,775.07,727.06,734.92,765.16,16055723,Predicted
2025-09-23,761.91,761.91,725.84,733.69,755.4,16055723,Predicted
2025-09-24,752.19,752.19,721.8,729.61,760.66,16055723,Predicted
2025-09-25,757.42,757.42,718.89,726.67,748.91,16055723,Predicted
2025-09-29,745.72,745.72,714.86,722.6,743.4,16055723,Predicted
2025-09-30,740.24,740.24,710.54,718.23,734.38,16055723,Predicted
2025-10-13,731.26,731.26,705.15,712.78,715.7,16055723,Predicted
2025-10-14,712.66,712.66,694.2,701.71,708.65,16055723,Predicted
2025-10-15,705.64,705.64,684.69,692.1,717.55,16055723,Predicted
2025-10-16,714.5,714.5,682.16,689.54,712.07,16055723,Predicted
2025-10-17,709.04,709.04,679.75,687.11,716.92,16055723,Predicted
2025-10-20,713.87,713.87,677.76,685.09,732.17,16055723,Predicted
2025-10-21,729.06,729.06,681.3,688.68,733.27,16055723,Predicted
2025-10-22,730.15,730.15,685.61,693.03,733.41,16055723,Predicted
2025-10-23,730.29,730.29,689.36,696.82,734.0,16055723,Predicted
2025-10-24,730.88,730.88,691.76,699.25,738.36,16055723,Predicted
2025-10-27,735.22,735.22,692.91,700.41,750.82,16055723,Predicted
2025-10-28,747.63,747.63,698.14,705.69,751.44,16055723,Predicted
2025-10-29,748.24,748.24,700.5,708.08,751.67,16055723,Predicted
2025-10-30,748.47,748.47,702.04,709.64,666.47,16055723,Predicted
2025-10-31,663.64,689.42,663.64,681.83,648.35,16055723,Predicted
2025-11-13,645.59,671.56,645.59,664.17,609.89,16055723,Predicted
2025-11-14,607.3,644.06,607.3,636.97,609.46,16055723,Predicted
2025-11-17,606.87,626.92,606.87,620.02,,16055723,Future
2025-11-18,617.38,620.06,606.67,613.24,,16055723,Future
2025-11-19,610.63,616.44,603.13,609.66,,16055723,Future
2025-11-20,607.07,611.55,598.35,604.82,,16055723,Future
2025-11-21,602.25,606.59,593.49,599.91,,16055723,Future
