Date,Open,High,Low,Close,Actual,Volume,Type
2024-12-31,11.54,13.72,11.54,13.65,11.48,1045446,Predicted
2025-01-02,11.47,13.74,11.47,13.67,11.56,1045446,Predicted
2025-01-03,11.55,13.76,11.55,13.69,11.52,1045446,Predicted
2025-01-06,11.51,13.77,11.51,13.7,11.46,1045446,Predicted
2025-01-07,11.45,13.78,11.45,13.71,11.3,1045446,Predicted
2025-01-08,11.29,13.77,11.29,13.71,11.37,1045446,Predicted
2025-01-10,11.36,13.77,11.36,13.7,11.13,1045446,Predicted
2025-01-13,11.12,13.74,11.12,13.67,11.26,1045446,Predicted
2025-01-14,11.25,13.75,11.25,13.69,11.16,1045446,Predicted
2025-01-15,11.15,13.76,11.15,13.69,11.32,1045446,Predicted
2025-01-16,11.31,13.8,11.31,13.73,11.29,1045446,Predicted
2025-01-17,11.28,13.79,11.28,13.72,11.38,1045446,Predicted
2025-01-21,11.37,13.76,11.37,13.69,11.4,1045446,Predicted
2025-01-22,11.39,13.75,11.39,13.68,11.37,1045446,Predicted
2025-01-23,11.36,13.71,11.36,13.65,11.54,1045446,Predicted
2025-01-24,11.53,13.71,11.53,13.64,11.6,1045446,Predicted
2025-01-27,11.59,13.7,11.59,13.63,11.54,1045446,Predicted
2025-01-28,11.53,13.71,11.53,13.65,11.59,1045446,Predicted
2025-01-29,11.58,13.71,11.58,13.64,11.56,1045446,Predicted
2025-01-30,11.55,13.72,11.55,13.65,11.59,1045446,Predicted
2025-01-31,11.58,13.71,11.58,13.65,11.56,1045446,Predicted
2025-02-03,11.55,13.72,11.55,13.65,11.44,1045446,Predicted
2025-02-04,11.43,13.71,11.43,13.64,11.56,1045446,Predicted
2025-02-05,11.55,13.74,11.55,13.67,11.68,1045446,Predicted
2025-02-06,11.67,13.72,11.67,13.66,11.59,1045446,Predicted
2025-02-07,11.58,13.72,11.58,13.65,11.46,1045446,Predicted
2025-02-10,11.45,13.7,11.45,13.64,11.4,1045446,Predicted
2025-02-11,11.39,13.69,11.39,13.62,11.34,1045446,Predicted
2025-02-12,11.33,13.68,11.33,13.61,11.33,1045446,Predicted
2025-02-13,11.32,13.65,11.32,13.58,11.49,1045446,Predicted
2025-02-14,11.48,13.66,11.48,13.59,11.48,1045446,Predicted
2025-02-18,11.47,13.71,11.47,13.64,11.51,1045446,Predicted
2025-02-19,11.5,13.74,11.5,13.67,11.77,1045446,Predicted
2025-02-20,11.76,13.76,11.76,13.69,11.82,1045446,Predicted
2025-02-21,11.81,13.72,11.81,13.65,11.75,1045446,Predicted
2025-02-24,11.74,13.69,11.74,13.62,11.95,1045446,Predicted
2025-02-25,11.94,13.71,11.94,13.64,11.94,1045446,Predicted
2025-02-26,11.93,13.72,11.93,13.65,11.89,1045446,Predicted
2025-02-27,11.88,13.73,11.88,13.66,11.97,1045446,Predicted
2025-02-28,11.96,13.72,11.96,13.65,12.04,1045446,Predicted
2025-03-03,12.03,13.73,12.03,13.67,12.04,1045446,Predicted
2025-03-04,12.03,13.77,12.03,13.7,11.97,1045446,Predicted
2025-03-05,11.96,13.79,11.96,13.72,11.95,1045446,Predicted
2025-03-06,11.94,13.79,11.94,13.73,12.2,1045446,Predicted
2025-03-07,12.19,13.78,12.19,13.71,12.4,1045446,Predicted
2025-03-10,12.39,13.8,12.39,13.73,12.24,1045446,Predicted
2025-03-11,12.23,13.8,12.23,13.73,12.41,1045446,Predicted
2025-03-12,12.4,13.81,12.4,13.74,12.58,1045446,Predicted
2025-03-13,12.57,13.81,12.57,13.75,12.44,1045446,Predicted
2025-03-14,12.43,13.78,12.43,13.71,12.66,1045446,Predicted
2025-03-17,12.65,13.76,12.65,13.7,12.76,1045446,Predicted
2025-03-18,12.75,13.83,12.75,13.76,12.62,1045446,Predicted
2025-03-19,12.61,13.84,12.61,13.77,12.6,1045446,Predicted
2025-03-20,12.59,13.85,12.59,13.78,12.4,1045446,Predicted
2025-03-21,12.39,13.85,12.39,13.78,12.54,1045446,Predicted
2025-03-24,12.53,13.86,12.53,13.79,12.7,1045446,Predicted
2025-03-25,12.69,13.91,12.69,13.84,12.69,1045446,Predicted
2025-03-26,12.68,13.95,12.68,13.89,12.49,1045446,Predicted
2025-03-27,12.48,13.98,12.48,13.91,12.56,1045446,Predicted
2025-03-28,12.55,13.95,12.55,13.88,12.38,1045446,Predicted
2025-03-31,12.37,13.9,12.37,13.84,12.48,1045446,Predicted
2025-04-01,12.47,13.87,12.47,13.8,12.56,1045446,Predicted
2025-04-02,12.55,13.89,12.55,13.83,12.7,1045446,Predicted
2025-04-03,12.69,13.98,12.69,13.92,11.4,1045446,Predicted
2025-04-04,11.39,13.89,11.39,13.82,11.64,1045446,Predicted
2025-04-07,11.63,13.88,11.63,13.81,11.16,1045446,Predicted
2025-04-08,11.15,13.86,11.15,13.79,10.13,1045446,Predicted
2025-04-09,10.12,13.84,10.12,13.77,11.46,1045446,Predicted
2025-04-10,11.45,13.96,11.45,13.89,11.31,1045446,Predicted
