Date,Open,High,Low,Close,Actual,Volume,Type
2024-12-27,63546.92,63926.44,62458.64,63215.97,63800.0,5138604,Predicted
2024-12-30,63546.92,64063.49,62592.55,63351.5,63300.0,5138604,Predicted
2024-12-31,63048.9,63567.22,62107.67,62860.74,63400.0,5138604,Predicted
2025-01-04,63148.5,63593.58,62133.42,62886.81,60800.0,5138604,Predicted
2025-01-07,60558.82,61523.9,60111.26,60840.13,57500.0,5138604,Predicted
2025-01-08,57271.91,58612.26,57266.48,57960.85,60000.0,5138604,Predicted
2025-01-10,59761.99,59761.99,58194.92,58900.54,62100.0,5138604,Predicted
2025-01-13,61853.66,61853.66,60321.28,61052.69,61400.0,5138604,Predicted
2025-01-14,61156.44,61332.7,59924.45,60651.05,61600.0,5138604,Predicted
2025-01-15,61355.64,61355.64,59905.78,60632.15,61700.0,5138604,Predicted
2025-01-16,61455.25,61511.02,60098.67,60827.39,61900.0,5138604,Predicted
2025-01-17,61654.45,61654.45,60131.04,60860.14,62000.0,5138604,Predicted
2025-01-20,61754.06,61992.8,60569.4,61303.82,61900.0,5138604,Predicted
2025-01-21,61654.45,62010.88,60587.06,61321.69,61800.0,5138604,Predicted
2025-01-22,61554.85,62000.72,60577.14,61311.65,61600.0,5138604,Predicted
2025-01-23,61355.64,61591.59,60177.4,60907.06,62000.0,5138604,Predicted
2025-01-24,61754.06,61754.06,60321.54,61052.96,62200.0,5138604,Predicted
2025-02-01,61953.26,61953.26,60161.19,60890.66,63100.0,5138604,Predicted
2025-02-04,62849.69,62849.69,60938.68,61677.58,60500.0,5138604,Predicted
2025-02-06,60260.01,61040.47,59638.93,60362.06,54600.0,5138604,Predicted
2025-02-07,54383.41,56306.33,54383.41,55680.55,57700.0,5138604,Predicted
2025-02-10,57471.11,57471.11,55882.14,56559.72,61200.0,5138604,Predicted
2025-02-13,60957.23,60957.23,58440.92,59149.53,60700.0,5138604,Predicted
2025-02-14,60459.21,60459.21,58865.48,59579.24,60300.0,5138604,Predicted
2025-02-17,60060.8,60275.96,58891.98,59606.05,60000.0,5138604,Predicted
2025-02-18,59761.99,59761.99,58239.53,58945.7,60300.0,5138604,Predicted
2025-02-19,60060.8,60060.8,58270.79,58977.34,60800.0,5138604,Predicted
2025-02-20,60558.82,60960.76,59561.05,60283.25,60700.0,5138604,Predicted
2025-02-21,60459.21,61068.55,59666.36,60389.83,61400.0,5138604,Predicted
2025-02-24,61156.44,61840.97,60421.05,61153.67,63800.0,5138604,Predicted
2025-02-25,63546.92,63546.92,61798.23,62547.55,62900.0,5138604,Predicted
2025-02-26,62650.49,62650.49,60783.76,61520.78,63100.0,5138604,Predicted
2025-02-27,62849.69,63210.22,61758.86,62507.7,62200.0,5138604,Predicted
2025-02-28,61953.26,61953.26,60445.87,61178.79,62200.0,5138604,Predicted
2025-03-01,61953.26,62176.11,60748.5,61485.09,63000.0,5138604,Predicted
2025-03-02,62750.09,62940.42,61495.26,62240.9,60500.0,5138604,Predicted
2025-03-03,60260.01,60981.15,59580.98,60303.41,63200.0,5138604,Predicted
2025-03-04,62949.3,62949.3,61361.96,62105.99,56500.0,5138604,Predicted
2025-03-06,56275.87,57491.05,56171.01,56852.1,55500.0,5138604,Predicted
2025-03-07,55279.84,56736.28,55279.84,56105.72,57500.0,5138604,Predicted
2025-03-09,57271.91,57534.36,56213.33,56894.93,61500.0,5138604,Predicted
2025-03-10,61256.04,61256.04,58991.39,59706.67,61300.0,5138604,Predicted
2025-03-11,61056.83,61056.83,59603.55,60326.26,57300.0,5138604,Predicted
2025-03-13,57072.7,58408.53,57067.43,57759.38,62000.0,5138604,Predicted
2025-03-14,61754.06,61754.06,59733.25,60457.53,62100.0,5138604,Predicted
2025-03-17,61853.66,61853.66,60185.93,60915.69,63000.0,5138604,Predicted
2025-03-18,62750.09,62750.09,61247.74,61990.39,62500.0,5138604,Predicted
2025-03-19,62252.07,62968.45,61522.64,62268.62,62300.0,5138604,Predicted
2025-03-20,62052.87,63103.02,61654.13,62401.7,61800.0,5138604,Predicted
2025-03-21,61554.85,61595.33,60181.05,60910.76,61300.0,5138604,Predicted
2025-03-24,61056.83,61154.16,59750.01,60474.49,61400.0,5138604,Predicted
2025-03-25,61156.44,61207.43,59802.06,60527.18,61400.0,5138604,Predicted
2025-03-26,61156.44,61156.44,59648.72,60371.97,61200.0,5138604,Predicted
2025-03-27,60957.23,61065.44,59663.33,60386.76,61100.0,5138604,Predicted
2025-03-28,60857.63,60857.63,59332.76,60052.18,60300.0,5138604,Predicted
2025-03-31,60060.8,60302.74,58918.14,59632.54,60600.0,5138604,Predicted
2025-04-02,60359.61,60401.9,59015.02,59730.59,60200.0,5138604,Predicted
2025-04-03,59961.2,60535.33,59145.39,59862.55,63500.0,5138604,Predicted
2025-04-04,63248.11,63248.11,61547.51,62293.79,58500.0,5138604,Predicted
2025-04-06,58267.94,60795.6,58267.94,60119.92,56900.0,5138604,Predicted
2025-04-07,56674.29,58100.7,56674.29,57454.97,57800.0,5138604,Predicted
2025-04-08,57570.72,57988.4,56656.94,57343.91,60400.0,5138604,Predicted
2025-04-09,60160.4,60160.4,58663.29,59374.6,61800.0,5138604,Predicted
2025-04-11,61554.85,61554.85,59774.13,60498.91,57300.0,5138604,Predicted
2025-04-14,57072.7,57225.15,55911.22,56589.15,56900.0,5138604,Predicted
2025-04-15,56674.29,57107.01,55795.79,56472.33,56300.0,5138604,Predicted
2025-04-16,56076.67,56662.73,55361.71,56032.98,56000.0,5138604,Predicted
2025-04-17,55777.86,56567.87,55269.02,55939.17,56000.0,5138604,Predicted
2025-04-18,55777.86,55777.86,54441.74,55101.86,56600.0,5138604,Predicted
2025-04-21,56375.48,56375.48,54913.99,55579.83,56700.0,5138604,Predicted
2025-04-22,56475.08,56961.2,55653.32,56328.13,56000.0,5138604,Predicted
2025-04-23,55777.86,55777.86,53938.98,54593.01,56400.0,5138604,Predicted
2025-04-24,56176.27,56176.27,54377.06,55036.4,56300.0,5138604,Predicted
2025-04-25,56076.67,56076.67,54465.09,55125.49,58300.0,5138604,Predicted
2025-04-28,58068.73,58216.28,56879.59,57569.27,57500.0,5138604,Predicted
2025-04-29,57271.91,57271.91,55951.87,56630.3,57600.0,5138604,Predicted
2025-05-02,57371.51,57551.52,56230.09,56911.9,61500.0,5138604,Predicted
2025-05-03,61256.04,61256.04,58522.61,59232.21,62700.0,5138604,Predicted
2025-05-05,62451.28,62451.28,60013.21,60740.89,56900.0,5138604,Predicted
2025-05-06,56674.29,58549.53,56674.29,57898.81,56300.0,5138604,Predicted
2025-05-08,56076.67,56484.26,55187.34,55856.5,60100.0,5138604,Predicted
2025-05-09,59861.59,59861.59,57729.25,58429.23,60900.0,5138604,Predicted
2025-05-11,60658.42,60658.42,58546.37,59256.25,58000.0,5138604,Predicted
2025-05-13,57769.92,58839.6,57488.6,58185.66,58500.0,5138604,Predicted
2025-05-14,58267.94,58617.05,57271.15,57965.58,56200.0,5138604,Predicted
2025-05-15,55977.06,55977.06,54322.93,54981.61,56800.0,5138604,Predicted
2025-05-16,56574.68,56676.74,55375.4,56046.84,56200.0,5138604,Predicted
2025-05-19,55977.06,56587.02,55287.73,55958.11,56000.0,5138604,Predicted
2025-05-20,55777.86,56771.08,55467.57,56140.13,55900.0,5138604,Predicted
2025-05-21,55678.25,56432.39,55136.65,55805.2,55400.0,5138604,Predicted
2025-05-22,55180.24,55199.03,53931.62,54585.55,55000.0,5138604,Predicted
2025-05-23,54781.82,55512.48,54237.87,54895.52,55300.0,5138604,Predicted
2025-05-26,55080.63,55456.66,54183.34,54840.32,55700.0,5138604,Predicted
2025-05-27,55479.05,55690.72,54412.02,55071.77,55400.0,5138604,Predicted
2025-05-28,55180.24,55426.37,54153.74,54810.36,55200.0,5138604,Predicted
2025-05-29,54981.03,55423.41,54150.85,54807.44,55100.0,5138604,Predicted
2025-05-30,54881.43,55083.18,53818.42,54470.98,54900.0,5138604,Predicted
2025-06-01,54682.22,54710.05,53453.87,54102.01,62500.0,5138604,Predicted
2025-06-02,62252.07,62252.07,58874.16,59588.02,60700.0,5138604,Predicted
2025-06-03,60459.21,60459.21,58956.61,59671.47,62900.0,5138604,Predicted
2025-06-05,62650.49,62650.49,60459.92,61193.01,56900.0,5138604,Predicted
2025-06-06,56674.29,58175.0,56674.29,57528.44,55300.0,5138604,Predicted
2025-06-08,55080.63,55994.11,54708.44,55371.79,61300.0,5138604,Predicted
2025-06-10,61056.83,61056.83,59457.4,60178.33,62400.0,5138604,Predicted
2025-06-11,62152.47,62152.47,60094.95,60823.61,58000.0,5138604,Predicted
2025-06-13,57769.92,58751.85,57402.86,58098.89,55500.0,5138604,Predicted
2025-06-16,55279.84,56019.15,54732.9,55396.55,56300.0,5138604,Predicted
2025-06-17,56076.67,56597.28,55297.76,55968.26,56200.0,5138604,Predicted
2025-06-18,55977.06,55977.06,54198.14,54855.3,56000.0,5138604,Predicted
2025-06-19,55777.86,55948.33,54663.72,55326.53,56100.0,5138604,Predicted
2025-06-20,55877.46,56522.47,55224.67,55894.28,56600.0,5138604,Predicted
2025-06-23,56375.48,57042.55,55732.81,56408.59,55900.0,5138604,Predicted
2025-06-24,55678.25,56160.12,54870.64,55535.96,56400.0,5138604,Predicted
2025-06-25,56176.27,56413.04,55117.75,55786.06,56800.0,5138604,Predicted
2025-06-26,56574.68,57161.39,55848.92,56526.1,56400.0,5138604,Predicted
2025-06-27,56176.27,56457.86,55161.55,55830.39,57800.0,5138604,Predicted
2025-06-30,57570.72,58126.17,56791.54,57480.15,58000.0,5138604,Predicted
2025-07-01,57769.92,57769.92,56403.7,57087.61,61700.0,5138604,Predicted
2025-07-02,61455.25,61455.25,59140.78,59857.87,60800.0,5138604,Predicted
2025-07-03,60558.82,60679.83,59286.57,60005.44,62700.0,5138604,Predicted
2025-07-05,62451.28,62451.28,60185.72,60915.49,57200.0,5138604,Predicted
2025-07-07,56973.1,58679.04,56973.1,58026.88,57900.0,5138604,Predicted
2025-07-08,57670.32,57926.62,56596.58,57282.82,60900.0,5138604,Predicted
2025-07-10,60658.42,60658.42,58432.48,59140.99,61400.0,5138604,Predicted
2025-07-11,61156.44,61412.27,60002.19,60729.73,57600.0,5138604,Predicted
2025-07-14,57371.51,58619.22,57273.27,57967.72,60300.0,5138604,Predicted
2025-07-15,60060.8,60060.8,58054.84,58758.76,60100.0,5138604,Predicted
2025-07-16,59861.59,59861.59,58032.53,58736.19,60100.0,5138604,Predicted
2025-07-17,59861.59,59861.59,58247.56,58953.82,60100.0,5138604,Predicted
2025-07-18,59861.59,60933.45,59534.37,60256.24,60200.0,5138604,Predicted
2025-07-21,59961.2,60549.91,59159.64,59876.96,60000.0,5138604,Predicted
2025-07-22,59761.99,60644.9,59252.45,59970.9,60200.0,5138604,Predicted
2025-07-23,59961.2,60341.2,58955.72,59670.57,61700.0,5138604,Predicted
2025-07-24,61455.25,62058.73,60633.81,61369.01,63700.0,5138604,Predicted
2025-07-25,63447.31,63447.31,61706.95,62455.16,63200.0,5138604,Predicted
2025-07-28,62949.3,62949.3,61491.89,62237.49,63300.0,5138604,Predicted
2025-07-29,63048.9,63354.59,61899.92,62650.47,63200.0,5138604,Predicted
2025-07-30,62949.3,63497.82,62039.86,62792.11,62900.0,5138604,Predicted
2025-07-31,62650.49,62891.78,61447.74,62192.81,61200.0,5138604,Predicted
2025-08-01,60957.23,61726.69,60309.4,61040.67,61700.0,5138604,Predicted
2025-08-04,61455.25,62073.23,60647.98,61383.35,54500.0,5138604,Predicted
2025-08-05,54283.81,56858.23,54283.81,56226.31,57400.0,5138604,Predicted
2025-08-07,57172.3,57426.81,56108.24,56788.57,59000.0,5138604,Predicted
