Date,Open,High,Low,Close,Actual,Volume,Type
2024-12-27,63546.92,66699.99,63546.92,65958.69,63800.0,5138604,Predicted
2024-12-30,63546.92,66585.35,63546.92,65845.32,63300.0,5138604,Predicted
2024-12-31,63048.9,66185.03,63048.9,65449.45,63400.0,5138604,Predicted
2025-01-04,63148.5,66051.59,63148.5,65317.5,60800.0,5138604,Predicted
2025-01-07,60558.82,64306.19,60558.82,63591.5,57500.0,5138604,Predicted
2025-01-08,57271.91,61828.9,57271.91,61141.73,60000.0,5138604,Predicted
2025-01-10,59761.99,62908.54,59761.99,62209.37,62100.0,5138604,Predicted
2025-01-13,61853.66,63632.31,61853.66,62925.1,61400.0,5138604,Predicted
2025-01-14,61156.44,63915.94,61156.44,63205.58,61600.0,5138604,Predicted
2025-01-15,61355.64,64145.85,61355.64,63432.94,61700.0,5138604,Predicted
2025-01-16,61455.25,64364.18,61455.25,63648.84,61900.0,5138604,Predicted
2025-01-17,61654.45,64637.27,61654.45,63918.89,62000.0,5138604,Predicted
2025-01-20,61754.06,64703.34,61754.06,63984.23,61900.0,5138604,Predicted
2025-01-21,61654.45,64680.32,61654.45,63961.46,61800.0,5138604,Predicted
2025-01-22,61554.85,64646.44,61554.85,63927.96,61600.0,5138604,Predicted
2025-01-23,61355.64,64479.14,61355.64,63762.52,62000.0,5138604,Predicted
2025-01-24,61754.06,64443.99,61754.06,63727.76,62200.0,5138604,Predicted
2025-02-01,61953.26,64360.41,61953.26,63645.11,63100.0,5138604,Predicted
2025-02-04,62849.69,65178.03,62849.69,64453.64,60500.0,5138604,Predicted
2025-02-06,60260.01,63745.55,60260.01,63037.09,54600.0,5138604,Predicted
2025-02-07,54383.41,59436.42,54383.41,58775.85,57700.0,5138604,Predicted
2025-02-10,57471.11,60257.35,57471.11,59587.66,61200.0,5138604,Predicted
2025-02-13,60957.23,62777.12,60957.23,62079.42,60700.0,5138604,Predicted
2025-02-14,60459.21,63064.03,60459.21,62363.14,60300.0,5138604,Predicted
2025-02-17,60060.8,63282.11,60060.8,62578.8,60000.0,5138604,Predicted
2025-02-18,59761.99,62966.33,59761.99,62266.52,60300.0,5138604,Predicted
2025-02-19,60060.8,62944.49,60060.8,62244.92,60800.0,5138604,Predicted
2025-02-20,60558.82,63046.61,60558.82,62345.91,60700.0,5138604,Predicted
2025-02-21,60459.21,63562.59,60459.21,62856.16,61400.0,5138604,Predicted
2025-02-24,61156.44,64140.05,61156.44,63427.2,63800.0,5138604,Predicted
2025-02-25,63546.92,64838.17,63349.43,64117.56,62900.0,5138604,Predicted
2025-02-26,62650.49,65397.57,62650.49,64670.74,63100.0,5138604,Predicted
2025-02-27,62849.69,65539.0,62849.69,64810.61,62200.0,5138604,Predicted
2025-02-28,61953.26,64871.26,61953.26,64150.28,62200.0,5138604,Predicted
2025-03-01,61953.26,64839.43,61953.26,64118.81,63000.0,5138604,Predicted
2025-03-02,62750.09,65510.1,62750.09,64782.02,60500.0,5138604,Predicted
2025-03-03,60260.01,64348.26,60260.01,63633.1,63200.0,5138604,Predicted
2025-03-04,62949.3,64926.83,62949.3,64205.23,56500.0,5138604,Predicted
2025-03-06,56275.87,61361.91,56275.87,60679.93,55500.0,5138604,Predicted
2025-03-07,55279.84,59198.08,55279.84,58540.16,57500.0,5138604,Predicted
2025-03-09,57271.91,60237.83,57271.91,59568.35,61500.0,5138604,Predicted
2025-03-10,61256.04,62578.09,61141.25,61882.6,61300.0,5138604,Predicted
2025-03-11,61056.83,63495.28,61056.83,62789.59,57300.0,5138604,Predicted
2025-03-13,57072.7,61133.95,57072.7,60454.51,62000.0,5138604,Predicted
2025-03-14,61754.06,64137.26,61754.06,63424.44,62100.0,5138604,Predicted
2025-03-17,61853.66,64389.29,61853.66,63673.67,63000.0,5138604,Predicted
2025-03-18,62750.09,64969.48,62750.09,64247.41,62500.0,5138604,Predicted
2025-03-19,62252.07,65843.66,62252.07,65111.88,62300.0,5138604,Predicted
2025-03-20,62052.87,65512.25,62052.87,64784.15,61800.0,5138604,Predicted
2025-03-21,61554.85,64774.6,61554.85,64054.7,61300.0,5138604,Predicted
2025-03-24,61056.83,64081.62,61056.83,63369.42,61400.0,5138604,Predicted
2025-03-25,61156.44,63618.4,61156.44,62911.35,61400.0,5138604,Predicted
2025-03-26,61156.44,63695.88,61156.44,62987.96,61200.0,5138604,Predicted
2025-03-27,60957.23,63415.33,60957.23,62710.54,61100.0,5138604,Predicted
2025-03-28,60857.63,63713.02,60857.63,63004.91,60300.0,5138604,Predicted
2025-03-31,60060.8,62938.56,60060.8,62239.07,60600.0,5138604,Predicted
2025-04-02,60359.61,62990.0,60359.61,62289.93,60200.0,5138604,Predicted
2025-04-03,59961.2,62866.03,59961.2,62167.34,63500.0,5138604,Predicted
