Date,Open,High,Low,Close,Actual,Volume,Type
2025-01-10,11.36,11.75,11.36,11.68,11.13,1022346,Predicted
2025-01-13,11.12,11.61,11.12,11.55,11.26,1022346,Predicted
2025-01-14,11.25,11.61,11.25,11.55,11.16,1022346,Predicted
2025-01-15,11.15,11.61,11.15,11.55,11.32,1022346,Predicted
2025-01-16,11.31,11.7,11.31,11.63,11.29,1022346,Predicted
2025-01-17,11.28,11.72,11.28,11.66,11.38,1022346,Predicted
2025-01-21,11.37,11.77,11.37,11.71,11.4,1022346,Predicted
2025-01-22,11.39,11.77,11.39,11.71,11.37,1022346,Predicted
2025-01-23,11.36,11.79,11.36,11.73,11.54,1022346,Predicted
2025-01-24,11.53,11.83,11.53,11.77,11.6,1022346,Predicted
2025-02-03,11.59,11.93,11.59,11.86,11.44,1022346,Predicted
2025-02-04,11.43,11.84,11.43,11.78,11.56,1022346,Predicted
2025-02-05,11.55,11.88,11.55,11.81,11.68,1022346,Predicted
2025-02-06,11.67,11.95,11.67,11.88,11.59,1022346,Predicted
2025-02-07,11.58,11.97,11.58,11.9,11.46,1022346,Predicted
2025-02-10,11.45,11.91,11.45,11.84,11.4,1022346,Predicted
2025-02-11,11.39,11.83,11.39,11.76,11.34,1022346,Predicted
2025-02-12,11.33,11.74,11.33,11.68,11.33,1022346,Predicted
2025-02-13,11.32,11.73,11.32,11.67,11.49,1022346,Predicted
2025-02-14,11.48,11.82,11.48,11.75,11.48,1022346,Predicted
2025-02-18,11.47,11.86,11.47,11.79,11.51,1022346,Predicted
2025-02-19,11.5,11.88,11.5,11.81,11.77,1022346,Predicted
2025-02-20,11.76,12.01,11.76,11.94,11.82,1022346,Predicted
2025-02-21,11.81,12.1,11.81,12.04,11.75,1022346,Predicted
2025-02-24,11.74,12.11,11.74,12.04,11.95,1022346,Predicted
2025-02-25,11.94,12.21,11.94,12.14,11.94,1022346,Predicted
2025-02-26,11.93,12.22,11.93,12.16,11.89,1022346,Predicted
2025-02-27,11.88,12.23,11.88,12.16,11.97,1022346,Predicted
2025-02-28,11.96,12.28,11.96,12.22,12.04,1022346,Predicted
2025-03-03,12.03,12.32,12.03,12.25,12.04,1022346,Predicted
2025-03-04,12.03,12.36,12.03,12.3,11.97,1022346,Predicted
2025-03-05,11.96,12.35,11.96,12.29,11.95,1022346,Predicted
2025-03-06,11.94,12.32,11.94,12.26,12.2,1022346,Predicted
2025-03-07,12.19,12.45,12.19,12.38,12.4,1022346,Predicted
2025-03-10,12.39,12.62,12.39,12.55,12.24,1022346,Predicted
2025-03-11,12.23,12.64,12.23,12.57,12.41,1022346,Predicted
2025-03-12,12.4,12.67,12.4,12.61,12.58,1022346,Predicted
2025-03-13,12.57,12.8,12.57,12.73,12.44,1022346,Predicted
2025-03-14,12.43,12.8,12.43,12.73,12.66,1022346,Predicted
2025-03-17,12.65,12.85,12.65,12.78,12.76,1022346,Predicted
2025-03-18,12.75,12.94,12.75,12.87,12.62,1022346,Predicted
2025-03-19,12.61,12.9,12.61,12.83,12.6,1022346,Predicted
2025-03-20,12.59,12.88,12.59,12.81,12.4,1022346,Predicted
2025-03-21,12.39,12.78,12.39,12.71,12.54,1022346,Predicted
2025-03-24,12.53,12.76,12.53,12.69,12.7,1022346,Predicted
2025-03-25,12.69,12.93,12.69,12.86,12.69,1022346,Predicted
2025-03-26,12.68,13.01,12.68,12.94,12.49,1022346,Predicted
2025-03-27,12.48,12.94,12.48,12.86,12.56,1022346,Predicted
2025-03-28,12.55,12.91,12.55,12.84,12.38,1022346,Predicted
2025-03-31,12.37,12.81,12.37,12.74,12.48,1022346,Predicted
2025-04-01,12.47,12.76,12.47,12.7,12.56,1022346,Predicted
2025-04-03,12.55,12.83,12.55,12.76,11.4,1022346,Predicted
2025-04-04,11.39,12.11,11.39,12.05,11.64,1022346,Predicted
2025-04-08,11.63,11.91,11.63,11.85,10.13,1022346,Predicted
2025-04-09,10.12,11.17,10.12,11.11,11.46,1022346,Predicted
2025-04-10,11.45,11.45,11.14,11.2,11.31,1022346,Predicted
2025-04-14,11.3,11.6,11.3,11.54,11.93,1022346,Predicted
2025-04-15,11.92,12.19,11.92,12.12,11.74,1022346,Predicted
2025-04-16,11.73,12.19,11.73,12.12,11.5,1022346,Predicted
2025-04-17,11.49,12.09,11.49,12.02,11.73,1022346,Predicted
2025-04-21,11.72,12.0,11.72,11.94,11.51,1022346,Predicted
2025-04-22,11.5,11.95,11.5,11.89,11.64,1022346,Predicted
2025-04-24,11.63,11.84,11.63,11.78,12.0,1022346,Predicted
2025-04-25,11.99,12.1,11.97,12.04,12.01,1022346,Predicted
2025-04-28,12.0,12.17,12.0,12.1,11.95,1022346,Predicted
2025-04-29,11.94,12.23,11.94,12.16,12.05,1022346,Predicted
2025-05-05,12.04,12.22,12.04,12.15,12.27,1022346,Predicted
2025-05-06,12.26,12.46,12.26,12.39,12.22,1022346,Predicted
2025-05-07,12.21,12.54,12.21,12.47,12.42,1022346,Predicted
2025-05-08,12.41,12.7,12.41,12.63,12.6,1022346,Predicted
2025-05-09,12.59,12.86,12.59,12.79,12.49,1022346,Predicted
2025-05-12,12.48,12.87,12.48,12.8,12.69,1022346,Predicted
2025-05-13,12.68,12.92,12.68,12.85,12.74,1022346,Predicted
2025-05-14,12.73,12.98,12.73,12.91,12.82,1022346,Predicted
2025-05-15,12.81,13.03,12.81,12.96,12.81,1022346,Predicted
2025-05-16,12.8,13.06,12.8,12.99,12.75,1022346,Predicted
2025-05-20,12.74,13.03,12.74,12.96,13.09,1022346,Predicted
2025-05-21,13.08,13.13,12.98,13.06,13.21,1022346,Predicted
2025-05-22,13.2,13.31,13.16,13.24,13.17,1022346,Predicted
2025-05-23,13.16,13.38,13.16,13.31,13.14,1022346,Predicted
2025-05-27,13.13,13.33,13.13,13.26,13.59,1022346,Predicted
2025-05-28,13.58,13.64,13.49,13.56,13.71,1022346,Predicted
2025-05-29,13.7,13.8,13.65,13.73,13.51,1022346,Predicted
