Ticker,Mode,MSE,R2,MAPE (%),DA (%)
ALIBABA,full_sentiment,0.0017,0.9528,4.11,50.89
ALIBABA,full_sentiment,0.0017,0.9524,4.38,49.7
ALIBABA,full_sentiment,0.0017,0.9543,4.03,51.68
ALIBABA,nan_sentiment,0.0018,0.9517,4.22,51.68
ALIBABA,nan_sentiment,0.0017,0.9551,4.11,49.11
ALIBABA,nan_sentiment,0.0017,0.9535,4.1,51.09
APPLE,full_sentiment,0.0023,0.9874,2.68,50.97
APPLE,full_sentiment,0.065,0.6035,15.27,52.56
APPLE,full_sentiment,0.0677,0.5793,15.86,56.28
APPLE,nan_sentiment,0.0022,0.9877,2.58,52.57
APPLE,nan_sentiment,0.0662,0.5961,15.6,56.74
APPLE,nan_sentiment,0.0685,0.5749,16.22,57.21
META,full_sentiment,0.0074,0.9921,9.81,50.47
META,nan_sentiment,0.0071,0.9924,8.78,51.26
VNM,full_sentiment,0.0048,0.9621,5.86,49.38
VNM,full_sentiment,0.0015,0.9404,2.78,43.85
VNM,full_sentiment,0.0015,0.9395,2.82,44.21
VNM,nan_sentiment,0.0048,0.9623,5.84,52.04
VNM,nan_sentiment,0.0014,0.9417,2.74,44.74
VNM,nan_sentiment,0.0015,0.9392,2.82,44.74
