Date,Open,High,Low,Close,Adj Close
2013-07-10,7339.14,7356.37,7287.45,7321.91,247030
2013-07-11,7339.14,7339.14,7270.23,7304.68,630702
2013-07-12,7287.45,7408.05,7287.45,7408.05,592977
2013-07-15,7459.73,7459.73,7356.37,7425.28,1020593
2013-07-16,7459.73,7563.1,7425.28,7511.42,800428
2013-07-17,7580.33,7580.33,7528.65,7528.65,1073875
2013-07-18,7528.65,7580.33,7459.73,7459.73,494297
2013-07-19,7528.65,7563.1,7459.73,7563.1,660886
2013-07-22,7632.02,7632.02,7494.19,7563.1,596802
2013-07-23,7563.1,7563.1,7494.19,7511.42,2126437
2013-07-24,7442.51,7476.96,7408.05,7408.05,3074221
2013-07-25,7476.96,7528.65,7408.05,7476.96,625884
2013-07-26,7511.42,7511.42,7373.59,7390.82,454186
2013-07-29,7390.82,7390.82,7235.77,7270.23,1041317
2013-07-30,7253.0,7408.05,7235.77,7408.05,1945422
2013-07-31,7459.73,7459.73,7356.37,7408.05,484897
2013-08-01,7408.05,7425.28,7390.82,7390.82,663853
2013-08-02,7459.73,7476.96,7425.28,7442.51,452329
2013-08-05,7459.73,7821.52,7459.73,7666.47,3514338
2013-08-06,7666.47,7804.3,7666.47,7787.07,2759907
2013-08-07,7838.75,8045.49,7804.3,7976.58,6073814
2013-08-08,7976.58,7976.58,7787.07,7787.07,2110968
2013-08-09,7787.07,7855.98,7769.84,7855.98,1189678
2013-08-12,7890.44,7890.44,7787.07,7821.52,1535330
2013-08-13,7821.52,7907.66,7787.07,7838.75,2475258
2013-08-14,7838.75,7873.21,7804.3,7873.21,2514200
2013-08-15,7804.3,7959.35,7735.38,7890.44,4674699
2013-08-16,7873.21,7924.89,7787.07,7924.89,1858706
2013-08-19,7924.89,8200.54,7907.66,8114.4,3123849
2013-08-20,8097.17,8114.4,7993.8,8062.72,4922253
2013-08-21,8062.72,8062.72,7752.61,7993.8,2744819
2013-08-22,7993.8,7993.8,7769.84,7821.52,2688281
2013-08-23,7838.75,7855.98,7666.47,7700.93,3137023
2013-08-26,7683.7,7718.16,7580.33,7683.7,3085076
2013-08-27,7735.38,7735.38,7614.79,7649.24,712082
2013-08-28,7545.88,7580.33,7270.23,7373.59,3820388
2013-08-29,7339.14,7494.19,7339.14,7339.14,946353
2013-08-30,7408.05,7442.51,7321.91,7425.28,2467483
2013-09-03,7528.65,7528.65,7373.59,7373.59,340479
2013-09-04,7425.28,7459.73,7339.14,7390.82,105628693
2013-09-05,7442.51,7545.88,7373.59,7528.65,8915866
2013-09-06,7563.1,7735.38,7511.42,7632.02,60140773
2013-09-09,7632.02,7632.02,7390.82,7442.51,792821
2013-09-10,7442.51,7563.1,7442.51,7494.19,359107
2013-09-11,7563.1,7632.02,7459.73,7459.73,1351387
2013-09-12,7425.28,7511.42,7408.05,7408.05,1117469
2013-09-13,7373.59,7459.73,7373.59,7373.59,4696341
2013-09-16,7390.82,7408.05,7339.14,7356.37,996740
2013-09-17,7390.82,7459.73,7339.14,7390.82,918842
2013-09-18,7459.73,7545.88,7408.05,7459.73,1661352
2013-09-19,7511.42,7563.1,7476.96,7476.96,796417
2013-09-20,7476.96,7528.65,7476.96,7494.19,257708
2013-09-23,7494.19,7666.47,7494.19,7649.24,6631092
2013-09-24,7666.47,7855.98,7666.47,7787.07,3688100
2013-09-25,7804.3,7821.52,7683.7,7718.16,2799598
2013-09-26,7718.16,7787.07,7666.47,7787.07,1794161
2013-09-27,7804.3,7804.3,7683.7,7752.61,899455
2013-09-30,7821.52,7821.52,7735.38,7769.84,1112764
2013-10-01,7735.38,7804.3,7718.16,7718.16,1797349
2013-10-02,7718.16,7787.07,7718.16,7769.84,727115
2013-10-03,7769.84,7769.84,7700.93,7718.16,1045668
2013-10-04,7752.61,7890.44,7718.16,7855.98,2645561
2013-10-07,7838.75,7976.58,7838.75,7942.12,2129307
2013-10-08,7942.12,7942.12,7855.98,7907.66,6431350
2013-10-09,7907.66,7942.12,7855.98,7873.21,1179347
2013-10-10,7855.98,7890.44,7769.84,7769.84,1506078
2013-10-11,7804.3,7838.75,7735.38,7752.61,1129543
2013-10-14,7769.84,7769.84,7700.93,7735.38,952214
2013-10-15,7769.84,7838.75,7752.61,7838.75,856379
2013-10-16,7873.21,7873.21,7804.3,7873.21,2099763
2013-10-17,7942.12,7993.8,7873.21,7907.66,2919818
2013-10-18,7924.89,8062.72,7924.89,7959.35,2902406
2013-10-21,7959.35,8028.26,7942.12,7959.35,2367696
2013-10-22,7907.66,7959.35,7907.66,7924.89,1377164
2013-10-23,7890.44,7959.35,7890.44,7959.35,1502829
2013-10-24,7924.89,8011.03,7924.89,7924.89,2062910
2013-10-25,7907.66,7924.89,7838.75,7855.98,1494407
2013-10-28,7924.89,7924.89,7821.52,7821.52,699830
2013-10-29,7787.07,7873.21,7787.07,7855.98,690491
2013-10-30,7855.98,7976.58,7855.98,7924.89,1457903
2013-10-31,7942.12,7942.12,7890.44,7890.44,792071
2013-11-01,7924.89,7924.89,7890.44,7924.89,903472
2013-11-04,7942.12,7942.12,7890.44,7924.89,322141
2013-11-05,7924.89,7924.89,7907.66,7907.66,987158
2013-11-06,7924.89,7942.12,7907.66,7942.12,853996
2013-11-07,7924.89,7942.12,7890.44,7890.44,1195017
2013-11-08,7890.44,7924.89,7890.44,7924.89,941071
2013-11-11,7942.12,7959.35,7907.66,7942.12,853884
2013-11-12,7942.12,8028.26,7942.12,7976.58,1608876
2013-11-13,8011.03,8011.03,7942.12,7959.35,451754
2013-11-14,7976.58,8011.03,7959.35,7976.58,630823
2013-11-15,8011.03,8217.77,8011.03,8200.54,4106957
2013-11-18,8269.45,8372.82,8252.22,8286.68,3008862
2013-11-19,8303.91,8338.36,8269.45,8321.14,1823065
2013-11-20,8321.14,8321.14,8217.77,8286.68,1832174
2013-11-21,8303.91,8614.01,8269.45,8269.45,5481536
2013-11-22,8303.91,8372.82,8252.22,8355.59,1021286
2013-11-25,8372.82,8407.28,8321.14,8372.82,3204122
2013-11-26,8355.59,8390.05,8321.14,8372.82,1625016
2013-11-27,8390.05,8407.28,8321.14,8372.82,1844711
2013-11-28,8338.36,8390.05,8338.36,8338.36,8251104
2013-11-29,8321.14,8355.59,8286.68,8286.68,1104522
2013-12-02,8321.14,8338.36,8269.45,8321.14,1666982
2013-12-03,8286.68,8527.87,8269.45,8407.28,7567194
2013-12-04,8458.96,8458.96,8390.05,8407.28,2845637
2013-12-05,8407.28,8407.28,8286.68,8286.68,4810870
2013-12-06,8286.68,8303.91,8217.77,8269.45,2957842
2013-12-09,8269.45,8269.45,8183.31,8183.31,2186890
2013-12-10,8183.31,8183.31,8114.4,8131.63,2117640
2013-12-11,8131.63,8131.63,8011.03,8062.72,1905772
2013-12-12,8062.72,8062.72,7993.8,8062.72,1928823
2013-12-13,8114.4,8183.31,8097.17,8131.63,1112180
2013-12-16,8131.63,8148.86,8097.17,8131.63,620315
2013-12-17,8131.63,8166.08,8114.4,8131.63,686252
2013-12-18,8166.08,8166.08,8097.17,8148.86,741512
2013-12-19,8148.86,8183.31,8131.63,8148.86,1873037
2013-12-20,8183.31,8183.31,8097.17,8097.17,1201921
2013-12-23,8097.17,8183.31,8097.17,8131.63,771806
2013-12-24,8114.4,8131.63,8079.94,8079.94,1275234
2013-12-25,8097.17,8097.17,8062.72,8062.72,2357483
2013-12-26,8062.72,8166.08,8062.72,8114.4,2573578
2013-12-27,8131.63,8166.08,8114.4,8114.4,1074457
2013-12-30,8166.08,8166.08,8045.49,8045.49,2239071
2013-12-31,8079.94,8269.45,8011.03,8114.4,3610385
2014-01-02,8200.54,8235.0,8131.63,8166.08,1204241
2014-01-03,8148.86,8166.08,8097.17,8148.86,1132505
2014-01-06,8148.86,8269.45,8097.17,8269.45,1751027
2014-01-07,8269.45,8269.45,8183.31,8183.31,1689036
2014-01-08,8166.08,8269.45,8166.08,8235.0,752253
2014-01-09,8217.77,8338.36,8217.77,8338.36,1841457
2014-01-10,8355.59,8527.87,8355.59,8390.05,4091226
2014-01-13,8441.73,8510.64,8390.05,8458.96,4488194
2014-01-14,8458.96,8596.78,8441.73,8476.19,24189924
2014-01-15,8545.1,8872.43,8527.87,8614.01,8358869
2014-01-16,8786.29,8786.29,8614.01,8700.15,5311971
2014-01-17,8786.29,9044.71,8700.15,8872.43,6924285
2014-01-20,8872.43,9216.99,8872.43,8958.57,5130929
2014-01-21,8958.57,9130.85,8872.43,9130.85,4435550
2014-01-22,9216.99,9303.13,8958.57,9130.85,4552335
2014-01-23,9130.85,9389.27,9044.71,9389.27,2763909
2014-01-24,9475.41,9733.83,9303.13,9647.69,5090468
2014-01-27,9647.69,9733.83,9475.41,9561.55,3679803
2014-02-06,9475.41,9561.55,9216.99,9389.27,3619378
2014-02-07,9389.27,9475.41,9216.99,9216.99,4953138
